数据库：分省年度数据
指标：公共交通客运总量(万人次)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,713396,734953,738384,815848,804775,761578,722552,689789,658785,592523,488138,468225,525606,513877,,
天津市,,,,,173279,180790,185813,181072,160927,129951,122363,115148,121573,117009,105911,95631,90191,78502,,
河北省,,,,,181829,186048,187208,205342,202727,203954,197470,178559,166910,156368,143232,120091,99412,86888,,
山西省,,,,,127183,126350,132132,131496,156364,124838,124029,110135,99887,89438,84633,77145,71205,59916,,
内蒙古自治区,,,,,108390,114588,107674,107099,108685,96349,92547,89963,64298,62004,51069,45968,36806,30474,,
辽宁省,,,,,432824,424262,434710,440165,435633,428367,426751,409429,380652,378123,359544,336734,321555,341791,,
吉林省,,,,,177218,171369,175452,176867,171378,170561,156953,151879,156675,422710,113418,104245,105139,98257,,
黑龙江省,,,,,255084,253420,257476,251360,238156,223956,220063,212581,204493,193391,170863,150593,138506,119306,,
上海市,,,,,573841,579218,561650,549257,521676,507933,491180,469164,402428,379137,346567,339604,337496,331794,,
江苏省,,,,,582024,551021,547694,506163,489637,470233,442942,398716,384552,362976,330246,310467,284117,263088,,
浙江省,,,,,392857,383041,380428,357679,330597,311024,300425,302932,320709,292044,262806,241138,226740,214173,,
安徽省,,,,,176245,186678,198829,211631,211012,212719,198662,181876,182560,164226,155909,152189,139661,116158,,
福建省,,,,,211379,220573,225201,225977,227004,224703,216866,197723,175940,196154,183203,144698,149465,140637,,
江西省,,,,,118395,115528,130335,129185,130511,127961,122042,121628,112248,115598,105371,96303,83880,73189,,
山东省,,,,,396777,391136,390026,403854,411311,398268,380085,371800,335324,339599,302850,270915,247906,191104,,
河南省,,,,,259421,253910,257070,263819,266157,263718,256311,229237,200187,192288,172633,162167,153775,132204,,
湖北省,,,,,413335,390223,381733,367410,356217,338901,317261,284481,306369,258460,251101,220757,224224,204828,,
湖南省,,,,,261597,275146,286341,280807,271882,272165,265211,241463,199092,195527,190582,159397,212507,175137,,
广东省,,,,,1098428,1078618,1081937,1089333,1040821,1003098,884536,711137,716429,922699,596176,167928,482699,316149,,
广西壮族自治区,,,,,118925,118481,121751,130990,138161,142505,143137,141942,133106,115894,117944,111810,107331,103304,,
海南省,,,,,30635,43803,42471,43815,43756,43306,39908,36470,30746,222928,26381,26452,26798,12833,,
重庆市,,,,,322446,319626,310167,292391,261391,201331,183262,166508,145647,159194,150113,127614,111324,95181,,
四川省,,,,,413213,406466,406821,413075,380254,357333,319471,290691,276147,425191,229929,205860,192983,173541,,
贵州省,,,,,141536,155528,131291,142596,139265,132200,122646,113505,405571,98506,94955,84503,86310,79337,,
云南省,,,,,153795,156646,158429,152878,150294,148409,137730,138213,121842,106495,98305,81582,73733,58330,,
西藏自治区,,,,,9120,8688,9128,8380,8001,7139,7251,5296,5618,6861,6991,1365,778,590,,
陕西省,,,,,281740,269406,269203,269246,250732,254599,242897,223729,198598,185848,159770,134636,114794,93600,,
甘肃省,,,,,124946,114549,109823,113738,110711,102846,96662,85327,72966,74647,60858,59489,48411,45945,,
青海省,,,,,36710,37768,37909,34971,41760,39135,39158,38964,42158,60037,56798,42483,37081,26304,,
宁夏回族自治区,,,,,40744,41898,42377,42744,41664,37441,30427,27130,26993,20567,13053,13890,12206,10754,,
新疆维吾尔自治区,,,,,143378,151588,154834,155845,153091,151397,138388,132084,119086,123554,117090,105368,94292,84707,,
数据来源：国家统计局
