数据库：分省年度数据
指标：出租汽车(辆)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,74875,71517,70035,68484,68484,68284,67546,67046,66646,66646,66646,66646,66646,66646,66646,66000,55463,,
天津市,,31779,31775,31940,31940,31940,31940,31940,31940,31940,31940,31940,31940,31939,31939,31940,31939,31939,,
河北省,,53490,54095,54003,53871,53034,51407,50435,49792,49130,47441,46016,46597,47822,47538,47435,44527,43329,,
山西省,,31919,31410,30487,30492,30690,30696,30401,34906,29700,29116,28848,28729,28475,27658,27511,29842,26698,,
内蒙古自治区,,38517,38662,39044,39062,45499,39359,38347,38120,37778,37520,37131,43084,36517,36047,33775,32508,31133,,
辽宁省,,82499,81589,81650,82067,80743,80997,80951,79607,79868,79248,79890,77295,80376,79365,78510,81020,84578,,
吉林省,,54684,56028,56351,56356,56413,56447,55725,55096,55457,54922,54933,53472,55365,55456,50282,49239,53744,,
黑龙江省,,63281,62249,63508,63569,64158,65421,65068,62699,62651,62092,61129,62012,56464,55429,63662,56952,56297,,
上海市,,37322,39962,41881,46397,47271,49586,50738,50612,50683,50438,50007,49111,48059,48614,48022,47794,48709,,
江苏省,,50567,51098,52559,53465,53376,53399,53488,49501,47269,46342,46075,45016,44708,44993,42032,41476,40746,,
浙江省,,39750,39341,39036,38435,37781,37416,36732,35449,34165,33285,32532,31116,33208,32431,31828,29993,28779,,
安徽省,,39776,39131,38911,39490,39199,39190,38792,37833,37142,36525,36681,35591,35382,34391,33435,34287,35005,,
福建省,,19536,20382,20191,21466,21727,21449,20380,19391,18325,17491,16782,14291,15905,15736,13929,13809,13335,,
江西省,,14006,13970,13545,14361,13712,13587,13369,12854,11998,11444,10854,10785,10562,10483,9424,9397,9247,,
山东省,,61666,62340,61722,61678,61314,61231,60119,59080,58758,58462,57687,57278,56325,55312,53377,56226,48756,,
河南省,,48706,46742,47517,46863,46598,46342,46247,45483,45518,44539,44525,45001,46610,46054,45975,52744,49888,,
湖北省,,37626,37253,37072,36748,36415,36127,35182,34394,33520,30845,31325,28230,27618,27827,27589,27414,27111,,
湖南省,,27139,26479,26014,25768,26173,25945,25846,24973,24031,23648,23778,24258,22731,23381,23092,23087,23021,,
广东省,,59326,61437,64782,66777,68504,68137,66135,65315,62243,60624,59972,57789,55825,51566,36355,43831,34094,,
广西壮族自治区,,17398,17343,16402,17532,17337,17025,16592,15249,15015,14139,13566,13888,13993,12426,12389,11970,11324,,
海南省,,5961,6184,6994,6979,6683,6296,6105,5594,4998,4651,3978,3687,3843,3894,3927,3988,3987,,
重庆市,,22475,22385,21993,21871,21100,20631,19629,17096,15520,15004,14021,9295,12454,17208,16594,16376,15665,,
四川省,,36165,34499,34552,32611,33394,35342,34304,33142,31818,29495,27022,25622,28116,25002,24529,24513,24766,,
贵州省,,30584,25679,20265,21249,19021,17399,15967,15266,13266,10260,9091,8652,8457,8542,8738,8677,8505,,
云南省,,20827,20001,19572,19061,19130,18793,17746,17580,17302,15415,15164,14752,15903,15668,15312,15794,16102,,
西藏自治区,,1704,2365,2365,2218,1882,1882,1554,1354,1379,1379,1357,1544,1341,1341,1341,1351,1341,,
陕西省,,28444,27939,25543,25468,24458,24052,23766,22684,22657,22385,21288,20278,20003,21392,23127,22475,20216,,
甘肃省,,25129,24582,24586,23737,23395,21422,20337,20687,19324,19465,19309,21347,20615,20528,17073,18339,19201,,
青海省,,8676,8641,8637,8637,8344,8006,7269,7119,7119,7119,7119,7041,6599,6547,6768,6894,6894,,
宁夏回族自治区,,13482,12845,12581,12765,12504,12571,12831,13189,13107,12827,12978,12582,12336,11985,11671,11183,10853,,
新疆维吾尔自治区,,35844,34547,33499,33406,32284,31704,30845,30529,28351,27599,24546,24650,24614,24269,22359,23328,23008,,
数据来源：国家统计局
