数据库：分省年度数据
指标：公园个数(个)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,360,344,311,300,297,287,245,245,236
天津市,,140,131,131,135,115,102,94,91,84
河北省,,779,723,751,713,615,502,479,476,446
山西省,,284,262,316,316,295,271,259,204,258
内蒙古自治区,,340,330,305,296,265,254,260,220,200
辽宁省,,606,503,454,496,439,379,374,347,338
吉林省,,377,356,344,306,232,191,183,173,161
黑龙江省,,422,373,384,371,359,345,331,321,304
上海市,,386,319,250,224,217,165,161,158,157
江苏省,,1194,1168,1133,1107,1074,942,883,842,783
浙江省,,1547,1401,1340,1252,1197,1171,1106,1068,1015
安徽省,,588,529,475,432,392,374,348,312,287
福建省,,716,690,675,636,590,555,557,529,495
江西省,,714,614,519,468,408,356,310,297,285
山东省,,1299,1200,1214,1090,920,828,790,733,686
河南省,,538,523,443,438,344,327,306,290,280
湖北省,,520,486,449,420,374,352,329,317,295
湖南省,,456,395,368,337,313,287,247,209,190
广东省,,4330,3912,3414,3219,3986,3512,3408,3258,3032
广西壮族自治区,,346,320,294,254,239,216,196,183,179
海南省,,128,106,97,85,84,55,58,48,48
重庆市,,514,479,428,418,397,349,307,278,276
四川省,,786,693,629,588,561,508,466,524,408
贵州省,,256,217,192,168,133,114,63,63,59
云南省,,948,901,823,775,751,683,646,626,564
西藏自治区,,155,105,105,36,81,81,59,64,64
陕西省,,366,314,284,259,229,209,191,173,152
甘肃省,,203,178,172,156,131,123,116,104,97
青海省,,64,54,48,45,44,41,29,29,26
宁夏回族自治区,,112,100,96,79,77,77,73,69,60
新疆维吾尔自治区,,349,312,291,214,211,178,163,150,139
数据来源：国家统计局
