数据库：分省年度数据
指标：公园面积(万公顷)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,3.57,3.52,3.26,3.10,3.01,2.94,1.33,1.33,1.14
天津市,,0.29,0.28,0.28,0.28,0.22,0.23,0.21,0.20,0.18
河北省,,2.28,2.17,2.11,2.04,1.90,1.73,1.64,1.56,1.50
山西省,,1.27,1.14,1.11,1.08,1.04,0.96,0.94,0.82,0.78
内蒙古自治区,,1.43,1.38,1.51,1.49,1.38,1.37,1.21,1.15,1.04
辽宁省,,2.11,1.83,1.70,1.66,1.46,1.36,1.38,1.29,1.22
吉林省,,1.27,1.27,1.33,0.98,0.70,0.64,0.62,0.53,0.51
黑龙江省,,1.19,1.11,1.25,1.14,0.98,0.98,0.96,0.95,0.94
上海市,,0.34,0.30,0.26,0.24,0.27,0.24,0.23,0.22,0.22
江苏省,,3.31,3.14,3.05,3.01,2.91,2.59,2.19,1.87,1.65
浙江省,,2.21,2.13,2.04,1.91,1.82,1.67,1.59,1.52,1.48
安徽省,,1.88,1.73,1.59,1.45,1.27,1.20,1.13,1.08,0.99
福建省,,1.61,1.59,1.54,1.40,1.24,1.19,1.14,1.09,1.03
江西省,,1.49,1.37,1.15,1.06,0.95,0.88,0.86,0.84,0.81
山东省,,4.76,4.15,4.06,3.77,3.68,3.41,3.26,2.95,2.50
河南省,,1.85,1.70,1.58,1.42,1.19,1.27,1.20,1.14,1.11
湖北省,,1.85,1.63,1.48,1.39,1.29,1.20,1.12,1.07,1.04
湖南省,,1.42,1.42,1.33,1.26,1.20,1.01,0.96,0.90,0.93
广东省,,8.47,8.11,8.25,7.18,7.41,6.53,7.02,6.68,6.18
广西壮族自治区,,1.52,1.42,1.17,1.03,0.89,0.86,0.78,0.76,0.75
海南省,,0.25,0.26,0.27,0.26,0.21,0.20,0.21,0.18,0.18
重庆市,,1.60,1.55,1.48,1.37,1.26,1.15,1.08,1.01,1.00
四川省,,2.45,2.07,1.82,1.64,1.58,1.33,1.24,1.22,1.06
贵州省,,1.29,1.24,1.16,1.06,0.80,0.70,0.51,0.45,0.41
云南省,,1.03,0.98,0.94,0.86,0.82,0.76,0.67,0.62,0.64
西藏自治区,,0.09,0.08,0.08,0.04,0.10,0.10,0.07,0.06,0.07
陕西省,,1.02,0.85,0.85,0.78,0.61,0.59,0.54,0.43,0.35
甘肃省,,0.61,0.57,0.55,0.50,0.58,0.43,0.41,0.36,0.26
青海省,,0.18,0.17,1.19,0.15,0.14,0.13,0.09,0.09,0.09
宁夏回族自治区,,0.37,0.35,0.33,0.30,0.25,0.24,0.23,0.21,0.21
新疆维吾尔自治区,,0.84,0.76,0.70,0.58,0.56,0.47,0.43,0.38,0.37
数据来源：国家统计局
