数据库：分省年度数据
指标：生活垃圾清运量(万吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,797.52,1011.16,975.12,924.77,872.61,790.33,733.84,671.69,648.31
天津市,,306.54,300.23,294.77,306.87,269.03,240.68,215.89,199.95,185.77
河北省,,786.20,802.21,755.69,699.57,725.18,635.88,614.10,585.31,577.44
山西省,,460.74,500.38,478.91,479.07,469.38,446.97,445.01,394.56,392.39
内蒙古自治区,,387.69,394.51,349.30,369.16,345.27,329.12,324.56,350.06,385.91
辽宁省,,993.26,985.39,872.16,864.53,933.05,933.20,917.14,927.12,929.92
吉林省,,464.17,483.09,470.56,494.98,534.12,490.25,504.60,485.35,508.55
黑龙江省,,497.63,523.61,524.93,553.23,541.94,523.00,553.38,581.85,710.01
上海市,,868.09,750.65,784.73,743.07,629.37,613.20,608.41,735.00,716.00
江苏省,,1870.53,1809.56,1718.02,1734.65,1562.32,1456.07,1352.44,1202.69,1210.07
浙江省,,1444.93,1530.24,1474.62,1454.64,1433.52,1332.63,1229.05,1123.34,1055.03
安徽省,,660.70,646.09,612.03,612.22,539.95,491.94,464.79,455.93,442.06
福建省,,878.54,967.07,874.94,786.35,656.96,608.06,598.89,551.82,493.81
江西省,,527.53,542.59,448.80,451.53,399.48,329.25,308.45,339.02,327.15
山东省,,1673.94,1786.81,1700.79,1591.31,1466.25,1377.47,958.47,1007.37,1062.38
河南省,,1130.20,1134.58,1019.62,985.55,915.39,891.83,832.75,805.63,795.84
湖北省,,987.43,979.99,954.18,907.95,880.10,832.15,739.34,745.82,716.63
湖南省,,797.14,775.45,824.49,764.86,681.59,638.15,600.79,616.81,565.43
广东省,,3102.55,3347.32,3035.38,2644.48,2390.95,2320.40,2214.23,2092.11,2136.88
广西壮族自治区,,519.60,497.69,466.47,438.32,411.15,385.46,338.86,302.25,266.21
海南省,,253.64,256.45,222.41,213.06,188.69,160.06,144.21,125.29,110.18
重庆市,,628.49,601.77,549.23,529.74,494.13,440.03,399.37,349.80,335.29
四川省,,1136.57,1168.62,1013.08,989.85,886.67,823.57,779.99,750.65,702.75
贵州省,,358.48,364.57,338.48,323.52,293.98,268.34,273.77,248.42,235.69
云南省,,487.51,455.91,435.78,409.13,432.05,371.04,349.54,324.13,306.74
西藏自治区,,62.34,64.72,53.93,46.50,46.09,32.92,30.78,24.11,25.62
陕西省,,550.01,633.98,650.22,379.23,532.79,522.74,517.93,437.31,433.10
甘肃省,,272.55,279.71,281.19,254.61,257.18,262.68,252.97,272.82,270.54
青海省,,116.19,109.40,113.53,77.72,81.99,82.24,77.60,74.06,66.25
宁夏回族自治区,,126.85,130.53,117.70,119.03,112.15,132.24,118.41,105.98,116.23
新疆维吾尔自治区,,364.17,371.92,390.67,371.37,378.66,380.04,360.63,352.33,352.69
数据来源：国家统计局
