数据库：分省年度数据
指标：市容环卫专用车辆设备(台)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,13403,12526,12638,11520,11033,10747,10255,9797,9384
天津市,,5568,5276,5438,4725,4449,3937,3036,2482,2453
河北省,,12684,11885,10763,9329,6928,5493,4820,4331,3889
山西省,,7674,6551,5857,5545,5462,4603,4895,4141,3986
内蒙古自治区,,6987,6471,5192,4632,4038,3704,2717,2568,2093
辽宁省,,11196,11033,10357,7822,7005,6535,6097,5743,5323
吉林省,,8003,7639,7162,6548,6852,6323,5973,4878,4759
黑龙江省,,9144,8747,8454,8315,7571,7273,6887,5633,5749
上海市,,10000,9252,8579,8583,7036,5503,5371,5237,5102
江苏省,,21351,19049,17757,16820,13482,12175,11227,9865,8709
浙江省,,10316,9083,8776,8255,7232,6752,6483,6167,5607
安徽省,,10354,9248,7053,5938,5395,4593,3116,2765,2320
福建省,,7342,5845,5057,3981,3029,2531,2578,2505,2222
江西省,,9695,9458,4435,3838,2580,1787,1630,1157,1184
山东省,,21675,19270,18087,18314,14358,12666,10324,9645,8598
河南省,,18459,18258,16424,14511,8448,5682,4203,3777,3614
湖北省,,14587,12917,11838,13264,12786,12710,8851,6423,4091
湖南省,,7069,6792,6779,5018,4812,3891,3642,3151,2810
广东省,,28247,24327,23213,20472,19314,14274,11729,10975,9066
广西壮族自治区,,10164,10318,8087,7987,7430,7044,3442,3097,2022
海南省,,11662,10346,7287,5944,4957,1686,1503,869,1824
重庆市,,5008,4504,4113,3418,3116,2791,2448,1915,1807
四川省,,12025,11188,8833,7620,6351,4859,4436,3970,3797
贵州省,,5485,5686,4993,4732,3385,2619,2352,1987,1681
云南省,,5254,4509,4617,3933,3211,2699,2314,3731,2102
西藏自治区,,1425,790,504,412,332,337,251,156,38
陕西省,,5264,4642,5277,4226,3318,3196,2938,2515,2072
甘肃省,,5624,5489,5248,4021,2153,1923,1717,1531,1499
青海省,,951,915,713,697,520,475,475,424,319
宁夏回族自治区,,2137,2083,2177,1852,1532,1597,1099,1051,672
新疆维吾尔自治区,,7669,7461,6776,5747,5827,5320,4622,4066,3365
数据来源：国家统计局
