数据库：分省年度数据
指标：公共厕所数量(座)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,6177,6034,5270,5275,5398,5401,5429,5563,5773
天津市,,4269,1510,1384,1475,1358,1327,1206,1193,1192
河北省,,6611,5884,6044,5450,5546,6298,6391,6540,6661
山西省,,3015,2634,2459,2380,3550,3261,3234,3370,3206
内蒙古自治区,,7237,7233,7612,6448,4163,4171,4075,4291,4459
辽宁省,,4664,4710,4138,4172,5393,5056,5353,5500,5582
吉林省,,4319,4427,3828,3417,3586,3643,3729,3959,4184
黑龙江省,,6048,5964,5788,5719,6133,6617,7064,6455,7058
上海市,,5676,6225,6061,6221,6220,6197,6168,6223,6340
江苏省,,14961,14279,13965,12934,12136,11739,11178,10438,10035
浙江省,,8631,7744,8075,7883,8145,8199,8026,7962,7852
安徽省,,4769,4403,3826,3467,3417,3223,3192,3122,3096
福建省,,6344,5517,4824,3924,2629,3185,3113,3078,2890
江西省,,4331,3756,2581,2242,2077,1887,1982,1905,2041
山东省,,8028,7458,7086,6547,6860,6351,6084,5733,5745
河南省,,10890,10675,9851,8593,7932,7540,7218,7089,7162
湖北省,,6197,5828,5596,5173,5451,5475,5130,4759,4702
湖南省,,4380,4022,4331,3576,3573,3371,3373,3312,3280
广东省,,12288,11497,10812,10582,10634,9769,9666,9631,9648
广西壮族自治区,,1934,1784,1645,1552,1503,1496,2129,2156,2159
海南省,,1296,1048,986,697,715,457,484,457,459
重庆市,,4801,4606,4242,4115,3530,3208,2843,2093,1992
四川省,,7527,6627,6116,5893,4974,4383,4280,5404,5147
贵州省,,2445,2275,2240,2109,1361,1440,1375,1280,1262
云南省,,5155,4610,6158,5091,3240,2619,2374,2534,2409
西藏自治区,,778,670,436,360,317,317,303,285,43
陕西省,,6286,6129,6323,5350,4427,4266,3794,3285,2872
甘肃省,,2115,1964,1999,1694,1664,1518,1430,1367,1334
青海省,,741,751,712,698,698,691,669,651,592
宁夏回族自治区,,898,869,786,759,747,746,687,671,604
新疆维吾尔自治区,,2375,2293,2292,2288,2441,2493,2431,2235,2162
数据来源：国家统计局
