数据库：分省年度数据
指标：三类以上公共厕所数量(座)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,6177,6026,5250,5228,5352,5401,5429,5563,5773
天津市,,3810,1277,926,809,567,846,786,757,754
河北省,,5383,4401,3996,3242,2978,3389,3743,3895,3846
山西省,,2057,2096,1805,1839,1784,1715,1576,1464,1141
内蒙古自治区,,5050,4577,4471,2636,1935,1827,1864,1596,1510
辽宁省,,3281,2714,2325,1933,2004,1839,1896,1810,1713
吉林省,,3507,3370,2617,1624,1357,1168,1061,979,1074
黑龙江省,,3397,2982,2310,2061,2532,2668,2560,2017,1695
上海市,,3799,4260,3456,2642,2641,2618,4967,4470,4404
江苏省,,13729,13317,12929,11413,10637,10004,9255,8597,8031
浙江省,,7595,6413,6520,6752,7045,6923,6441,6316,6172
安徽省,,4387,4021,3236,2972,3040,2813,2684,2579,2603
福建省,,5022,4627,3407,2789,2602,3156,3092,3058,2850
江西省,,4028,3265,2149,1837,1735,1509,1524,1456,1532
山东省,,7470,6896,6673,6070,5997,5505,5266,4876,4717
河南省,,10279,10089,9405,8055,7427,7040,6545,6383,6188
湖北省,,5588,5149,4933,4569,4378,3974,4171,3818,3417
湖南省,,3205,3001,2739,2198,2288,2682,2611,2827,2729
广东省,,11788,10970,10304,9605,10063,9309,9076,9255,9137
广西壮族自治区,,1772,1694,1464,1376,1175,1370,2035,2052,1522
海南省,,1247,977,766,617,629,441,474,419,336
重庆市,,3729,3536,3045,2917,2876,2354,2234,1747,1586
四川省,,6421,5381,4974,4565,3741,3209,3040,4381,3928
贵州省,,2328,2177,2154,2003,1108,1187,1142,1046,1064
云南省,,4968,4466,5858,4888,2911,2330,1995,2065,2002
西藏自治区,,156,127,61,40,160,160,172,160,
陕西省,,6019,5909,6078,4997,4330,4161,3707,3173,2620
甘肃省,,1849,1727,1706,1479,1359,1202,1153,1097,949
青海省,,652,699,163,654,441,327,302,280,257
宁夏回族自治区,,873,834,736,692,693,657,576,587,502
新疆维吾尔自治区,,1713,1624,1530,1762,1855,1757,1709,1415,1262
数据来源：国家统计局
