数据库：分省年度数据
指标：城市用水普及率(%)
时间：最近10年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,98.39,99.06,100.00,100.00,100.00,100.00,100.00,100.00,100.00
天津市,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
河北省,100.00,99.98,99.70,99.05,99.52,99.56,99.29,99.85,99.96
山西省,99.60,99.28,99.70,97.81,99.29,98.85,98.54,98.14,97.64
内蒙古自治区,99.50,99.27,99.23,99.10,98.98,98.47,97.79,96.23,94.43
辽宁省,99.71,99.16,99.16,98.45,98.96,98.84,98.72,98.77,98.45
吉林省,95.60,94.70,93.89,94.85,93.40,93.64,93.79,93.84,92.38
黑龙江省,98.99,98.79,98.48,98.53,97.25,97.20,96.20,95.46,94.14
上海市,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
江苏省,100.00,100.00,99.98,99.98,99.86,99.83,99.75,99.69,99.70
浙江省,100.00,100.00,100.00,100.00,99.97,99.95,99.93,99.97,99.88
安徽省,99.60,99.36,99.75,99.43,99.20,98.79,98.63,98.40,98.02
福建省,99.90,99.86,99.69,99.56,99.52,99.55,99.49,99.42,99.13
江西省,98.62,98.45,98.31,98.11,97.69,97.55,97.78,97.73,97.67
山东省,99.84,99.73,99.40,99.82,99.78,99.95,99.92,99.85,99.85
河南省,98.19,97.38,96.65,95.88,93.42,93.10,92.99,92.16,91.76
湖北省,99.56,99.16,99.37,99.27,99.12,98.83,98.75,98.19,98.24
湖南省,98.94,97.71,96.35,96.52,96.81,97.30,97.05,96.86,96.42
广东省,98.49,99.06,97.30,97.80,98.06,98.46,97.26,97.47,97.62
广西壮族自治区,99.68,98.88,97.80,97.63,97.70,97.50,94.40,95.91,95.30
海南省,98.02,98.47,97.04,98.40,97.41,98.64,98.10,98.38,97.74
重庆市,94.69,97.89,98.28,98.05,97.13,96.87,96.78,96.25,93.84
四川省,98.28,95.89,95.70,94.91,93.07,93.05,91.12,91.76,92.04
贵州省,98.90,98.33,96.68,96.54,96.03,95.43,94.47,92.86,92.07
云南省,98.10,97.08,96.60,96.71,96.66,97.33,97.85,97.92,94.32
西藏自治区,98.78,95.03,85.90,92.80,67.57,88.06,89.07,96.95,75.39
陕西省,97.88,96.84,95.49,95.95,95.61,97.12,96.31,96.52,96.15
甘肃省,98.15,98.04,97.90,98.81,97.93,97.28,94.95,93.68,92.77
青海省,98.69,99.24,99.00,98.93,99.21,99.06,99.71,99.08,99.90
宁夏回族自治区,98.87,98.39,98.40,95.66,94.75,96.40,97.26,96.51,92.30
新疆维吾尔自治区,99.52,98.55,97.66,98.75,98.86,98.81,98.15,98.08,99.13
注：人均和普及率指标按城区人口与暂住人口之和计算，以公安部门的户籍统计和暂住人口统计为准。
数据来源：国家统计局
