数据库：分省年度数据
指标：人均城市道路面积(平方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,7.67,7.68,7.57,7.44,7.62,7.62,7.44,7.61,7.57
天津市,,14.91,12.98,11.67,17.41,15.39,16.02,16.71,18.74,17.88
河北省,,21.06,19.95,19.76,18.88,18.91,18.65,18.49,18.22,17.84
山西省,,18.41,17.22,16.81,15.92,14.77,13.52,13.34,12.88,11.79
内蒙古自治区,,23.93,23.32,22.75,23.89,23.45,22.61,21.10,19.69,17.67
辽宁省,,16.21,15.06,14.93,13.68,13.01,13.43,12.75,12.09,11.55
吉林省,,15.71,14.13,13.81,14.30,14.98,14.52,14.62,13.61,12.61
黑龙江省,,15.59,15.22,14.86,13.89,13.71,13.14,13.32,13.15,11.83
上海市,,4.76,4.72,4.58,4.51,4.37,4.27,4.11,4.11,4.08
江苏省,,25.60,25.41,25.20,25.62,25.37,24.42,23.89,23.22,22.35
浙江省,,19.08,19.02,18.05,17.28,17.73,18.12,18.40,17.83,17.88
安徽省,,24.29,23.69,22.95,22.19,21.82,20.82,20.33,19.61,18.47
福建省,,18.83,21.37,20.59,17.41,14.41,13.80,13.61,13.40,14.13
江西省,,19.81,19.93,19.37,17.90,17.33,16.60,15.77,15.26,14.99
山东省,,25.64,25.28,25.28,25.13,24.65,25.82,25.77,25.34,24.70
河南省,,15.32,15.19,14.57,13.90,12.97,12.06,11.67,11.57,11.08
湖北省,,18.89,17.45,17.00,15.74,16.14,16.15,16.57,15.85,15.85
湖南省,,19.72,17.69,16.96,13.72,14.59,14.27,13.76,13.80,13.49
广东省,,13.26,13.60,13.39,12.86,13.05,13.60,13.20,13.11,13.42
广西壮族自治区,,23.76,21.92,19.42,17.56,17.06,16.28,15.75,15.53,14.74
海南省,,17.91,18.24,16.81,18.22,17.75,17.37,17.97,18.72,18.85
重庆市,,14.65,14.38,13.52,12.67,12.23,12.05,11.68,11.23,10.67
四川省,,18.13,16.38,14.63,13.72,13.73,13.63,13.32,13.24,12.72
贵州省,,21.23,14.53,13.51,12.18,12.11,11.22,10.33,9.58,6.80
云南省,,16.62,15.00,14.11,12.52,15.76,14.23,17.12,12.29,11.92
西藏自治区,,20.74,15.75,12.21,14.70,16.82,24.98,14.44,13.19,14.22
陕西省,,16.73,16.84,16.47,16.32,15.42,15.67,15.38,14.74,14.71
甘肃省,,20.25,19.31,17.91,16.51,15.42,15.18,15.30,14.02,12.56
青海省,,18.91,18.44,16.19,14.40,11.04,10.63,11.08,10.90,11.17
宁夏回族自治区,,26.78,26.20,22.94,21.83,23.11,22.52,23.16,18.81,17.56
新疆维吾尔自治区,,25.30,23.67,20.34,19.78,18.35,17.69,16.46,15.69,14.16
数据来源：国家统计局
