数据库：分省年度数据
指标：人均公园绿地面积(平方米/人)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,16.59,16.40,16.30,16.20,16.01,16.00,15.94,12.72,11.87
天津市,,10.31,9.21,9.38,14.15,10.59,10.13,9.73,10.97,10.54
河北省,,15.30,14.29,14.23,14.52,14.31,14.18,14.45,14.05,14.00
山西省,,13.51,12.63,12.28,11.98,11.86,11.61,11.30,11.18,10.82
内蒙古自治区,,19.20,18.71,18.52,19.66,19.77,19.28,18.80,16.90,15.52
辽宁省,,13.40,11.97,12.04,12.07,11.33,11.52,11.61,11.06,10.89
吉林省,,12.94,12.54,13.45,11.37,13.37,12.51,12.05,11.78,10.96
黑龙江省,,12.77,12.43,12.35,11.78,11.91,11.98,12.10,12.11,11.75
上海市,,9.05,8.73,8.49,8.19,7.83,7.62,7.33,7.10,7.08
江苏省,,15.34,14.98,14.66,14.95,14.79,14.55,14.41,14.01,13.63
浙江省,,13.59,14.03,13.73,13.32,13.17,13.19,12.90,12.44,12.47
安徽省,,14.88,14.80,14.67,14.32,14.02,13.37,13.20,12.47,11.92
福建省,,14.94,15.03,14.62,14.13,13.08,12.98,12.76,12.57,12.10
江西省,,14.80,14.53,14.67,14.50,14.16,13.96,14.13,14.12,14.10
山东省,,17.68,17.57,17.64,17.84,17.91,17.36,17.10,16.81,16.37
河南省,,14.43,13.59,12.69,12.00,10.43,10.16,9.93,9.58,9.23
湖北省,,13.83,11.96,11.47,11.00,10.99,11.01,11.10,10.83,10.50
湖南省,,12.16,11.81,10.99,9.99,10.57,9.99,9.85,8.99,8.83
广东省,,18.14,18.13,18.34,18.24,17.87,17.40,16.28,15.94,15.82
广西壮族自治区,,12.85,13.52,13.05,12.42,11.77,11.60,11.19,11.48,11.42
海南省,,11.62,10.57,10.23,12.16,12.02,12.96,13.01,12.47,12.01
重庆市,,16.50,16.61,17.14,17.05,16.86,16.99,16.97,18.04,18.13
四川省,,14.40,14.03,12.97,12.48,12.47,11.96,11.26,11.21,10.79
贵州省,,17.04,16.38,15.51,15.25,14.98,12.94,12.50,11.41,9.38
云南省,,12.27,11.88,11.85,11.50,11.33,10.57,11.00,10.56,10.43
西藏自治区,,12.02,9.80,8.71,5.85,7.84,11.65,10.80,9.04,9.40
陕西省,,12.79,11.62,11.76,12.64,12.30,12.57,12.48,11.77,11.58
甘肃省,,15.15,14.28,13.65,14.87,13.94,12.23,12.79,11.76,9.52
青海省,,12.45,11.93,11.45,11.18,10.78,10.48,10.78,9.66,9.81
宁夏回族自治区,,21.02,21.05,20.38,19.17,18.30,18.11,17.91,17.51,15.71
新疆维吾尔自治区,,14.02,14.88,14.31,13.23,12.22,11.50,10.74,10.08,10.00
数据来源：国家统计局
