数据库：分省年度数据
指标：石油储量(万吨)
时间：最近10年
地区,2016年,2015年,2014年,2013年,2012年
天津市,3349.90,3005.60,3048.60,3115.22,3034.52
河北省,26576.40,26422.20,26724.90,26685.34,26934.54
内蒙古自治区,8381.30,8208.50,8354.40,8339.35,8517.07
辽宁省,14351.60,15052.80,15777.40,16411.23,16946.82
吉林省,17500.60,17798.70,18122.30,18326.64,18304.08
黑龙江省,42665.80,44048.70,45373.80,47311.25,50137.48
江苏省,2729.50,2906.90,2965.40,3023.37,3061.03
安徽省,238.50,247.00,253.10,254.20,260.06
山东省,29412.20,31123.50,32627.40,33839.35,34302.35
河南省,4427.00,4631.10,4876.80,5037.37,5160.24
湖北省,1185.90,1241.60,1284.90,1303.70,1328.70
广东省,16.40,13.70,13.80,13.85,7.90
广西壮族自治区,154.00,128.90,131.60,135.27,139.00
海南省,452.30,326.60,277.90,274.39,297.50
重庆市,266.90,267.10,267.70,278.43,158.63
四川省,623.40,648.40,661.80,666.66,804.63
云南省,12.20,12.20,12.20,12.21,12.21
陕西省,38375.60,38445.30,36300.80,33712.64,31397.94
甘肃省,28261.70,24109.80,21878.40,21150.01,19184.32
青海省,8252.30,7955.80,7524.50,6284.94,6499.44
宁夏回族自治区,2432.40,2370.60,2180.60,2313.96,2299.47
新疆维吾尔自治区,59576.30,60112.70,58878.60,58393.63,56464.74
注：石油的数据为剩余技术可采储量。
数据来源：国家统计局
