数据库：分省年度数据
指标：煤炭储量(亿吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,2.66,3.90,3.75,3.83,3.73
天津市,,,,,,2.97,3.00,2.97,2.97,2.97
河北省,,,,,,43.27,42.50,40.97,39.41,39.51
山西省,,,,,,916.19,921.30,920.89,906.80,908.42
内蒙古自治区,,,,,,510.27,492.80,490.02,460.10,401.66
辽宁省,,,,,,26.73,26.80,27.57,28.33,31.92
吉林省,,,,,,9.71,9.80,9.71,10.03,9.82
黑龙江省,,,,,,62.28,61.60,62.12,61.38,61.64
上海市,,,,,,,,,,
江苏省,,,,,,10.39,10.50,10.71,10.93,10.82
浙江省,,,,,,0.43,0.40,0.43,0.43,0.43
安徽省,,,,,,82.37,84.00,83.96,85.19,80.38
福建省,,,,,,3.98,4.10,4.22,4.33,4.44
江西省,,,,,,3.36,3.40,3.43,3.97,4.11
山东省,,,,,,75.67,77.60,77.22,78.78,79.73
河南省,,,,,,85.58,86.00,86.49,89.55,99.09
湖北省,,,,,,3.20,3.20,3.19,3.23,3.25
湖南省,,,,,,6.62,6.60,6.68,6.61,6.61
广东省,,,,,,0.23,0.20,0.23,0.23,0.23
广西壮族自治区,,,,,,0.90,0.90,2.27,2.26,2.08
海南省,,,,,,1.19,1.20,1.19,1.19,1.19
重庆市,,,,,,18.03,17.60,18.03,19.86,19.85
四川省,,,,,,53.21,53.80,54.10,55.74,54.53
贵州省,,,,,,110.93,101.70,93.98,83.29,69.39
云南省,,,,,,59.58,59.60,59.47,60.10,59.09
西藏自治区,,,,,,0.12,0.10,0.12,0.12,0.12
陕西省,,,,,,162.93,126.60,95.48,104.38,108.99
甘肃省,,,,,,27.32,32.50,32.86,32.69,34.08
青海省,,,,,,12.39,12.50,11.82,12.17,15.97
宁夏回族自治区,,,,,,37.45,37.40,38.04,38.47,32.34
新疆维吾尔自治区,,,,,,162.31,158.70,158.01,156.53,152.47
注：数据由国土资源部提供。
数据来源：国家统计局
