数据库：分省年度数据
指标：铁矿储量(亿吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,1.45,1.50,1.33,1.34,1.24
天津市,,,,,,,,,,
河北省,,,,,,26.59,27.30,28.54,23.97,24.23
山西省,,,,,,16.47,16.80,16.92,12.70,12.82
内蒙古自治区,,,,,,18.17,25.20,25.32,20.99,15.58
辽宁省,,,,,,50.96,51.60,51.67,56.25,54.98
吉林省,,,,,,5.02,4.80,4.67,4.52,3.82
黑龙江省,,,,,,0.34,0.40,0.35,0.35,0.35
上海市,,,,,,,,,,
江苏省,,,,,,1.62,1.70,1.72,1.76,1.78
浙江省,,,,,,0.59,0.60,0.54,0.31,0.31
安徽省,,,,,,8.59,8.70,8.75,7.90,8.39
福建省,,,,,,3.07,3.10,3.24,3.24,3.56
江西省,,,,,,1.42,1.50,1.47,1.37,1.46
山东省,,,,,,9.60,9.20,9.06,9.37,8.90
河南省,,,,,,1.69,1.40,1.36,1.41,1.56
湖北省,,,,,,4.35,4.30,4.51,6.05,5.83
湖南省,,,,,,2.00,1.80,1.78,1.79,1.29
广东省,,,,,,0.92,1.00,1.00,1.06,1.08
广西壮族自治区,,,,,,0.30,0.30,0.29,0.30,0.29
海南省,,,,,,0.84,0.90,0.90,0.95,0.81
重庆市,,,,,,0.12,0.20,0.13,0.22,0.22
四川省,,,,,,27.02,25.60,25.92,26.60,29.66
贵州省,,,,,,0.17,0.20,0.13,0.13,0.13
云南省,,,,,,4.24,4.10,4.18,4.13,4.29
西藏自治区,,,,,,0.17,0.20,0.17,0.17,0.17
陕西省,,,,,,3.97,4.00,3.98,3.99,3.85
甘肃省,,,,,,3.24,3.30,3.39,3.71,3.84
青海省,,,,,,0.03,,0.03,0.03,0.06
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,8.26,8.30,5.21,4.56,4.27
注：数据由国土资源部提供。
数据来源：国家统计局
