数据库：分省年度数据
指标：铜矿储量(万吨)
时间：最近10年
地区,2016年,2015年,2014年,2013年,2012年
北京市,0.02,,0.02,0.02,0.02
河北省,13.41,13.70,13.54,13.49,13.23
山西省,149.16,152.70,156.01,158.23,160.09
内蒙古自治区,437.83,421.20,415.67,400.27,370.49
辽宁省,27.92,28.40,29.26,30.22,32.55
吉林省,21.82,20.30,20.65,19.67,20.19
黑龙江省,111.35,111.40,111.45,110.63,112.05
江苏省,4.02,5.60,5.75,3.60,3.86
浙江省,5.17,5.00,5.33,5.68,6.11
安徽省,154.70,162.10,167.01,168.12,175.61
福建省,62.35,65.20,127.02,87.81,55.78
江西省,475.70,557.90,576.82,597.10,662.09
山东省,6.49,8.30,8.83,9.99,15.40
河南省,11.58,11.30,11.23,11.14,9.49
湖北省,89.58,94.30,102.14,96.58,108.69
湖南省,9.92,10.10,10.11,9.63,7.57
广东省,17.59,18.30,30.11,30.62,30.94
广西壮族自治区,3.12,3.20,3.33,3.33,3.29
海南省,3.52,3.50,3.52,3.52,3.59
四川省,49.07,51.80,67.77,54.40,70.71
贵州省,0.17,0.20,0.28,0.28,0.30
云南省,298.99,297.00,295.59,296.90,300.76
西藏自治区,272.32,274.30,274.40,274.36,274.36
陕西省,19.93,20.00,19.95,19.45,20.02
甘肃省,132.45,138.60,144.62,152.65,159.46
青海省,18.04,20.60,25.08,25.63,35.70
新疆维吾尔自治区,224.76,226.70,210.87,168.20,82.06
注：数据由国土资源部提供。
数据来源：国家统计局
