数据库：分省年度数据
指标：铅矿储量(万吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,,,,,
天津市,,,,,,,,,,
河北省,,,,,,21.75,23.30,23.69,22.80,20.65
山西省,,,,,,0.46,0.60,0.46,0.46,0.55
内蒙古自治区,,,,,,647.65,593.20,584.78,508.02,391.07
辽宁省,,,,,,13.20,13.40,13.19,10.43,9.45
吉林省,,,,,,13.72,13.80,13.95,13.65,12.02
黑龙江省,,,,,,6.28,6.30,6.37,6.37,6.37
上海市,,,,,,,,,,
江苏省,,,,,,22.56,23.50,24.34,25.88,10.53
浙江省,,,,,,8.68,7.90,8.21,8.43,8.45
安徽省,,,,,,12.26,12.50,13.27,10.91,10.84
福建省,,,,,,27.41,27.50,28.10,34.07,32.33
江西省,,,,,,49.23,51.70,53.18,52.64,55.12
山东省,,,,,,0.63,0.60,0.63,0.28,0.28
河南省,,,,,,61.13,59.20,57.74,57.80,47.33
湖北省,,,,,,5.31,5.10,5.13,5.18,5.22
湖南省,,,,,,46.88,48.90,51.13,55.14,55.98
广东省,,,,,,103.09,110.80,119.38,128.55,138.17
广西壮族自治区,,,,,,52.74,34.10,44.54,25.98,25.30
海南省,,,,,,6.68,6.70,6.68,6.62,6.62
重庆市,,,,,,2.52,2.50,5.41,5.56,5.56
四川省,,,,,,99.63,100.80,99.28,90.67,85.13
贵州省,,,,,,13.45,12.40,9.53,5.73,4.43
云南省,,,,,,240.98,221.80,213.43,210.66,213.14
西藏自治区,,,,,,89.51,92.50,92.93,46.91,46.92
陕西省,,,,,,36.94,36.60,29.92,30.65,31.10
甘肃省,,,,,,79.63,82.50,76.60,77.55,79.82
青海省,,,,,,43.68,48.00,51.58,55.96,73.41
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,102.62,102.60,87.37,81.01,78.86
注：数据由国土资源部提供。
数据来源：国家统计局
