数据库：分省年度数据
指标：铝土矿储量(万吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,,,,,
天津市,,,,,,,,,,
河北省,,,,,,28.01,28.00,28.01,28.01,2.57
山西省,,,,,,14205.54,14467.90,14481.50,15122.81,13263.71
内蒙古自治区,,,,,,,,,,
辽宁省,,,,,,,,,,
吉林省,,,,,,,,,,
黑龙江省,,,,,,,,,,
上海市,,,,,,,,,,
江苏省,,,,,,,,,,
浙江省,,,,,,,,,,
安徽省,,,,,,,,,,
福建省,,,,,,,,,,
江西省,,,,,,,,,,
山东省,,,,,,158.90,158.90,158.90,158.90,158.90
河南省,,,,,,14325.73,14514.90,14933.61,14376.78,15080.21
湖北省,,,,,,502.87,502.90,502.87,502.87,502.87
湖南省,,,,,,311.43,311.40,311.43,311.43,311.43
广东省,,,,,,,,,,
广西壮族自治区,,,,,,49178.83,48722.30,46644.67,46631.76,41529.43
海南省,,,,,,,,,,
重庆市,,,,,,6409.21,6409.20,6409.21,6448.27,5611.47
四川省,,,,,,54.60,54.60,51.60,51.60,14.40
贵州省,,,,,,14382.18,13189.90,13322.27,13204.97,12628.85
云南省,,,,,,1397.14,1397.10,1476.94,1485.24,1485.24
西藏自治区,,,,,,,,,,
陕西省,,,,,,0.89,0.90,0.89,0.89,0.89
甘肃省,,,,,,,,,,
青海省,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,
注：数据由国土资源部提供。
数据来源：国家统计局
