数据库：分省年度数据
指标：磷矿储量(亿吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,,,,,
天津市,,,,,,,,,,
河北省,,,,,,1.85,1.90,1.93,1.94,1.97
山西省,,,,,,0.17,0.20,0.17,0.81,0.81
内蒙古自治区,,,,,,0.11,0.10,0.11,0.02,0.02
辽宁省,,,,,,0.81,0.80,0.81,0.81,0.81
吉林省,,,,,,,,,,
黑龙江省,,,,,,,,,,
上海市,,,,,,,,,,
江苏省,,,,,,0.13,0.10,0.13,0.13,0.13
浙江省,,,,,,,,,,
安徽省,,,,,,0.20,0.20,0.20,0.20,0.20
福建省,,,,,,,,,,
江西省,,,,,,0.62,0.60,0.62,0.61,0.61
山东省,,,,,,,,,,
河南省,,,,,,0.03,,0.03,0.02,0.03
湖北省,,,,,,10.03,10.40,8.00,7.70,8.30
湖南省,,,,,,0.24,0.30,0.24,0.24,0.23
广东省,,,,,,,,,,
广西壮族自治区,,,,,,,,,,
海南省,,,,,,,,,,
重庆市,,,,,,,,,,
四川省,,,,,,4.85,4.80,4.70,4.55,3.60
贵州省,,,,,,6.44,6.70,6.64,6.05,6.87
云南省,,,,,,6.27,6.30,6.48,6.49,6.50
西藏自治区,,,,,,,,,,
陕西省,,,,,,0.06,0.10,0.06,0.06,0.05
甘肃省,,,,,,,,,,
青海省,,,,,,0.60,0.60,0.60,0.60,0.60
宁夏回族自治区,,,,,,0.01,,0.01,0.01,0.01
新疆维吾尔自治区,,,,,,,,,,
注：数据由国土资源部提供。
数据来源：国家统计局
