数据库：分省年度数据
指标：高岭土储量(万吨)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,,,,,,,,,
天津市,,,,,,,,,,
河北省,,,,,,58.30,58.30,58.30,58.30,58.30
山西省,,,,,,160.20,160.20,160.20,160.20,160.20
内蒙古自治区,,,,,,4586.92,4586.90,4813.18,4814.68,1085.36
辽宁省,,,,,,537.07,536.90,536.93,536.93,525.00
吉林省,,,,,,47.25,47.70,47.90,48.55,49.08
黑龙江省,,,,,,,,,,
上海市,,,,,,,,,,
江苏省,,,,,,234.59,250.20,148.99,167.65,700.52
浙江省,,,,,,819.41,820.60,830.02,840.34,803.42
安徽省,,,,,,172.11,176.50,176.51,166.03,155.81
福建省,,,,,,5262.70,5311.70,5363.15,5366.30,5528.72
江西省,,,,,,3075.47,3037.70,2975.75,3176.96,3127.78
山东省,,,,,,314.08,314.10,314.08,335.98,366.30
河南省,,,,,,,,,4.70,22.27
湖北省,,,,,,418.37,418.40,418.37,460.43,460.43
湖南省,,,,,,2012.01,2004.40,1986.07,2015.42,2021.23
广东省,,,,,,5295.26,5375.10,5396.73,5408.55,5455.93
广西壮族自治区,,,,,,43180.03,31925.50,31906.65,23605.60,15123.20
海南省,,,,,,2814.74,1907.00,1916.80,1917.60,1923.20
重庆市,,,,,,0.40,0.40,0.40,,9.00
四川省,,,,,,56.10,56.10,56.10,56.10,56.10
贵州省,,,,,,15.00,15.00,15.00,16.05,16.05
云南省,,,,,,136.10,311.10,311.10,402.30,402.30
西藏自治区,,,,,,,,,,
陕西省,,,,,,81.10,81.10,81.10,81.10,81.10
甘肃省,,,,,,,,,,
青海省,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,
新疆维吾尔自治区,,,,,,7.84,7.80,7.84,9.93,12.16
注：数据由国土资源部提供。
数据来源：国家统计局
