数据库：分省年度数据
指标：地表水资源量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,8.2,8.6,14.3,12.0,14.0,9.3,6.5,9.4,18.0
天津市,,8.6,5.1,11.8,8.8,14.1,8.7,8.3,10.8,26.5
河北省,,55.7,51.4,85.3,60.0,105.9,50.9,46.9,76.8,117.8
山西省,,72.2,58.5,81.3,87.8,88.9,53.8,65.2,81.0,65.9
内蒙古自治区,,354.2,305.8,302.4,194.1,268.5,402.1,397.6,813.5,349.2
辽宁省,,357.7,211.5,209.3,161.0,286.2,152.0,123.7,420.3,492.4
吉林省,,504.8,437.4,422.2,339.8,420.7,272.0,251.0,535.2,387.3
黑龙江省,,1221.5,1305.7,842.2,626.5,720.0,686.0,814.4,1253.3,695.7
上海市,,49.9,40.9,32.0,27.8,52.7,55.3,40.1,22.8,27.4
江苏省,,486.6,163.0,274.9,295.4,605.8,462.9,296.4,202.3,279.1
浙江省,,1008.8,1303.0,848.3,881.9,1306.8,1390.4,1118.2,917.3,1427.1
安徽省,,1193.7,482.1,766.7,717.8,1179.2,850.2,712.9,525.4,640.6
福建省,,759.0,1362.5,777.0,1054.2,2107.1,1324.7,1218.4,1150.7,1510.1
江西省,,1666.7,2032.7,1129.9,1637.2,2203.2,1983.0,1613.3,1405.3,2155.8
山东省,,259.8,119.7,230.6,139.1,121.2,84.3,76.6,191.1,182.2
河南省,,294.8,105.8,241.7,311.2,220.1,186.7,177.4,123.1,172.7
湖北省,,1735.0,583.4,825.9,1219.3,1468.2,986.3,885.9,756.6,783.8
湖南省,,2111.2,2091.2,1336.5,1905.7,2189.5,1912.4,1791.5,1574.3,1981.3
广东省,,1616.3,2058.3,1885.2,1777.0,2448.5,1923.4,1709.0,2253.7,2017.5
广西壮族自治区,,2113.7,2103.8,1829.7,2386.0,2176.8,2432.2,1989.6,2056.3,2086.4
海南省,,260.6,249.3,414.6,380.5,486.3,195.9,378.7,496.5,360.2
重庆市,,766.9,498.1,524.2,656.1,604.9,456.2,642.6,474.3,476.9
四川省,,3236.2,2747.7,2951.5,2466.0,2339.7,2219.4,2556.5,2469.1,2891.2
贵州省,,1328.6,1117.0,978.7,1051.5,1066.1,1153.7,1213.1,759.4,974.0
云南省,,1799.2,1533.8,2206.5,2202.6,2088.9,1871.9,1726.6,1706.7,1689.8
西藏自治区,,4597.3,4496.9,4658.2,4749.9,4642.2,3853.0,4416.3,4415.7,4196.4
陕西省,,385.6,469.7,347.6,422.6,249.2,309.2,325.8,331.5,368.0
甘肃省,,396.0,312.2,325.7,231.8,160.9,157.3,190.5,262.2,259.0
青海省,,989.5,898.2,939.5,764.3,591.5,570.1,776.0,629.5,879.2
宁夏回族自治区,,9.0,10.3,12.0,8.7,7.5,7.1,8.2,9.5,8.5
新疆维吾尔自治区,,759.6,829.7,817.8,969.5,1039.3,880.1,686.6,905.6,851.6
数据来源：国家统计局
