数据库：分省年度数据
指标：地下水资源量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,22.3,24.7,28.9,20.4,24.2,20.6,16.0,18.7,26.5
天津市,,5.8,4.2,7.3,5.5,6.1,4.9,3.7,5.0,7.6
河北省,,130.3,97.8,124.4,116.3,133.7,113.6,89.3,138.8,164.8
山西省,,85.9,82.5,100.3,104.1,104.9,86.4,97.3,96.9,88.3
内蒙古自治区,,243.9,233.8,253.6,207.3,248.2,224.6,236.3,249.3,258.4
辽宁省,,115.2,106.8,79.8,86.6,120.9,83.2,82.3,139.4,147.4
吉林省,,169.4,156.1,137.9,133.3,154.7,127.4,120.2,160.2,147.0
黑龙江省,,406.5,413.6,347.5,273.2,285.9,283.0,295.4,381.5,289.8
上海市,,11.6,10.4,9.6,9.2,11.3,11.7,10.0,8.2,9.7
江苏省,,137.8,77.5,119.7,114.5,164.0,142.4,118.9,97.2,110.2
浙江省,,224.4,253.7,213.9,204.3,255.5,269.8,231.8,207.3,273.5
安徽省,,228.6,144.8,203.7,201.0,219.3,193.7,178.9,144.5,159.3
福建省,,243.5,339.0,245.7,287.5,450.7,332.3,330.5,337.6,349.3
江西省,,386.0,482.4,298.5,379.5,501.9,465.0,397.2,378.4,462.3
山东省,,201.8,128.4,196.7,151.1,164.8,133.1,116.9,172.3,164.2
河南省,,185.8,119.1,188.0,206.5,190.2,173.1,166.8,147.1,161.8
湖北省,,381.6,217.3,257.7,319.0,313.6,279.6,282.0,251.3,262.8
湖南省,,466.1,472.3,333.5,436.8,475.4,432.4,434.1,382.1,417.9
广东省,,399.1,508.2,460.6,440.7,570.0,461.4,420.5,532.5,485.8
广西壮族自治区,,445.4,445.0,440.9,446.6,529.2,467.3,403.0,478.1,587.3
海南省,,74.6,73.0,98.0,96.8,118.3,50.6,96.7,119.5,92.6
重庆市,,128.7,98.5,104.0,116.1,112.3,103.3,121.8,96.4,97.8
四川省,,649.1,616.2,635.1,607.5,593.3,584.0,606.2,607.5,614.9
贵州省,,281.0,267.0,252.7,260.8,251.3,282.2,294.4,235.6,253.3
云南省,,619.8,554.6,772.8,762.0,699.7,607.5,558.4,573.3,583.2
西藏自治区,,1045.7,1037.0,1105.7,1086.0,1028.0,803.0,985.1,991.7,951.9
陕西省,,146.7,139.4,125.0,141.6,107.4,120.6,124.1,118.5,130.2
甘肃省,,158.2,148.7,165.6,133.4,108.7,100.9,112.6,138.9,139.1
青海省,,437.3,412.7,424.2,355.7,282.5,273.6,349.4,290.8,400.5
宁夏回族自治区,,17.8,18.4,18.1,19.3,18.6,20.9,21.3,22.1,21.6
新疆维吾尔自治区,,503.5,508.5,497.0,587.0,610.4,544.9,443.9,560.2,557.0
数据来源：国家统计局
