数据库：分省年度数据
指标：地表水供水总量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,15.1,15.1,12.3,12.4,11.3,10.5,9.3,8.3,8.0
天津市,,19.2,19.2,19.5,19.0,19.1,17.9,15.9,16.2,16.0
河北省,,84.8,78.3,70.4,59.4,51.5,48.7,46.8,43.1,41.3
山西省,,39.5,42.3,39.8,39.6,39.5,37.1,32.8,33.2,31.8
内蒙古自治区,,105.7,100.0,99.5,99.2,98.3,95.2,89.1,91.4,89.6
辽宁省,,72.9,72.6,72.5,72.4,74.2,78.0,80.0,78.4,77.6
吉林省,,79.5,75.0,76.6,81.5,87.2,88.9,87.5,86.9,85.9
黑龙江省,,182.9,173.5,190.3,188.9,184.8,196.7,196.3,194.9,197.4
上海市,,97.4,100.9,103.4,104.8,104.8,103.8,105.9,123.1,115.9
江苏省,,556.0,602.3,575.5,575.3,561.0,558.0,574.7,567.4,542.4
浙江省,,159.7,162.4,170.4,176.2,178.5,183.4,189.7,194.6,193.9
安徽省,,233.8,244.1,251.5,256.5,256.1,253.9,239.9,260.9,257.4
福建省,,177.8,171.3,181.2,186.4,182.8,194.7,198.5,197.7,192.8
江西省,,235.8,243.2,240.6,237.6,235.1,235.6,248.3,255.3,233.2
山东省,,135.7,137.0,125.7,121.1,123.3,122.0,121.3,124.9,126.1
河南省,,120.8,117.4,112.4,113.1,105.0,100.6,88.6,101.0,100.5
湖北省,,273.8,297.3,289.0,281.4,273.1,292.2,279.1,282.6,288.2
湖南省,,297.9,319.0,322.6,311.7,315.1,314.2,314.6,314.8,310.3
广东省,,390.4,397.6,406.1,417.3,418.8,426.0,425.5,425.6,432.4
广西壮族自治区,,249.8,272.1,276.1,273.1,278.0,286.4,295.2,295.9,291.4
海南省,,42.6,42.9,41.7,42.3,41.9,42.9,41.9,40.0,42.0
重庆市,,64.6,75.1,75.9,76.1,76.0,77.4,78.9,82.2,81.2
四川省,,227.8,241.8,248.1,254.3,253.9,250.4,217.9,219.7,222.8
贵州省,,87.1,103.4,104.3,101.1,96.5,94.5,90.9,90.0,98.1
云南省,,149.9,148.4,150.0,149.9,145.3,144.7,142.5,143.7,145.3
西藏自治区,,28.5,28.2,27.9,27.8,28.6,27.7,26.7,26.8,26.3
陕西省,,55.7,58.5,59.4,58.2,55.5,56.0,55.2,54.6,54.0
甘肃省,,82.1,81.2,83.6,87.1,90.5,90.1,90.9,90.9,95.9
青海省,,18.9,20.7,20.9,20.7,21.5,22.2,22.6,24.3,23.8
宁夏回族自治区,,63.6,62.7,59.8,60.3,59.4,65.0,64.7,66.4,63.8
新疆维吾尔自治区,,442.9,479.1,445.8,440.9,445.9,456.9,449.4,472.2,477.9
数据来源：国家统计局
