数据库：分省年度数据
指标：地下水供水总量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,13.5,15.1,16.3,16.6,17.5,18.2,19.6,20.0,20.4
天津市,,3.0,3.9,4.4,4.6,4.7,4.9,5.3,5.7,5.5
河北省,,88.2,96.4,106.1,116.0,125.0,133.6,142.1,144.6,151.3
山西省,,27.7,29.2,30.0,31.1,31.7,33.2,35.1,36.1,38.8
内蒙古自治区,,81.6,84.3,88.7,85.3,88.8,88.3,90.8,88.9,93.0
辽宁省,,50.8,52.7,53.3,54.5,57.0,58.6,58.4,60.0,61.3
吉林省,,36.0,39.0,42.5,44.7,44.9,44.0,44.9,44.0,43.3
黑龙江省,,129.4,135.4,152.8,163.1,166.8,157.7,167.6,167.4,161.5
上海市,,,,,,0.0,,0.1,0.1,0.1
江苏省,,4.3,6.3,7.9,8.4,8.9,9.1,9.7,9.3,9.8
浙江省,,0.3,0.7,0.8,1.3,1.6,1.7,2.2,2.5,3.3
安徽省,,28.7,29.1,29.8,30.8,32.0,32.5,30.3,33.4,34.4
福建省,,3.4,4.7,4.4,5.0,5.6,6.0,6.5,6.5,6.6
江西省,,6.0,8.0,8.0,8.3,8.2,8.2,9.1,9.5,9.4
山东省,,75.0,78.7,78.3,79.7,82.3,83.1,86.0,86.9,89.3
河南省,,105.8,112.5,116.0,115.5,119.8,120.7,119.4,138.8,137.2
湖北省,,4.6,5.6,7.8,8.8,8.8,9.1,9.2,9.2,10.1
湖南省,,4.8,13.3,14.3,15.2,15.2,16.2,17.8,17.7,18.5
广东省,,11.1,11.8,12.6,13.8,14.3,15.3,15.3,15.9,17.0
广西壮族自治区,,9.1,9.3,10.0,10.5,11.5,11.7,11.6,11.6,11.0
海南省,,1.1,3.0,3.0,3.1,2.9,2.7,3.0,3.1,3.3
重庆市,,1.0,1.0,1.1,1.1,1.4,1.4,1.5,1.6,1.6
四川省,,7.9,9.8,10.3,12.1,12.0,13.3,17.3,16.4,18.6
贵州省,,2.0,3.5,1.8,1.8,3.1,3.0,2.8,1.9,1.1
云南省,,3.8,3.5,3.4,3.7,3.7,4.3,5.8,4.8,5.4
西藏自治区,,3.6,3.7,3.7,3.6,2.5,3.1,3.8,3.5,3.5
陕西省,,30.9,31.1,31.7,32.6,33.3,33.4,33.3,33.5,33.4
甘肃省,,23.6,24.6,24.8,25.1,24.8,26.9,28.1,29.4,25.7
青海省,,4.8,5.0,5.0,5.0,4.8,4.5,3.6,3.8,3.5
宁夏回族自治区,,6.1,6.8,6.1,5.5,5.3,5.1,5.5,5.6,5.5
新疆维吾尔自治区,,124.3,106.4,101.3,109.8,118.6,119.4,131.4,114.7,110.9
数据来源：国家统计局
