数据库：分省年度数据
指标：农业用水总量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,3.2,3.7,4.2,5.1,6.0,6.4,8.2,9.1,9.3
天津市,,10.3,9.2,10.0,10.7,12.0,12.5,11.7,12.4,11.7
河北省,,107.7,114.3,121.1,126.1,128.0,135.3,139.2,137.6,142.9
山西省,,41.0,43.8,43.3,45.5,46.7,45.1,41.5,43.1,42.7
内蒙古自治区,,140.0,139.6,140.3,138.1,139.2,140.1,137.5,132.5,135.4
辽宁省,,79.6,80.7,80.5,81.6,84.9,88.8,89.6,90.8,91.5
吉林省,,83.0,81.5,84.4,89.8,91.1,90.2,89.8,88.8,84.7
黑龙江省,,278.4,274.2,304.8,316.4,313.8,312.5,316.1,308.3,294.9
上海市,,15.2,16.9,16.5,16.7,14.5,14.3,14.6,16.3,17.5
江苏省,,266.6,303.1,273.3,280.6,270.8,279.1,297.8,301.9,305.4
浙江省,,73.9,72.4,77.1,80.9,81.0,84.7,88.2,91.9,91.3
安徽省,,144.5,150.2,154.0,158.2,158.6,157.5,142.8,162.1,157.9
福建省,,99.7,83.7,87.5,91.2,84.2,93.3,95.6,95.7,92.8
江西省,,161.9,162.5,160.7,156.3,154.2,154.1,168.6,175.7,155.7
山东省,,134.0,138.2,133.5,134.0,141.5,143.3,146.7,149.7,154.2
河南省,,123.5,121.8,119.9,122.8,125.6,125.9,117.6,141.7,135.5
湖北省,,139.1,155.6,153.8,148.1,137.0,158.1,156.9,159.6,146.4
湖南省,,195.8,191.7,194.5,193.7,195.1,195.2,200.2,195.3,188.0
广东省,,210.9,208.5,214.2,220.3,220.5,227.0,224.3,223.7,227.6
广西壮族自治区,,186.9,189.9,196.4,195.8,198.3,201.7,209.2,209.4,211.9
海南省,,33.4,34.2,32.6,33.3,33.1,34.4,33.4,32.3,34.7
重庆市,,29.0,25.2,25.4,25.4,25.5,25.8,23.7,24.6,25.2
四川省,,153.9,154.5,156.6,160.5,155.9,156.7,145.4,139.4,145.8
贵州省,,51.8,61.7,61.2,58.9,56.4,54.3,50.4,48.2,47.7
云南省,,110.0,106.4,107.2,108.5,105.2,104.6,103.3,102.7,103.8
西藏自治区,,27.4,27.2,27.0,26.9,26.9,27.2,27.7,27.6,27.1
陕西省,,55.6,55.1,57.1,58.2,57.6,57.9,57.9,58.1,58.2
甘肃省,,83.7,86.5,89.2,92.3,94.7,96.2,97.8,99.2,95.1
青海省,,17.7,18.9,19.3,19.2,19.9,20.9,21.0,22.8,22.5
宁夏回族自治区,,58.6,59.6,56.7,56.7,56.3,62.0,61.3,63.4,61.4
新疆维吾尔自治区,,496.2,511.4,490.9,514.4,533.3,546.4,551.0,557.7,561.7
数据来源：国家统计局
