数据库：分省年度数据
指标：工业用水总量(亿立方米)
时间：最近10年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年
北京市,,3.0,3.3,3.3,3.5,3.8,3.8,5.1,5.1,4.9
天津市,,4.5,5.5,5.4,5.5,5.5,5.3,5.4,5.4,5.1
河北省,,18.2,18.8,19.1,20.3,21.9,22.5,24.5,25.2,25.2
山西省,,12.4,13.5,14.0,13.5,12.9,13.7,14.2,14.9,15.5
内蒙古自治区,,13.4,14.6,15.9,15.7,17.4,18.8,19.7,23.6,23.5
辽宁省,,16.9,18.3,18.7,18.6,19.6,21.4,22.8,22.8,23.0
吉林省,,10.0,14.1,16.7,18.1,20.9,23.2,26.8,26.5,27.1
黑龙江省,,18.5,19.5,19.8,19.7,20.6,23.8,29.0,34.0,41.7
上海市,,57.9,58.9,61.6,62.7,64.4,64.6,66.2,80.4,72.9
江苏省,,236.9,248.3,255.2,250.1,248.5,239.0,238.0,220.1,193.1
浙江省,,35.7,40.8,44.0,46.1,48.4,51.6,55.7,58.8,60.7
安徽省,,80.4,85.2,91.0,92.2,93.1,93.5,92.7,98.4,99.3
福建省,,41.1,56.0,62.1,64.4,68.6,72.5,75.3,75.0,75.7
江西省,,50.4,59.4,58.8,60.5,60.5,61.6,61.3,60.1,58.7
山东省,,31.9,31.9,32.5,28.8,30.6,29.6,28.6,28.9,28.1
河南省,,35.6,45.2,50.4,51.0,50.3,52.5,52.6,59.4,60.5
湖北省,,77.6,91.3,87.4,87.8,91.4,93.3,90.2,92.4,121.6
湖南省,,58.0,90.8,93.2,86.0,89.0,90.2,87.7,94.4,98.1
广东省,,80.4,94.6,99.4,107.0,109.2,112.5,117.0,119.6,121.6
广西壮族自治区,,34.7,49.0,47.6,46.0,49.8,55.5,56.8,57.4,51.5
海南省,,1.5,2.8,2.9,3.0,3.1,3.2,3.9,3.8,3.8
重庆市,,17.1,28.1,29.1,30.4,30.7,32.5,36.7,40.4,39.4
四川省,,23.5,37.9,42.5,51.4,55.8,55.4,44.7,58.3,54.7
贵州省,,18.7,25.4,25.2,24.8,25.7,25.5,27.7,27.0,39.7
云南省,,16.5,20.8,21.0,23.4,21.1,23.0,24.6,25.3,27.8
西藏自治区,,1.2,1.5,1.5,1.5,1.5,1.4,1.7,1.7,1.7
陕西省,,10.9,14.8,14.5,14.3,13.7,14.2,14.0,13.8,13.3
甘肃省,,6.2,8.7,9.2,10.4,11.1,11.6,12.8,13.1,15.7
青海省,,2.4,2.8,2.5,2.5,2.6,2.9,2.4,2.9,2.5
宁夏回族自治区,,4.2,4.4,4.3,4.5,4.4,4.4,5.0,5.0,4.9
新疆维吾尔自治区,,10.7,11.5,12.6,13.1,11.7,11.8,13.3,12.8,12.4
数据来源：国家统计局
