数据库：分省年度数据
指标：人均用水量(立方米/人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,185.4,193.6,181.7,181.9,178.6,176.8,175.7,173.9,175.5,180.7,189.4,205.8,210.8,216.6,219.9,225.0,231.4,,
天津市,,200.6,181.9,182.2,176.3,175.0,167.8,161.2,164.7,167.1,174.0,177.9,194.4,194.9,213.4,216.8,222.0,215.4,,
河北省,,245.2,240.7,242.0,242.3,245.2,252.8,262.0,261.7,268.9,271.5,272.3,276.3,280.0,292.6,296.7,295.4,287.7,,
山西省,,208.4,204.1,200.3,202.9,205.6,201.3,196.1,203.8,203.7,207.0,182.2,164.6,167.3,173.6,176.2,166.6,167.6,,
内蒙古自治区,,807.0,752.5,758.8,744.7,756.5,740.9,727.6,734.7,741.6,745.7,737.9,749.6,729.5,749.9,747.2,734.5,719.3,,
辽宁省,,303.1,299.2,298.6,299.8,309.1,321.0,322.9,323.8,324.3,330.1,329.7,330.8,331.5,333.5,332.6,316.7,308.8,,
吉林省,,485.7,427.8,440.9,465.0,483.0,485.3,483.3,478.0,472.1,477.6,437.6,405.9,381.0,369.6,378.4,363.3,366.1,,
黑龙江省,,977.6,825.1,909.6,930.7,926.6,929.5,949.7,944.8,936.1,919.1,848.6,826.7,776.6,762.1,748.9,712.9,679.7,,
上海市,,392.4,415.9,427.1,433.3,433.5,428.8,437.6,513.9,490.6,535.5,559.7,657.4,639.5,654.5,660.0,684.2,678.2,,
江苏省,,675.1,768.1,736.3,737.8,722.9,721.0,743.8,727.3,698.2,705.4,704.4,713.2,729.7,735.9,727.3,697.4,707.1,,
浙江省,,255.2,286.2,305.1,319.2,325.5,336.9,,361.4,362.2,364.0,378.7,384.0,425.6,420.3,421.7,429.8,440.2,,
安徽省,,439.9,437.7,454.4,466.3,471.2,472.3,449.3,492.6,489.5,494.1,485.0,475.9,434.8,379.5,395.5,340.9,324.6,,
福建省,,441.1,448.6,476.1,493.3,490.3,526.6,542.6,544.6,535.8,563.4,550.2,557.2,551.3,549.9,528.0,530.2,526.7,,
江西省,,540.3,543.9,541.1,538.3,535.9,539.8,572.2,586.8,539.4,587.4,539.1,546.3,534.2,539.5,475.6,484.0,475.1,,
山东省,,219.5,224.0,212.1,210.0,216.2,216.7,219.8,224.5,229.6,233.1,233.5,233.0,234.1,235.1,243.4,228.9,234.1,,
河南省,,239.0,247.1,244.8,244.9,239.4,235.6,222.1,255.7,253.9,243.8,237.8,247.1,242.2,223.2,241.8,211.5,206.5,,
湖北省,,477.9,512.0,502.4,492.6,480.5,516.5,496.5,504.1,518.9,516.7,503.1,492.4,474.5,454.2,453.9,445.1,403.4,,
湖南省,,459.3,482.0,489.9,477.8,485.7,488.7,495.1,498.9,496.9,495.9,501.2,504.2,508.2,510.8,517.4,520.7,483.2,,
广东省,,322.6,360.6,373.9,391.1,398.2,410.8,414.2,417.3,427.5,443.3,456.0,483.2,486.0,493.3,496.7,500.7,560.0,,
广西壮族自治区,,522.1,573.3,586.7,586.0,603.3,626.8,649.4,655.6,649.8,652.2,637.2,627.3,647.1,654.4,670.5,673.4,594.8,,
海南省,,438.5,493.9,484.9,494.8,492.3,504.9,500.7,484.5,514.0,509.5,511.9,517.6,552.0,555.5,558.4,533.6,566.0,,
重庆市,,219.2,245.7,250.0,252.8,255.6,263.0,270.0,283.7,282.9,299.2,300.8,299.4,292.7,275.3,261.2,255.1,216.1,,
四川省,,283.3,302.0,311.4,324.1,324.7,324.9,291.6,299.7,305.0,290.1,283.8,273.8,255.3,262.6,262.7,259.3,241.1,,
贵州省,,233.8,299.3,297.5,290.1,283.1,277.1,271.9,263.4,290.0,276.1,289.2,264.5,269.7,260.7,267.1,261.4,241.6,,
云南省,,330.6,319.8,323.3,327.2,315.8,317.5,317.9,320.4,326.9,318.0,321.6,335.0,338.2,333.5,324.1,330.9,332.8,,
西藏自治区,,885.8,920.9,931.0,940.8,949.6,960.2,967.3,978.2,975.9,1025.1,1177.7,1069.4,1314.5,1299.1,1255.4,1201.8,1021.5,,
陕西省,,229.4,239.3,243.4,243.2,238.8,241.0,238.3,237.3,234.9,234.7,223.5,223.9,227.6,217.9,225.6,212.4,203.9,,
甘肃省,,438.7,416.4,426.8,443.5,454.5,459.3,466.2,472.9,478.7,479.6,476.3,458.4,465.9,469.1,470.5,475.5,464.9,,
青海省,,410.8,432.7,434.6,433.1,447.1,457.4,453.8,490.0,480.3,550.5,549.2,517.8,621.3,565.6,590.3,565.9,559.7,,
宁夏回族自治区,,976.4,1010.8,966.4,974.3,966.5,1059.1,1068.6,1108.6,1078.0,1157.0,1150.4,1162.3,1208.1,1169.7,1293.8,1314.2,1259.3,,
新疆维吾尔自治区,,2215.6,2346.1,2225.5,2280.8,2376.6,2478.2,2550.7,2615.4,2657.4,2382.9,2463.7,2475.1,2499.9,2498.1,2529.2,2539.7,2532.1,,
数据来源：国家统计局
