数据库：分省年度数据
指标：氨氮排放量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.28,0.28,0.30,0.10,0.38,1.65,1.90,1.97,2.05,2.13,1.21,1.30,1.19,1.24,1.31,1.37,1.71,,
天津市,,0.26,0.17,0.18,0.18,0.18,2.38,2.45,2.47,2.54,2.64,1.98,1.20,1.43,1.49,1.50,1.94,1.54,,
河北省,,3.22,1.83,2.09,2.50,2.21,9.73,10.27,10.71,11.07,11.43,5.46,5.51,5.58,6.05,6.78,6.89,6.28,,
山西省,,1.64,1.12,1.15,1.24,1.38,5.01,5.37,5.53,5.69,5.91,4.15,4.07,4.19,4.45,4.24,4.26,4.20,,
内蒙古自治区,,1.39,0.34,0.40,0.49,0.73,4.69,4.93,5.12,5.27,5.39,4.06,3.39,3.38,3.33,3.77,5.00,3.01,,
辽宁省,,1.85,0.96,1.36,1.49,1.38,9.63,10.01,10.33,10.75,11.11,5.61,6.25,6.44,6.87,7.40,9.09,6.48,,
吉林省,,0.96,0.53,0.67,0.63,0.71,5.14,5.31,5.47,5.63,5.82,2.97,2.86,3.03,3.05,3.61,3.60,3.16,,
黑龙江省,,2.42,1.37,1.48,1.58,1.87,8.13,8.49,8.77,9.28,9.65,4.34,4.75,4.98,5.10,5.27,5.46,4.84,,
上海市,,0.30,0.73,0.81,0.94,1.74,4.25,4.46,4.58,4.74,5.04,2.75,2.98,3.35,3.40,3.45,3.37,3.10,,
江苏省,,5.19,3.35,3.59,3.91,4.50,13.77,14.25,14.74,15.31,15.72,6.30,6.53,7.00,7.46,8.31,8.49,7.30,,
浙江省,,3.84,1.34,1.45,1.60,2.01,9.85,10.32,10.75,11.23,11.54,3.97,4.10,4.69,5.31,5.73,6.29,6.29,,
安徽省,,4.43,1.97,2.06,1.96,2.04,9.68,10.05,10.33,10.61,10.98,4.43,4.68,4.77,5.48,5.92,5.30,4.86,,
福建省,,4.55,1.56,1.74,1.76,1.95,8.51,8.93,9.09,9.32,9.54,2.98,3.01,3.00,2.98,4.92,5.16,4.45,,
江西省,,4.59,2.80,2.68,2.61,3.06,8.46,8.60,8.88,9.11,9.34,3.46,3.41,3.43,3.71,3.53,3.43,3.28,,
山东省,,5.31,2.34,2.48,2.56,2.88,15.22,15.50,16.15,16.86,17.29,6.65,6.73,7.04,7.67,8.32,8.43,8.09,,
河南省,,4.63,2.06,2.30,2.55,2.71,13.43,13.90,14.42,14.98,15.38,7.25,7.52,7.63,8.55,9.36,10.36,9.11,,
湖北省,,5.82,2.25,2.46,2.66,2.74,11.43,12.04,12.49,12.89,13.12,6.14,6.46,6.98,7.13,7.40,7.76,7.48,,
湖南省,,7.14,2.97,3.10,2.98,3.64,15.11,15.44,15.77,16.13,16.50,7.53,8.40,8.47,9.15,10.05,10.08,9.39,,
广东省,,9.64,4.48,4.94,5.11,5.24,19.97,20.82,21.64,22.41,23.09,10.70,11.51,12.24,12.00,9.30,9.97,8.67,,
广西壮族自治区,,7.25,2.47,2.44,2.29,2.26,7.67,7.93,8.10,8.26,8.39,4.74,4.80,5.58,6.10,7.10,8.94,7.39,,
海南省,,0.81,0.47,0.50,0.55,0.57,2.10,2.29,2.26,2.25,2.27,0.77,0.81,0.86,0.84,0.76,0.70,0.64,,
重庆市,,2.01,0.49,0.53,0.53,0.78,5.01,5.13,5.22,5.34,5.50,2.52,2.68,2.34,2.49,2.83,2.78,2.77,,
四川省,,8.02,3.39,3.37,3.25,3.40,13.14,13.47,13.70,14.07,14.37,6.06,5.95,6.19,5.97,6.60,6.65,6.73,,
贵州省,,2.89,1.56,1.43,1.38,1.32,3.64,3.80,3.83,3.87,3.98,1.65,1.71,1.77,1.77,1.78,1.75,1.79,,
云南省,,2.79,1.30,1.25,1.27,1.45,5.49,5.65,5.80,5.86,5.93,2.07,1.90,2.03,1.98,1.96,1.94,1.81,,
西藏自治区,,0.51,0.22,0.21,0.23,0.24,0.34,0.34,0.32,0.32,0.33,0.18,0.15,0.15,0.14,0.14,0.14,0.14,,
陕西省,,2.53,0.92,1.00,1.05,1.05,5.56,5.82,5.96,6.19,6.34,3.23,3.19,3.17,2.58,2.65,2.61,2.52,,
甘肃省,,0.65,0.50,0.55,0.59,0.66,3.72,3.81,3.92,4.10,4.26,2.35,2.67,2.21,2.25,3.34,3.44,2.60,,
青海省,,0.54,0.28,0.34,0.27,0.40,1.00,0.98,0.97,0.98,0.96,0.83,0.71,0.69,0.70,0.69,0.69,0.53,,
宁夏回族自治区,,0.34,0.33,0.38,0.45,0.60,1.62,1.66,1.71,1.74,1.80,1.29,0.81,0.78,0.79,0.99,1.69,0.74,,
新疆维吾尔自治区,,2.58,1.88,2.21,2.15,2.67,4.56,4.59,4.65,4.72,4.68,2.66,2.55,2.39,2.31,2.31,2.20,2.02,,
数据来源：国家统计局
