数据库：分省年度数据
指标：总氮排放量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1.09,1.31,1.35,1.85,1.77,3.29,3.71,3.13,3.26,3.28,,,,,,,,,
天津市,,1.69,1.14,1.26,1.32,1.00,3.60,3.68,3.61,3.29,3.67,,,,,,,,,
河北省,,11.45,4.61,5.08,5.53,4.69,37.83,38.54,36.10,36.04,45.01,,,,,,,,,
山西省,,5.40,2.64,2.79,2.74,2.80,8.93,9.25,8.29,8.45,8.79,,,,,,,,,
内蒙古自治区,,5.81,1.34,1.65,1.65,1.86,18.93,18.88,15.50,26.70,15.92,,,,,,,,,
辽宁省,,10.00,3.93,4.41,4.42,4.06,20.78,20.78,20.35,20.53,20.01,,,,,,,,,
吉林省,,4.75,1.71,1.76,1.58,1.51,12.47,12.83,12.87,12.90,11.03,,,,,,,,,
黑龙江省,,10.32,3.27,3.27,3.04,3.44,28.46,27.56,26.52,24.75,26.93,,,,,,,,,
上海市,,2.68,2.27,2.71,3.05,3.17,1.56,1.50,1.56,1.55,1.53,,,,,,,,,
江苏省,,18.65,8.82,9.32,9.56,9.56,17.34,17.42,17.41,17.47,17.62,,,,,,,,,
浙江省,,12.32,5.36,5.32,6.02,6.40,8.43,9.59,9.38,9.23,9.23,,,,,,,,,
安徽省,,15.17,4.84,4.95,4.50,4.66,18.62,18.62,18.61,18.12,18.85,,,,,,,,,
福建省,,12.22,3.87,4.15,4.02,4.00,9.15,9.32,9.64,9.57,9.55,,,,,,,,,
江西省,,12.91,4.89,4.81,4.51,5.15,10.72,11.24,10.66,11.38,9.46,,,,,,,,,
山东省,,17.07,6.94,7.33,7.92,7.50,67.67,57.42,56.53,56.27,56.03,,,,,,,,,
河南省,,17.39,6.36,6.35,6.56,6.91,42.66,42.72,41.65,41.86,41.46,,,,,,,,,
湖北省,,18.94,5.30,5.38,5.24,5.31,18.55,19.28,19.39,19.46,19.77,,,,,,,,,
湖南省,,20.31,5.52,5.46,5.13,6.28,22.25,22.29,22.07,22.05,23.07,,,,,,,,,
广东省,,29.11,13.18,13.16,13.21,12.47,18.73,18.82,19.37,19.46,12.54,,,,,,,,,
广西壮族自治区,,22.92,4.70,4.70,4.29,4.24,11.42,11.43,11.69,11.59,11.56,,,,,,,,,
海南省,,3.08,0.95,0.93,1.04,1.05,3.99,4.09,3.07,4.12,3.86,,,,,,,,,
重庆市,,5.92,1.99,2.05,1.89,2.18,5.38,5.44,5.38,5.41,5.51,,,,,,,,,
四川省,,20.06,7.29,6.91,6.48,6.69,22.46,22.49,28.74,22.14,23.02,,,,,,,,,
贵州省,,10.37,2.98,2.48,2.30,2.27,4.76,4.70,4.38,4.68,4.44,,,,,,,,,
云南省,,11.02,2.42,2.39,2.44,2.59,7.55,7.67,7.66,7.61,8.10,,,,,,,,,
西藏自治区,,1.88,0.32,0.29,0.28,0.30,0.73,0.62,0.58,0.57,0.53,,,,,,,,,
陕西省,,7.05,2.87,2.75,2.67,2.86,10.02,10.00,9.56,8.58,10.21,,,,,,,,,
甘肃省,,3.60,1.28,1.37,1.35,1.59,5.13,5.12,4.74,4.75,5.19,,,,,,,,,
青海省,,1.34,0.83,0.81,0.65,0.98,0.79,0.79,0.72,0.67,0.79,,,,,,,,,
宁夏回族自治区,,1.43,1.33,1.33,1.27,1.63,3.60,3.08,2.74,2.73,3.06,,,,,,,,,
新疆维吾尔自治区,,6.34,3.39,3.71,3.72,4.65,15.54,17.27,16.21,16.21,17.06,,,,,,,,,
数据来源：国家统计局
