数据库：分省年度数据
指标：挥发酚排放量(吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.5,0.9,,,,,,,,,
天津市,,0.1,2.7,7.8,7.1,3.4,0.3,1.1,1.8,1.2,1.3,,,,,,,,,
河北省,,5.0,14.1,15.6,25.2,45.1,35.1,33.9,27.5,120.3,308.8,,,,,,,,,
山西省,,1.0,1.4,1.4,24.1,12.0,423.3,653.5,621.1,727.2,1048.0,,,,,,,,,
内蒙古自治区,,0.2,1.9,1.5,2.1,0.8,150.3,183.5,241.5,216.8,5.9,,,,,,,,,
辽宁省,,11.2,13.8,13.3,17.7,10.2,9.6,8.4,8.1,30.1,70.0,,,,,,,,,
吉林省,,0.4,4.2,2.9,3.6,2.1,4.0,3.9,5.7,5.0,4.7,,,,,,,,,
黑龙江省,,1.1,3.1,3.1,5.4,2.5,2.5,4.3,6.5,6.5,25.7,,,,,,,,,
上海市,,0.5,0.7,0.7,0.7,1.2,1.1,1.7,3.0,4.0,5.8,,,,,,,,,
江苏省,,4.4,3.6,10.9,31.5,22.8,31.5,44.8,40.5,52.1,63.3,,,,,,,,,
浙江省,,0.8,2.4,2.7,2.9,3.1,4.2,5.0,7.3,23.9,23.7,,,,,,,,,
安徽省,,1.3,5.1,17.9,15.1,3.3,3.6,5.4,6.3,5.6,7.0,,,,,,,,,
福建省,,0.7,0.6,0.6,0.3,0.5,2.2,1.9,2.0,9.4,16.7,,,,,,,,,
江西省,,12.0,3.7,9.2,12.7,22.2,14.3,14.2,15.8,10.9,76.8,,,,,,,,,
山东省,,8.7,34.1,32.2,34.7,34.9,33.0,35.2,39.2,38.6,48.6,,,,,,,,,
河南省,,0.7,1.4,1.5,2.7,3.3,108.1,116.2,140.6,136.4,160.1,,,,,,,,,
湖北省,,1.1,2.0,5.5,8.6,15.1,12.5,12.9,19.0,17.0,22.8,,,,,,,,,
湖南省,,0.4,26.2,29.5,33.5,75.2,18.5,18.4,19.5,19.9,104.5,,,,,,,,,
广东省,,0.8,1.3,1.5,1.3,1.4,7.8,10.0,12.6,11.3,13.2,,,,,,,,,
广西壮族自治区,,0.2,0.6,0.6,0.6,2.6,4.8,10.0,12.9,15.0,64.5,,,,,,,,,
海南省,,0.3,11.6,2.3,1.8,0.0,0.0,0.1,,0.3,0.1,,,,,,,,,
重庆市,,3.4,0.8,0.9,1.1,1.0,5.4,8.5,9.5,9.5,35.0,,,,,,,,,
四川省,,2.0,1.4,1.0,2.1,0.9,2.5,2.8,3.5,1.7,55.6,,,,,,,,,
贵州省,,0.1,0.7,0.7,1.1,1.1,0.5,0.6,0.3,1.1,1.0,,,,,,,,,
云南省,,1.1,2.4,2.4,0.3,0.0,1.7,2.1,2.7,3.9,3.9,,,,,,,,,
西藏自治区,,0.0,0.0,0.0,0.0,0.0,5.4,5.4,0.0,,,,,,,,,,,
陕西省,,0.4,0.6,0.7,1.9,1.4,6.1,5.3,2.7,2.7,199.2,,,,,,,,,
甘肃省,,0.3,0.5,2.1,1.6,1.1,21.1,4.4,2.8,2.5,11.1,,,,,,,,,
青海省,,0.5,1.0,0.9,0.9,1.0,0.9,1.0,1.3,1.4,1.7,,,,,,,,,
宁夏回族自治区,,0.3,2.4,2.7,1.3,1.2,68.7,156.9,6.9,10.6,9.5,,,,,,,,,
新疆维吾尔自治区,,0.9,2.9,2.7,2.2,3.0,9.1,26.8,16.0,15.8,41.0,,,,,,,,,
数据来源：国家统计局
