数据库：分省年度数据
指标：总镉排放量(千克)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0,,,,,1,1,17,18,12,,,,,,,,,
天津市,,3,,,,,2,3,3,10,10,,,,,,,,,
河北省,,2,,,,,13,15,29,27,34,,,,,,,,,
山西省,,20,,,,,111,52,785,799,831,,,,,,,,,
内蒙古自治区,,45,,,,,1622,760,537,416,549,,,,,,,,,
辽宁省,,7,,,,,19,24,43,57,96,,,,,,,,,
吉林省,,201,,,,,28,30,29,27,35,,,,,,,,,
黑龙江省,,9,,,,,9,4,4,4,6,,,,,,,,,
上海市,,15,,,,,12,7,13,15,18,,,,,,,,,
江苏省,,10,,,,,26,26,28,39,148,,,,,,,,,
浙江省,,90,,,,,310,244,220,213,281,,,,,,,,,
安徽省,,236,,,,,141,145,132,132,778,,,,,,,,,
福建省,,91,,,,,625,634,317,347,422,,,,,,,,,
江西省,,660,,,,,2093,1769,1984,2220,2792,,,,,,,,,
山东省,,146,,,,,1043,1051,1054,1012,1098,,,,,,,,,
河南省,,33,,,,,364,784,965,1318,2781,,,,,,,,,
湖北省,,384,,,,,859,1039,541,656,847,,,,,,,,,
湖南省,,519,,,,,4593,6537,6747,13517,14518,,,,,,,,,
广东省,,520,,,,,444,396,367,795,1148,,,,,,,,,
广西壮族自治区,,252,,,,,631,954,1076,1406,2498,,,,,,,,,
海南省,,4,,,,,1,0,2,5,6,,,,,,,,,
重庆市,,3,,,,,4,5,5,3,12,,,,,,,,,
四川省,,34,,,,,207,86,84,147,183,,,,,,,,,
贵州省,,27,,,,,20,197,27,124,124,,,,,,,,,
云南省,,279,,,,,857,846,1210,1655,3344,,,,,,,,,
西藏自治区,,2,,,,,1,1,1,1,0,,,,,,,,,
陕西省,,222,,,,,511,512,566,631,965,,,,,,,,,
甘肃省,,160,,,,,1161,824,1289,1304,1425,,,,,,,,,
青海省,,105,,,,,93,244,300,120,148,,,,,,,,,
宁夏回族自治区,,0,,,,,1,2,2,24,29,,,,,,,,,
新疆维吾尔自治区,,87,,,,,17,57,60,210,761,,,,,,,,,
注：自2020年，铅、汞、镉、砷排放量指标名称修改为总铅、总汞、总镉、总砷排放量。
数据来源：国家统计局
