数据库：分省年度数据
指标：总铅排放量(千克)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,3,,,,,4,41,201,216,186,,,,,,,,,
天津市,,23,,,,,92,96,101,1005,1459,,,,,,,,,
河北省,,70,,,,,341,322,347,378,566,,,,,,,,,
山西省,,59,,,,,461,299,192,454,663,,,,,,,,,
内蒙古自治区,,399,,,,,11871,7058,3747,3050,3087,,,,,,,,,
辽宁省,,44,,,,,115,131,247,557,982,,,,,,,,,
吉林省,,953,,,,,204,165,162,199,268,,,,,,,,,
黑龙江省,,46,,,,,46,44,39,31,38,,,,,,,,,
上海市,,58,,,,,153,132,174,321,176,,,,,,,,,
江苏省,,312,,,,,1143,1204,1129,2323,3608,,,,,,,,,
浙江省,,409,,,,,725,454,555,498,568,,,,,,,,,
安徽省,,936,,,,,1513,1345,1550,1737,3026,,,,,,,,,
福建省,,500,,,,,3594,3727,3117,3093,5104,,,,,,,,,
江西省,,2673,,,,,9206,6145,5717,6750,9402,,,,,,,,,
山东省,,796,,,,,924,877,914,736,1097,,,,,,,,,
河南省,,336,,,,,1753,3138,4055,4670,7141,,,,,,,,,
湖北省,,905,,,,,3989,5882,2624,3292,4167,,,,,,,,,
湖南省,,6678,,,,,18173,21609,24319,38607,42466,,,,,,,,,
广东省,,4947,,,,,2724,2278,2565,4855,11512,,,,,,,,,
广西壮族自治区,,848,,,,,4635,5009,6302,5418,15640,,,,,,,,,
海南省,,10,,,,,4,3,6,16,33,,,,,,,,,
重庆市,,143,,,,,83,113,95,88,188,,,,,,,,,
四川省,,238,,,,,3788,1209,1137,1646,1761,,,,,,,,,
贵州省,,115,,,,,73,397,266,289,537,,,,,,,,,
云南省,,2140,,,,,5066,4846,6248,8916,27947,,,,,,,,,
西藏自治区,,5,,,,,6,5,3,3,0,,,,,,,,,
陕西省,,917,,,,,1457,1426,1449,1693,4242,,,,,,,,,
甘肃省,,792,,,,,5840,4382,8068,6793,6885,,,,,,,,,
青海省,,816,,,,,1305,693,631,725,1120,,,,,,,,,
宁夏回族自治区,,1,,,,,7,31,19,92,111,,,,,,,,,
新疆维吾尔自治区,,506,,,,,137,125,135,907,1264,,,,,,,,,
注：自2020年，铅、汞、镉、砷排放量指标名称修改为总铅、总汞、总镉、总砷排放量。
数据来源：国家统计局
