数据库：分省年度数据
指标：总铬排放量(千克)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,12,,,,,94,267,438,460,509,,,,,,,,,
天津市,,125,,,,,292,299,356,454,285,,,,,,,,,
河北省,,670,,,,,6433,5650,5401,5964,8480,,,,,,,,,
山西省,,16,,,,,119,802,243,501,520,,,,,,,,,
内蒙古自治区,,153,,,,,560,89,153,35,114,,,,,,,,,
辽宁省,,269,,,,,872,685,682,742,692,,,,,,,,,
吉林省,,370,,,,,168,216,134,162,200,,,,,,,,,
黑龙江省,,32,,,,,95,100,115,376,875,,,,,,,,,
上海市,,197,,,,,1821,2524,2444,2815,2549,,,,,,,,,
江苏省,,2115,,,,,9915,9677,8870,11340,12318,,,,,,,,,
浙江省,,2961,,,,,12158,12903,18685,19520,21660,,,,,,,,,
安徽省,,639,,,,,766,758,715,3548,6965,,,,,,,,,
福建省,,976,,,,,9962,10391,11425,11769,15328,,,,,,,,,
江西省,,4989,,,,,1228,922,17564,17439,22669,,,,,,,,,
山东省,,2664,,,,,6787,7860,7849,7104,13959,,,,,,,,,
河南省,,998,,,,,26208,27844,30091,32604,37380,,,,,,,,,
湖北省,,4733,,,,,3380,13539,9924,12485,17457,,,,,,,,,
湖南省,,4747,,,,,8161,5919,11367,18169,34606,,,,,,,,,
广东省,,2330,,,,,8177,13355,22181,28454,75254,,,,,,,,,
广西壮族自治区,,253,,,,,879,1353,1780,1770,4667,,,,,,,,,
海南省,,39,,,,,42,101,123,136,138,,,,,,,,,
重庆市,,160,,,,,706,706,428,513,741,,,,,,,,,
四川省,,465,,,,,2685,1790,1835,3605,1809,,,,,,,,,
贵州省,,72,,,,,335,9351,64,172,269,,,,,,,,,
云南省,,338,,,,,167,190,118,94,135,,,,,,,,,
西藏自治区,,4,,,,,3,2,1,1,1,,,,,,,,,
陕西省,,191,,,,,701,696,1665,1727,1655,,,,,,,,,
甘肃省,,225,,,,,1636,3406,6145,5026,4672,,,,,,,,,
青海省,,6,,,,,7,13,13,15,1033,,,,,,,,,
宁夏回族自治区,,2,,,,,106,105,242,340,452,,,,,,,,,
新疆维吾尔自治区,,162,,,,,825,1285,2067,2738,5773,,,,,,,,,
数据来源：国家统计局
