数据库：分省年度数据
指标：无害化处理厂数(座)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,41,43,28,24,27,26,25,24,20,21,20,19,18,17,17,17,17,,
天津市,,19,13,9,9,9,9,8,10,9,9,8,7,7,7,5,5,6,,
河北省,,59,49,53,53,51,47,40,30,31,29,26,23,21,18,17,17,16,,
山西省,,31,28,27,25,23,24,23,21,18,16,17,15,13,10,8,4,17,,
内蒙古自治区,,29,28,28,27,28,28,26,24,21,18,18,17,13,10,9,11,10,,
辽宁省,,41,40,38,39,33,31,29,27,27,28,25,13,13,12,11,10,10,,
吉林省,,34,30,30,16,28,25,17,16,11,13,7,9,7,8,2,13,21,,
黑龙江省,,45,40,35,33,34,33,22,20,21,22,20,18,15,15,17,24,21,,
上海市,,23,17,15,15,14,12,12,13,10,5,12,12,13,12,7,5,4,,
江苏省,,85,72,72,67,61,61,58,49,47,51,44,41,37,32,38,35,54,,
浙江省,,76,77,72,71,61,59,59,59,53,50,52,52,43,41,46,42,48,,
安徽省,,49,45,39,39,28,27,26,25,22,20,16,14,14,12,8,5,10,,
福建省,,35,33,30,29,26,27,27,26,27,26,20,21,18,16,15,17,14,,
江西省,,29,28,24,21,17,17,17,17,15,16,13,13,12,11,8,8,9,,
山东省,,97,98,88,83,66,62,59,58,58,54,55,54,44,41,36,44,87,,
河南省,,48,47,45,47,45,45,43,43,42,40,38,38,32,31,17,28,33,,
湖北省,,63,54,49,47,44,41,39,36,28,25,23,19,18,15,18,44,42,,
湖南省,,43,40,37,32,33,32,34,31,30,26,21,15,12,14,9,7,6,,
广东省,,118,111,99,80,76,73,65,61,55,47,41,37,37,33,33,28,18,,
广西壮族自治区,,33,29,27,26,25,21,19,20,21,21,20,17,15,13,12,12,12,,
海南省,,12,12,13,11,10,11,9,9,9,7,3,3,3,4,3,7,6,,
重庆市,,25,22,25,25,24,18,16,14,14,13,13,13,13,10,8,9,7,,
四川省,,51,53,48,48,44,45,40,40,29,34,30,31,30,23,24,25,25,,
贵州省,,35,28,25,21,18,17,14,13,13,13,12,11,9,9,9,8,6,,
云南省,,36,32,30,28,29,24,23,20,19,15,19,15,13,13,13,18,14,,
西藏自治区,,11,8,6,5,6,,,,,,,,,1,1,1,,,
陕西省,,33,31,25,22,22,20,17,16,13,17,15,11,10,6,8,4,3,,
甘肃省,,24,24,27,23,20,18,16,12,12,13,13,11,11,8,4,7,16,,
青海省,,12,10,8,8,8,6,5,4,4,3,3,3,3,4,4,4,4,,
宁夏回族自治区,,14,12,13,12,9,8,8,7,4,6,7,2,3,5,5,5,4,,
新疆维吾尔自治区,,36,29,26,27,21,23,22,20,18,19,17,13,12,9,7,7,19,,
数据来源：国家统计局
