数据库：分省年度数据
指标：生活垃圾卫生填埋无害化处理能力(吨/日)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,7491,7491,10991,10341,9141,8621,12121,12371,11380,12080,12080,12280,10948,9330,9330,9330,8830,,
天津市,,5100,5100,5100,5100,5100,5100,5100,6200,6200,6200,6200,5800,5800,5800,5600,5600,3800,,
河北省,,11743,11357,13942,14156,12480,12104,10524,9185,8917,9174,10064,10042,9922,5550,6998,6348,6348,,
山西省,,9207,10442,10012,9719,9644,9529,7115,6630,6166,4546,7968,10922,11078,4789,4670,2300,2465,,
内蒙古自治区,,8798,8933,9604,9049,9619,9803,9890,9833,9028,8788,8367,7926,5829,3877,4513,4549,4549,,
辽宁省,,18737,23732,22442,22229,22513,21876,20075,18066,19487,18200,16647,10695,10695,8797,9520,9561,10334,,
吉林省,,8795,8900,9154,5678,9395,8893,7443,7283,5933,6603,4456,4806,4723,4781,2500,6375,7930,,
黑龙江省,,15003,12650,13888,12858,11763,10330,8355,10709,11307,10454,9869,9548,8401,8574,9379,9522,8288,,
上海市,,15350,15350,15350,10350,11230,11230,11230,11230,6232,5350,5750,5750,5750,12595,5900,5300,400,,
江苏省,,13715,15155,14935,19960,22310,20679,20257,17253,21844,21465,22445,20502,20249,14818,18815,22120,21819,,
浙江省,,12133,12818,16626,19287,13558,15220,16076,15779,14796,16806,16438,15408,13731,12946,15783,13768,14672,,
安徽省,,8182,7889,8735,9510,9037,9437,10203,10252,9876,8980,7670,7004,6747,5047,3571,2471,3803,,
福建省,,4379,5866,6246,5418,5865,6805,5349,4780,6375,8685,7197,6432,4480,4297,3669,5845,5720,,
江西省,,7690,15259,12356,11468,9865,9740,9273,9085,9193,8215,6066,5930,5330,4815,3949,3313,3309,,
山东省,,14946,18214,18653,19005,20074,17838,19211,19837,26535,26318,26425,24520,22397,19859,17985,16003,21334,,
河南省,,20516,18560,17865,19847,19907,19457,19257,19327,18490,18236,17616,17038,16148,14304,8710,9506,9074,,
湖北省,,14569,14768,14847,11907,11340,10480,13066,12539,9028,9423,11400,11493,7134,3856,5256,14151,13858,,
湖南省,,15851,17186,16222,20320,18833,19633,20009,16768,16104,11500,11818,9312,9430,8650,6030,6122,5603,,
广东省,,43558,56367,51668,43337,39972,43226,39906,37844,27362,27983,22213,22702,21417,18431,20197,17415,15870,,
广西壮族自治区,,7172,7296,9796,8206,8851,7651,7491,8291,7271,7061,6871,6262,4790,2980,2450,3040,3730,,
海南省,,2310,2260,2230,2240,2233,2172,2230,2230,2517,2564,1539,1600,1500,1650,1400,1439,1431,,
重庆市,,8049,6449,7047,7065,7353,5750,5110,4574,4554,5265,5265,5265,5265,4440,4030,4210,3210,,
四川省,,13175,9289,9731,11262,12400,13505,14217,14278,16685,12682,13334,12871,13381,10370,9480,7580,6970,,
贵州省,,6347,5755,7656,6958,6890,5320,5545,7393,6296,5568,5697,5175,2835,4755,4755,3846,3171,,
云南省,,6145,5537,4479,4098,4179,3909,3583,2916,5035,2858,3849,4688,8540,7648,7521,7570,4238,,
西藏自治区,,2355,1420,801,349,1151,,,,,,,,,400,400,400,,,
陕西省,,11699,18139,19288,18254,16425,15641,14897,12986,10262,11409,9347,8672,6822,5022,5480,4154,3520,,
甘肃省,,5674,5609,6294,4959,4919,5061,4475,3155,3178,3230,3355,2950,3224,1830,1201,1510,3798,,
青海省,,1970,1695,1659,1659,2253,1930,2110,1470,2006,1600,931,1950,1200,400,1809,1887,1887,,
宁夏回族自治区,,2630,2593,2670,2871,2960,3990,2980,2780,2160,2548,2785,1195,892,1330,1985,2040,1860,,
新疆维吾尔自治区,,14560,14936,13212,13064,8843,9205,8218,7738,6710,6404,6295,4760,4610,3238,3740,3810,4068,,
数据来源：国家统计局
