数据库：分省年度数据
指标：生活垃圾焚烧无害化处理能力(吨/日)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,18090,15950,12050,9200,10400,10400,5200,5800,2800,2200,2200,600,600,120,420,420,420,,
天津市,,13550,7000,5500,5500,5700,4800,4300,4300,3300,3300,1800,1800,1800,1800,1200,1200,,,
河北省,,18460,11670,10650,9700,10100,10600,6500,2600,2850,2589,2450,400,1200,1200,1200,1250,450,,
山西省,,7298,4103,3577,4062,3812,4442,3350,3280,3620,2600,2600,2100,600,,1041,,,,
内蒙古自治区,,4150,3350,3350,3350,2350,1350,1200,1500,,,,,,,,18,18,,
辽宁省,,12580,8428,2780,2780,1780,1780,1780,1780,1537,,,400,400,400,400,400,400,,
吉林省,,9450,7650,5500,5602,4700,3850,3450,2840,2840,2040,2040,1520,450,450,520,525,521,,
黑龙江省,,6452,5900,4600,4000,3000,1800,1000,500,500,500,500,500,500,,,510,210,,
上海市,,19300,19300,13300,13300,11300,8300,8300,6300,2500,1500,2575,2575,2575,2500,2500,2500,2000,,
江苏省,,65420,46810,44210,38979,33093,32137,29817,23470,21269,20705,15192,14068,6833,6969,5730,1880,880,,
浙江省,,58630,49685,44585,40985,34492,32435,29705,26803,22365,18261,16885,15765,11685,9935,9505,7760,4107,,
安徽省,,21510,19110,15110,13860,9050,7750,4950,3950,2550,2550,1750,1050,600,600,600,600,600,,
福建省,,20800,16950,16350,15100,13066,12300,12300,11200,9550,6700,5550,3850,4950,3050,1980,1020,410,,
江西省,,15200,7800,4962,1540,640,,,,,,,,,,,,,,
山东省,,49450,46890,36100,29330,20550,18350,14700,11800,8200,5000,8200,6700,2750,2700,,530,480,,
河南省,,16800,14200,7350,5850,4850,4850,3950,3950,2900,2400,2400,1150,1150,1150,1650,1422,1850,,
湖北省,,16205,13500,12350,11721,12521,11421,10950,10000,8012,4409,1000,,,,,,,,
湖南省,,14619,11306,10300,4600,4180,1600,1600,600,600,,,,,,,,,,
广东省,,87416,73376,53872,33438,30045,25770,23235,21345,15835,12575,11743,13035,12093,11508,10810,10300,3040,,
广西壮族自治区,,11650,9250,6100,4800,3800,1200,600,600,600,600,920,820,1000,500,500,430,430,,
海南省,,5875,3900,3908,3905,3900,2385,1650,1650,1650,225,225,120,120,100,110,53,154,,
重庆市,,11100,10500,10500,5000,4400,3600,3600,3600,3600,1200,1200,1000,1000,1000,1000,1000,,,
四川省,,25336,21892,14810,13960,12100,9060,7460,5220,611,1800,2340,2000,800,200,300,1050,875,,
贵州省,,11100,9100,7750,4300,2400,2200,,,,,,,,,,16,16,,
云南省,,10950,7930,7930,7600,6900,5200,6360,5400,4960,2960,2870,1300,,,,71,38,,
西藏自治区,,700,703,700,700,,,,,,,,,,,,,,,
陕西省,,6911,2346,,,1500,1500,,,,,500,500,500,500,500,50,,,
甘肃省,,3208,3600,3600,2600,2921,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,2745,2500,2000,1500,1500,,,,,,,,,,,,,,
新疆维吾尔自治区,,2850,1800,800,800,800,,,,,,,,,,,5,8,,
数据来源：国家统计局
