数据库：分省年度数据
指标：林业用地面积(万公顷)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,107.10,107.10,107.10,107.10,107.10,107.10,107.10,101.35,101.35,101.35,101.35,101.35,101.46,101.46,101.46,101.46,101.46
天津市,20.39,20.39,20.39,20.39,20.39,20.39,20.39,15.62,15.62,15.62,15.62,15.62,14.22,14.22,14.22,14.22,14.22
河北省,775.64,775.64,775.64,775.64,775.64,775.64,775.64,718.08,718.08,718.08,718.08,718.08,705.37,705.37,705.37,705.37,705.37
山西省,787.25,787.25,787.25,787.25,787.25,787.25,787.25,765.55,765.55,765.55,765.55,765.55,754.58,754.58,754.58,754.58,754.58
内蒙古自治区,4499.17,4499.17,4499.17,4499.17,4499.17,4499.17,4499.17,4398.89,4398.89,4398.89,4398.89,4398.89,4394.93,4394.93,4394.93,4394.93,4394.93
辽宁省,735.92,735.92,735.92,735.92,735.92,735.92,735.92,699.89,699.89,699.89,699.89,699.89,666.28,666.28,666.28,666.28,666.28
吉林省,904.79,904.79,904.79,904.79,904.79,904.79,904.79,856.19,856.19,856.19,856.19,856.19,848.73,848.73,848.73,848.73,848.73
黑龙江省,2453.77,2453.77,2453.77,2453.77,2453.77,2453.77,2453.77,2207.40,2207.40,2207.40,2207.40,2207.40,2184.16,2184.16,2184.16,2184.16,2184.16
上海市,10.19,10.19,10.19,10.19,10.19,10.19,10.19,7.73,7.73,7.73,7.73,7.73,7.46,7.46,7.46,7.46,7.46
江苏省,174.98,174.98,174.98,174.98,174.98,174.98,174.98,178.70,178.70,178.70,178.70,178.70,128.64,128.64,128.64,128.64,128.64
浙江省,659.77,659.77,659.77,659.77,659.77,659.77,659.77,660.74,660.74,660.74,660.74,660.74,667.97,667.97,667.97,667.97,667.97
安徽省,449.33,449.33,449.33,449.33,449.33,449.33,449.33,443.18,443.18,443.18,443.18,443.18,439.40,439.40,439.40,439.40,439.40
福建省,924.40,924.40,924.40,924.40,924.40,924.40,924.40,926.82,926.82,926.82,926.82,926.82,914.81,914.81,914.81,914.81,914.81
江西省,1079.90,1079.90,1079.90,1079.90,1079.90,1079.90,1079.90,1069.66,1069.66,1069.66,1069.66,1069.66,1054.92,1054.92,1054.92,1054.92,1054.92
山东省,349.34,349.34,349.34,349.34,349.34,349.34,349.34,331.26,331.26,331.26,331.26,331.26,342.12,342.12,342.12,342.12,342.12
河南省,520.74,520.74,520.74,520.74,520.74,520.74,520.74,504.98,504.98,504.98,504.98,504.98,502.02,502.02,502.02,502.02,502.02
湖北省,876.09,876.09,876.09,876.09,876.09,876.09,876.09,849.85,849.85,849.85,849.85,849.85,822.01,822.01,822.01,822.01,822.01
湖南省,1257.59,1257.59,1257.59,1257.59,1257.59,1257.59,1257.59,1252.78,1252.78,1252.78,1252.78,1252.78,1234.21,1234.21,1234.21,1234.21,1234.21
广东省,1080.29,1080.29,1080.29,1080.29,1080.29,1080.29,1080.29,1076.44,1076.44,1076.44,1076.44,1076.44,1073.07,1073.07,1073.07,1073.07,1073.07
广西壮族自治区,1629.50,1629.50,1629.50,1629.50,1629.50,1629.50,1629.50,1527.17,1527.17,1527.17,1527.17,1527.17,1496.45,1496.45,1496.45,1496.45,1496.45
海南省,217.50,217.50,217.50,217.50,217.50,217.50,217.50,214.49,214.49,214.49,214.49,214.49,208.73,208.73,208.73,208.73,208.73
重庆市,421.71,421.71,421.71,421.71,421.71,421.71,421.71,406.28,406.28,406.28,406.28,406.28,400.18,400.18,400.18,400.18,400.18
四川省,2454.52,2454.52,2454.52,2454.52,2454.52,2454.52,2454.52,2328.26,2328.26,2328.26,2328.26,2328.26,2311.66,2311.66,2311.66,2311.66,2311.66
贵州省,927.96,927.96,927.96,927.96,927.96,927.96,927.96,861.22,861.22,861.22,861.22,861.22,841.23,841.23,841.23,841.23,841.23
云南省,2599.44,2599.44,2599.44,2599.44,2599.44,2599.44,2599.44,2501.04,2501.04,2501.04,2501.04,2501.04,2476.11,2476.11,2476.11,2476.11,2476.11
西藏自治区,1798.19,1798.19,1798.19,1798.19,1798.19,1798.19,1798.19,1783.64,1783.64,1783.64,1783.64,1783.64,1746.63,1746.63,1746.63,1746.63,1746.63
陕西省,1236.79,1236.79,1236.79,1236.79,1236.79,1236.79,1236.79,1228.47,1228.47,1228.47,1228.47,1228.47,1205.80,1205.80,1205.80,1205.80,1205.80
甘肃省,1046.35,1046.35,1046.35,1046.35,1046.35,1046.35,1046.35,1042.65,1042.65,1042.65,1042.65,1042.65,955.44,955.44,955.44,955.44,955.44
青海省,819.16,819.16,819.16,819.16,819.16,819.16,819.16,808.04,808.04,808.04,808.04,808.04,634.00,634.00,634.00,634.00,634.00
宁夏回族自治区,179.52,179.52,179.52,179.52,179.52,179.52,179.52,180.10,180.10,180.10,180.10,180.10,179.03,179.03,179.03,179.03,179.03
新疆维吾尔自治区,1371.26,1371.26,1371.26,1371.26,1371.26,1371.26,1371.26,1099.71,1099.71,1099.71,1099.71,1099.71,1066.57,1066.57,1066.57,1066.57,1066.57
注：1.数据分别为第七次全国森林资源清查(2004-2008)、第八次全国森林资源清查(2009-2013)、第九次全国森林资源清查(2014-2018)资料。
　　　2.全国总计数包括台湾省和香港、澳门特别行政区数据。
数据来源：国家统计局
