数据库：分省年度数据
指标：活立木总蓄积量(亿立方米)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.18,0.18,0.18,0.18,0.18,0.13,0.13,0.13,0.13,0.13,,
天津市,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.03,0.03,0.03,0.03,0.03,,
河北省,,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.31,1.31,1.31,1.31,1.31,1.02,1.02,1.02,1.02,1.02,,
山西省,,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.10,1.10,1.10,1.10,1.10,0.88,0.88,0.88,0.88,0.88,,
内蒙古自治区,,16.63,16.63,16.63,16.63,16.63,16.63,16.63,14.84,14.84,14.84,14.84,14.84,13.61,13.61,13.61,13.61,13.61,,
辽宁省,,3.09,3.09,3.09,3.09,3.09,3.09,3.09,2.60,2.60,2.60,2.60,2.60,2.12,2.12,2.12,2.12,2.12,,
吉林省,,10.54,10.54,10.54,10.54,10.54,10.54,10.54,9.65,9.65,9.65,9.65,9.65,8.82,8.82,8.82,8.82,8.82,,
黑龙江省,,20.00,20.00,20.00,20.00,20.00,20.00,20.00,17.77,17.77,17.77,17.77,17.77,16.52,16.52,16.52,16.52,16.52,,
上海市,,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,,
江苏省,,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.85,0.85,0.85,0.85,0.85,0.50,0.50,0.50,0.50,0.50,,
浙江省,,3.14,3.14,3.14,3.14,3.14,3.14,3.14,2.42,2.42,2.42,2.42,2.42,1.94,1.94,1.94,1.94,1.94,,
安徽省,,2.61,2.61,2.61,2.61,2.61,2.61,2.61,2.17,2.17,2.17,2.17,2.17,1.63,1.63,1.63,1.63,1.63,,
福建省,,7.97,7.97,7.97,7.97,7.97,7.97,7.97,6.67,6.67,6.67,6.67,6.67,5.32,5.32,5.32,5.32,5.32,,
江西省,,5.76,5.76,5.76,5.76,5.76,5.76,5.76,4.70,4.70,4.70,4.70,4.70,4.50,4.50,4.50,4.50,4.50,,
山东省,,1.30,1.30,1.30,1.30,1.30,1.30,1.30,1.24,1.24,1.24,1.24,1.24,0.86,0.86,0.86,0.86,0.86,,
河南省,,2.66,2.66,2.66,2.66,2.66,2.66,2.66,2.29,2.29,2.29,2.29,2.29,1.81,1.81,1.81,1.81,1.81,,
湖北省,,3.96,3.96,3.96,3.96,3.96,3.96,3.96,3.13,3.13,3.13,3.13,3.13,2.31,2.31,2.31,2.31,2.31,,
湖南省,,4.61,4.61,4.61,4.61,4.61,4.61,4.61,3.73,3.73,3.73,3.73,3.73,3.82,3.82,3.82,3.82,3.82,,
广东省,,5.01,5.01,5.01,5.01,5.01,5.01,5.01,3.78,3.78,3.78,3.78,3.78,3.22,3.22,3.22,3.22,3.22,,
广西壮族自治区,,7.44,7.44,7.44,7.44,7.44,7.44,7.44,5.58,5.58,5.58,5.58,5.58,5.11,5.11,5.11,5.11,5.11,,
海南省,,1.63,1.63,1.63,1.63,1.63,1.63,1.63,0.98,0.98,0.98,0.98,0.98,0.79,0.79,0.79,0.79,0.79,,
重庆市,,2.44,2.44,2.44,2.44,2.44,2.44,2.44,1.74,1.74,1.74,1.74,1.74,1.38,1.38,1.38,1.38,1.38,,
四川省,,19.72,19.72,19.72,19.72,19.72,19.72,19.72,17.76,17.76,17.76,17.76,17.76,16.88,16.88,16.88,16.88,16.88,,
贵州省,,4.45,4.45,4.45,4.45,4.45,4.45,4.45,3.44,3.44,3.44,3.44,3.44,2.79,2.79,2.79,2.79,2.79,,
云南省,,21.32,21.32,21.32,21.32,21.32,21.32,21.32,18.75,18.75,18.75,18.75,18.75,17.12,17.12,17.12,17.12,17.12,,
西藏自治区,,23.05,23.05,23.05,23.05,23.05,23.05,23.05,22.88,22.88,22.88,22.88,22.88,22.73,22.73,22.73,22.73,22.73,,
陕西省,,5.10,5.10,5.10,5.10,5.10,5.10,5.10,4.24,4.24,4.24,4.24,4.24,3.61,3.61,3.61,3.61,3.61,,
甘肃省,,2.84,2.84,2.84,2.84,2.84,2.84,2.84,2.41,2.41,2.41,2.41,2.41,2.17,2.17,2.17,2.17,2.17,,
青海省,,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.49,0.49,0.49,0.49,0.49,0.44,0.44,0.44,0.44,0.44,,
宁夏回族自治区,,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.06,0.06,0.06,0.06,0.06,,
新疆维吾尔自治区,,4.65,4.65,4.65,4.65,4.65,4.65,4.65,3.87,3.87,3.87,3.87,3.87,3.39,3.39,3.39,3.39,3.39,,
注：1.数据分别为第七次全国森林资源清查(2004-2008)、第八次全国森林资源清查(2009-2013)、第九次全国森林资源清查(2014-2018)资料。
　　　2.全国总计数包括台湾省和香港、澳门特别行政区数据。
数据来源：国家统计局
