数据库：分省年度数据
指标：森林蓄积量(亿立方米)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.14,0.14,0.14,0.14,0.14,0.10,0.10,0.10,0.10,0.10,,
天津市,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,,
河北省,,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.08,1.08,1.08,1.08,1.08,0.84,0.84,0.84,0.84,0.84,,
山西省,,1.29,1.29,1.29,1.29,1.29,1.29,1.29,0.97,0.97,0.97,0.97,0.97,0.76,0.76,0.76,0.76,0.76,,
内蒙古自治区,,15.27,15.27,15.27,15.27,15.27,15.27,15.27,13.45,13.45,13.45,13.45,13.45,11.77,11.77,11.77,11.77,11.77,,
辽宁省,,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.50,2.50,2.50,2.50,2.50,2.02,2.02,2.02,2.02,2.02,,
吉林省,,10.13,10.13,10.13,10.13,10.13,10.13,10.13,9.23,9.23,9.23,9.23,9.23,8.44,8.44,8.44,8.44,8.44,,
黑龙江省,,18.47,18.47,18.47,18.47,18.47,18.47,18.47,16.45,16.45,16.45,16.45,16.45,15.21,15.21,15.21,15.21,15.21,,
上海市,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,
江苏省,,0.70,0.70,0.70,0.70,0.70,0.70,0.70,0.65,0.65,0.65,0.65,0.65,0.35,0.35,0.35,0.35,0.35,,
浙江省,,2.81,2.81,2.81,2.81,2.81,2.81,2.81,2.17,2.17,2.17,2.17,2.17,1.72,1.72,1.72,1.72,1.72,,
安徽省,,2.22,2.22,2.22,2.22,2.22,2.22,2.22,1.81,1.81,1.81,1.81,1.81,1.38,1.38,1.38,1.38,1.38,,
福建省,,7.29,7.29,7.29,7.29,7.29,7.29,7.29,6.08,6.08,6.08,6.08,6.08,4.84,4.84,4.84,4.84,4.84,,
江西省,,5.07,5.07,5.07,5.07,5.07,5.07,5.07,4.08,4.08,4.08,4.08,4.08,3.95,3.95,3.95,3.95,3.95,,
山东省,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.89,0.89,0.89,0.89,0.89,0.63,0.63,0.63,0.63,0.63,,
河南省,,2.07,2.07,2.07,2.07,2.07,2.07,2.07,1.71,1.71,1.71,1.71,1.71,1.29,1.29,1.29,1.29,1.29,,
湖北省,,3.65,3.65,3.65,3.65,3.65,3.65,3.65,2.87,2.87,2.87,2.87,2.87,2.09,2.09,2.09,2.09,2.09,,
湖南省,,4.07,4.07,4.07,4.07,4.07,4.07,4.07,3.31,3.31,3.31,3.31,3.31,3.49,3.49,3.49,3.49,3.49,,
广东省,,4.68,4.68,4.68,4.68,4.68,4.68,4.68,3.57,3.57,3.57,3.57,3.57,3.02,3.02,3.02,3.02,3.02,,
广西壮族自治区,,6.78,6.78,6.78,6.78,6.78,6.78,6.78,5.09,5.09,5.09,5.09,5.09,4.69,4.69,4.69,4.69,4.69,,
海南省,,1.53,1.53,1.53,1.53,1.53,1.53,1.53,0.89,0.89,0.89,0.89,0.89,0.73,0.73,0.73,0.73,0.73,,
重庆市,,2.07,2.07,2.07,2.07,2.07,2.07,2.07,1.47,1.47,1.47,1.47,1.47,1.13,1.13,1.13,1.13,1.13,,
四川省,,18.61,18.61,18.61,18.61,18.61,18.61,18.61,16.80,16.80,16.80,16.80,16.80,15.96,15.96,15.96,15.96,15.96,,
贵州省,,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.01,3.01,3.01,3.01,3.01,2.40,2.40,2.40,2.40,2.40,,
云南省,,19.73,19.73,19.73,19.73,19.73,19.73,19.73,16.93,16.93,16.93,16.93,16.93,15.54,15.54,15.54,15.54,15.54,,
西藏自治区,,22.83,22.83,22.83,22.83,22.83,22.83,22.83,22.62,22.62,22.62,22.62,22.62,22.46,22.46,22.46,22.46,22.46,,
陕西省,,4.79,4.79,4.79,4.79,4.79,4.79,4.79,3.96,3.96,3.96,3.96,3.96,3.38,3.38,3.38,3.38,3.38,,
甘肃省,,2.52,2.52,2.52,2.52,2.52,2.52,2.52,2.15,2.15,2.15,2.15,2.15,1.94,1.94,1.94,1.94,1.94,,
青海省,,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.43,0.43,0.43,0.43,0.43,0.39,0.39,0.39,0.39,0.39,,
宁夏回族自治区,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.05,0.05,0.05,0.05,0.05,,
新疆维吾尔自治区,,3.92,3.92,3.92,3.92,3.92,3.92,3.92,3.37,3.37,3.37,3.37,3.37,3.01,3.01,3.01,3.01,3.01,,
注：1.数据分别为第七次全国森林资源清查(2004-2008)、第八次全国森林资源清查(2009-2013)、第九次全国森林资源清查(2014-2018)资料。
　　　2.全国总计数包括台湾省和香港、澳门特别行政区数据。
数据来源：国家统计局
