数据库：分省年度数据
指标：当年飞机播种面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,,,,,,,2.00,2.00,8.00,,
天津市,,,,,,,,,,,,,0.70,0.70,1.90,,,,,
河北省,,36.73,21.37,14.93,20.24,33.33,,,20.00,20.00,40.67,76.60,35.00,40.70,24.00,37.70,28.70,34.00,,
山西省,,,,,,,,3.33,1.73,2.33,2.67,2.67,8.00,15.30,12.70,32.70,27.50,80.74,,
内蒙古自治区,,28.67,32.19,61.15,68.31,74.09,79.39,57.43,78.67,65.07,113.60,76.68,96.00,57.40,40.10,94.90,100.60,111.86,,
辽宁省,,13.33,13.33,13.33,,,,,,,,,,,,,,,,
吉林省,,,,,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,17.95,13.34,13.34,13.73,13.43,13.33,13.33,,,,,,,,15.30,13.30,13.47,,
湖北省,,,,,,,,,,,,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,,,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,10.00,,,,,,,,,,
四川省,,,0.08,,,1.60,,,,,,,,,,,62.70,143.52,,
贵州省,,,,,,,,,,,,,,,,,3.40,6.96,,
云南省,,,,,,,,,,,,,,,,21.80,44.30,53.92,,
西藏自治区,,14.53,,,,,,,,,,,,,,,,,,
陕西省,,20.28,45.00,27.00,34.00,33.60,34.67,32.00,54.00,39.00,40.00,40.00,86.70,40.00,40.00,66.70,109.50,103.86,,
甘肃省,,,,0.67,,,,,,,,,,,,,13.30,17.15,,
青海省,,20.00,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,0.60,4.30,5.72,,
新疆维吾尔自治区,,,0.27,5.01,4.93,6.26,1.00,1.95,,,,,,,,,6.70,,,
数据来源：国家统计局
