数据库：分省年度数据
指标：封山育林(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,26.73,15.39,10.00,12.67,4.00,7.80,,14.94,13.58,14.29,6.12,7.41,6.59,2.60,,,,,
天津市,,,,,2.67,,,,,,,,,,,,,,,
河北省,,149.64,140.16,223.83,84.79,135.11,58.84,65.49,60.73,83.35,69.85,68.91,73.65,112.25,88.90,,,,,
山西省,,46.67,58.27,32.13,32.00,60.00,60.00,66.98,56.22,75.27,81.66,122.92,121.70,73.62,79.95,,,,,
内蒙古自治区,,129.87,121.36,107.54,138.07,136.01,227.73,181.56,376.87,359.21,283.10,348.57,412.84,283.86,255.02,,,,,
辽宁省,,55.33,55.33,55.33,55.33,55.34,100.26,100.06,103.00,106.67,106.60,87.77,38.67,26.66,3.83,,,,,
吉林省,,,,,,2.33,4.67,,64.00,0.33,2.33,43.26,2.81,0.62,0.86,,,,,
黑龙江省,,20.27,28.62,30.86,42.25,36.81,67.04,51.80,42.61,53.34,51.84,67.37,26.00,40.77,5.27,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,0.33,0.40,,0.33,,,13.02,0.86,,,,,,,
浙江省,,2.49,1.33,1.80,2.22,4.78,31.74,12.68,12.05,9.45,3.94,2.22,8.04,1.63,5.38,,,,,
安徽省,,42.14,40.38,39.97,41.91,31.75,80.00,6.87,9.60,11.62,22.26,20.25,15.62,5.95,4.78,,,,,
福建省,,134.86,142.78,112.85,144.34,141.94,139.41,,,,,0.75,,0.25,0.59,,,,,
江西省,,75.78,74.31,70.19,68.59,78.34,59.37,1.22,12.33,11.61,22.83,29.90,19.61,32.43,9.84,,,,,
山东省,,,,,0.53,,1.33,1.41,1.34,2.08,1.70,6.13,1.64,0.65,0.43,,,,,
河南省,,14.96,18.29,18.89,19.84,22.42,31.93,45.42,52.71,22.32,44.24,52.85,34.00,17.34,9.58,,,,,
湖北省,,85.23,192.49,63.18,67.46,66.75,98.18,74.93,81.21,58.40,48.74,73.14,19.21,43.01,17.19,,,,,
湖南省,,236.24,162.74,168.00,160.88,167.46,188.58,162.33,161.09,167.75,166.61,35.30,25.99,15.99,16.67,,,,,
广东省,,103.33,93.20,99.80,89.01,97.35,124.89,18.26,19.98,12.59,3.84,3.19,3.91,1.01,0.53,,,,,
广西壮族自治区,,20.12,43.19,29.42,26.10,28.14,47.96,25.67,16.37,24.44,15.60,17.91,20.44,8.22,14.59,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,78.92,53.26,62.23,63.26,62.40,88.92,52.18,75.05,60.80,105.36,82.05,63.38,101.24,36.65,,,,,
四川省,,100.58,126.56,70.75,61.55,31.52,59.50,30.41,58.20,53.33,120.29,175.80,283.03,327.00,184.62,,,,,
贵州省,,,101.59,84.35,82.15,250.56,153.74,86.64,83.75,77.30,103.69,133.89,145.63,117.26,85.71,,,,,
云南省,,53.85,53.86,67.69,72.46,97.27,151.57,65.76,56.68,49.04,68.71,64.62,107.49,58.40,55.03,,,,,
西藏自治区,,44.00,51.10,35.16,45.19,12.41,53.35,50.53,39.09,34.04,12.40,20.29,18.50,1.05,10.65,,,,,
陕西省,,84.98,79.43,75.22,58.40,63.87,69.80,52.24,74.25,65.60,85.60,124.78,156.77,88.95,57.12,,,,,
甘肃省,,67.60,85.21,85.41,35.42,57.44,62.28,61.52,66.09,66.54,83.76,84.19,100.52,84.17,40.71,,,,,
青海省,,153.88,67.68,135.87,138.84,159.73,59.63,103.60,108.36,102.26,127.76,84.08,108.21,21.64,15.14,,,,,
宁夏回族自治区,,5.50,12.40,14.94,19.06,22.94,36.74,34.47,40.45,41.38,30.67,23.93,23.52,13.67,18.71,,,,,
新疆维吾尔自治区,,41.65,79.39,89.68,92.20,126.65,87.23,36.62,48.70,76.37,56.34,48.00,40.27,31.19,30.19,,,,,
注：自2019年起新封山育林指标名称改为封山育林。
数据来源：国家统计局
