数据库：分省年度数据
指标：草原总面积(千公顷)
时间：最近20年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年
北京市,394.8,394.7,394.8,394.8,394.8,394.8,394.8,394.8
天津市,146.6,146.7,146.6,146.6,146.6,146.6,146.6,146.6
河北省,4712.1,4712.0,4712.1,4712.1,4712.1,4712.1,4712.1,4712.1
山西省,4552.0,4552.0,4552.0,4552.0,4552.0,4552.0,4552.0,4552.0
内蒙古自治区,78804.5,78804.7,78804.5,78804.5,78804.5,78804.5,78804.5,78804.5
辽宁省,3388.8,3388.7,3388.8,3388.8,3388.8,3388.8,3388.8,3388.8
吉林省,5842.2,5842.0,5842.2,5842.2,5842.2,5842.2,5842.2,5842.2
黑龙江省,7531.8,7532.0,7531.8,7531.8,7531.8,7531.8,7531.8,7531.8
上海市,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3
江苏省,412.7,412.7,412.7,412.7,412.7,412.7,412.7,412.7
浙江省,3169.9,3170.0,3169.9,3169.9,3169.9,3169.9,3169.9,3169.9
安徽省,1663.2,1663.3,1663.2,1663.2,1663.2,1663.2,1663.2,1663.2
福建省,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0,2048.0
江西省,4442.3,4442.7,4442.3,4442.3,4442.3,4442.3,4442.3,4442.3
山东省,1638.0,1638.0,1638.0,1638.0,1638.0,1638.0,1638.0,1638.0
河南省,4433.8,4434.0,4433.8,4433.8,4433.8,4433.8,4433.8,4433.8
湖北省,6352.2,6352.0,6352.2,6352.2,6352.2,6352.2,6352.2,6352.2
湖南省,6372.7,6372.7,6372.7,6372.7,6372.7,6372.7,6372.7,6372.7
广东省,3266.2,3266.0,3266.2,3266.2,3266.2,3266.2,3266.2,3266.2
广西壮族自治区,8698.3,8698.7,8698.3,8698.3,8698.3,8698.3,8698.3,8698.3
海南省,949.8,950.0,949.8,949.8,949.8,949.8,949.8,949.8
重庆市,2158.4,2158.7,2158.4,2158.4,2158.4,2158.4,2158.4,2158.4
四川省,20380.4,20380.7,20380.4,20380.4,20380.4,20380.4,20380.4,20380.4
贵州省,4287.3,4287.3,4287.3,4287.3,4287.3,4287.3,4287.3,4287.3
云南省,15308.4,15308.7,15308.4,15308.4,15308.4,15308.4,15308.4,15308.4
西藏自治区,82051.9,82052.0,82051.9,82051.9,82051.9,82051.9,82051.9,82051.9
陕西省,5206.2,5206.0,5206.2,5206.2,5206.2,5206.2,5206.2,5206.2
甘肃省,17904.2,17904.0,17904.2,17904.2,17904.2,17904.2,17904.2,17904.2
青海省,36369.7,36370.0,36369.7,36369.7,36369.7,36369.7,36369.7,36369.7
宁夏回族自治区,3014.1,3014.0,3014.1,3014.1,3014.1,3014.1,3014.1,3014.1
新疆维吾尔自治区,57258.8,57258.7,57258.8,57258.8,57258.8,57258.8,57258.8,57258.8
数据来源：国家统计局
