数据库：分省年度数据
指标：旱灾受灾面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,0.2,26.1,,,2.0,,,,,,,,,
天津市,,,,,,,,,,,2.8,,,,,,,,,
河北省,,19.3,130.5,44.0,367.4,216.7,1112.7,1027.9,250.3,430.3,855.7,595.6,,,,,,,,
山西省,,510.2,1284.5,150.0,497.3,77.0,1023.4,721.6,1001.7,403.9,476.7,727.8,,,,,,,,
内蒙古自治区,,1165.1,379.7,1427.0,3238.8,2770.5,2171.7,1313.6,582.6,453.6,1131.2,1434.1,,,,,,,,
辽宁省,,1121.5,13.7,1167.5,777.6,401.0,1429.5,1811.4,23.9,,6.7,17.6,,,,,,,,
吉林省,,139.2,,1086.0,475.4,524.3,700.0,568.3,,303.8,252.0,349.3,,,,,,,,
黑龙江省,,76.0,,2294.0,997.2,2955.0,484.1,61.8,,1200.0,703.4,1011.6,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,5.8,37.3,134.3,,473.9,223.1,366.7,481.6,70.4,,,,,,,,
浙江省,,,11.6,,,,,,635.6,,4.1,1.5,,,,,,,,
安徽省,,,857.1,,216.9,179.5,,283.3,1165.0,616.1,687.3,41.3,,,,,,,,
福建省,,31.1,21.6,23.9,20.0,,,,31.9,,55.6,4.8,,,,,,,,
江西省,,4.3,492.6,309.7,41.2,35.3,,,576.1,,518.4,,,,,,,,,
山东省,,,282.5,22.9,531.0,211.6,883.2,688.5,206.7,673.3,1294.9,585.5,,,,,,,,
河南省,,95.4,807.1,4.3,219.1,173.3,,1809.3,848.1,1001.5,1020.4,50.4,,,,,,,,
湖北省,,,1153.4,515.1,626.7,341.9,117.7,633.5,1861.9,939.2,1205.4,204.4,,,,,,,,
湖南省,,120.7,356.6,342.9,222.0,11.6,,,2075.9,,1190.7,352.1,,,,,,,,
广东省,,11.6,,,,,147.7,,8.4,,112.7,119.7,,,,,,,,
广西壮族自治区,,136.1,26.3,6.9,,34.6,160.0,15.6,52.1,77.1,406.6,1079.3,,,,,,,,
海南省,,32.2,,,,15.5,4.2,,,,33.3,41.8,,,,,,,,
重庆市,,14.2,42.9,1.7,79.6,47.2,,7.6,309.1,61.9,387.6,176.3,,,,,,,,
四川省,,248.6,79.0,98.7,34.8,113.0,222.9,576.8,800.4,222.0,552.8,627.8,,,,,,,,
贵州省,,,,132.2,56.5,6.6,18.9,9.5,1175.0,132.5,1822.5,1271.3,,,,,,,,
云南省,,871.7,1432.9,,102.0,47.7,514.9,332.0,807.4,1072.7,1230.5,2957.2,,,,,,,,
西藏自治区,,,,0.3,,0.8,1.3,4.1,,,,40.3,,,,,,,,
陕西省,,222.0,457.5,4.2,434.2,240.1,561.6,434.7,400.0,227.6,260.0,421.3,,,,,,,,
甘肃省,,7.2,2.5,50.1,526.7,998.2,533.1,644.2,694.9,498.1,915.6,715.1,,,,,,,,
青海省,,,,14.6,225.3,38.3,126.5,23.9,41.7,33.3,184.7,46.1,,,,,,,,
宁夏回族自治区,,5.2,6.0,,130.7,279.2,172.1,227.8,194.0,104.0,366.7,15.7,,,,,,,,
新疆维吾尔自治区,,249.4,,10.0,17.1,19.5,224.0,576.3,134.6,522.2,89.0,235.5,,,,,,,,
数据来源：国家统计局
