数据库：分省年度数据
指标：旱灾绝收面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,0.2,6.8,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,3.1,30.9,13.0,30.1,0.7,81.7,107.8,7.4,25.0,27.5,137.3,,,,,,,,
山西省,,43.4,294.5,8.7,21.1,4.4,126.0,41.4,33.9,5.4,28.8,105.9,,,,,,,,
内蒙古自治区,,149.7,58.8,388.9,246.9,489.4,254.0,183.5,24.3,10.5,129.0,511.1,,,,,,,,
辽宁省,,317.0,3.0,239.1,30.1,5.3,233.0,543.7,4.3,,,,,,,,,,,
吉林省,,31.3,,104.3,8.9,52.3,60.0,97.3,,9.3,11.5,119.5,,,,,,,,
黑龙江省,,5.4,,14.5,41.3,172.3,10.1,10.8,,63.2,30.0,36.1,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,0.2,3.9,,,34.5,11.7,9.3,20.0,3.6,,,,,,,,
浙江省,,,0.8,,,,,,58.4,,,,,,,,,,,
安徽省,,,116.3,,16.2,17.6,,16.5,117.7,21.5,3.3,,,,,,,,,
福建省,,1.6,1.7,0.5,2.0,,,,0.8,,1.7,,,,,,,,,
江西省,,0.3,92.2,29.7,2.5,6.5,,,68.7,,25.3,,,,,,,,,
山东省,,,20.1,0.3,81.3,15.3,65.4,60.0,,7.4,16.7,4.1,,,,,,,,
河南省,,0.9,90.0,0.8,43.7,18.9,,203.8,72.0,2.7,12.9,,,,,,,,,
湖北省,,,173.6,54.2,34.3,39.0,12.1,21.8,110.0,39.5,49.0,4.7,,,,,,,,
湖南省,,17.8,47.8,30.9,17.4,0.4,,,424.7,,177.5,48.1,,,,,,,,
广东省,,0.1,,,,,19.0,,0.4,,2.6,,,,,,,,,
广西壮族自治区,,3.2,1.7,0.6,,1.2,3.1,0.2,5.6,2.5,20.9,41.9,,,,,,,,
海南省,,1.9,,,,1.3,,,,,0.7,5.4,,,,,,,,
重庆市,,1.4,7.2,0.2,2.6,5.5,,1.1,26.5,1.0,23.1,8.6,,,,,,,,
四川省,,16.0,1.3,7.8,5.8,15.0,10.7,21.3,31.9,16.7,58.0,47.5,,,,,,,,
贵州省,,,,24.3,9.1,0.8,2.2,,271.4,1.7,487.2,615.3,,,,,,,,
云南省,,33.9,102.3,,4.9,1.9,47.9,19.1,97.7,106.7,207.4,881.7,,,,,,,,
西藏自治区,,,,,,,0.3,1.5,,,,6.4,,,,,,,,
陕西省,,50.9,71.4,,64.0,22.5,38.1,42.7,10.0,6.5,4.9,29.6,,,,,,,,
甘肃省,,,,4.4,42.0,99.9,47.5,13.9,19.2,15.6,113.3,63.8,,,,,,,,
青海省,,,,,17.3,,5.4,0.1,,1.1,8.4,,,,,,,,,
宁夏回族自治区,,2.7,,,23.3,46.9,22.6,12.9,10.6,,43.3,,,,,,,,,
新疆维吾尔自治区,,23.9,,,3.7,1.2,6.8,44.0,8.9,28.4,1.4,0.9,,,,,,,,
数据来源：国家统计局
