数据库：分省年度数据
指标：风雹灾害受灾面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1.6,2.3,1.6,6.7,18.6,5.3,27.2,17.1,13.4,14.4,,,,,,,,,
天津市,,17.2,,0.1,,0.4,,10.3,7.8,16.1,1.5,,,,,,,,,
河北省,,189.9,115.9,139.7,217.6,261.6,346.8,254.2,386.3,268.7,260.5,236.0,,,,,,,,
山西省,,163.3,73.4,23.0,218.1,104.5,55.8,153.9,161.4,123.4,192.8,79.9,,,,,,,,
内蒙古自治区,,771.8,498.1,204.7,254.6,418.7,301.5,439.4,469.6,243.5,346.4,267.8,,,,,,,,
辽宁省,,55.9,28.5,56.9,58.9,39.4,46.5,24.1,90.5,32.1,41.6,30.5,,,,,,,,
吉林省,,71.5,125.4,162.6,54.8,61.3,121.8,89.2,196.0,51.7,107.6,115.1,,,,,,,,
黑龙江省,,137.4,223.6,384.5,325.3,210.9,146.5,234.9,66.2,186.5,518.5,109.4,,,,,,,,
上海市,,,,,,,,,,,0.1,,,,,,,,,
江苏省,,12.0,68.6,99.4,52.8,70.1,97.0,56.3,164.4,34.2,204.5,20.0,,,,,,,,
浙江省,,,0.5,3.4,0.9,0.4,0.8,5.3,3.1,0.6,1.4,4.2,,,,,,,,
安徽省,,6.0,52.5,36.9,26.0,35.2,118.7,9.8,38.8,21.9,88.6,41.0,,,,,,,,
福建省,,3.6,7.9,0.8,0.1,1.5,0.2,2.7,20.0,17.1,1.5,35.0,,,,,,,,
江西省,,28.2,37.0,19.4,5.3,35.2,16.0,42.4,24.5,84.1,9.2,119.7,,,,,,,,
山东省,,177.6,111.8,103.2,227.1,208.5,207.6,57.7,111.6,215.1,107.3,75.7,,,,,,,,
河南省,,28.6,75.8,99.1,93.5,139.1,152.6,37.7,198.7,20.2,146.2,100.6,,,,,,,,
湖北省,,125.7,45.8,19.2,41.0,36.9,50.5,48.8,70.0,38.2,160.5,33.3,,,,,,,,
湖南省,,36.1,10.6,37.3,5.5,45.3,11.8,21.4,180.8,335.9,21.1,77.5,,,,,,,,
广东省,,0.1,1.6,,0.1,2.3,4.4,15.3,6.1,29.3,5.7,0.6,,,,,,,,
广西壮族自治区,,6.8,1.4,4.4,2.4,51.2,3.2,14.8,48.7,7.4,5.3,17.5,,,,,,,,
海南省,,0.1,0.1,,,0.5,,,5.3,12.9,,,,,,,,,,
重庆市,,15.3,4.4,33.9,7.9,1.8,10.2,20.7,19.3,14.5,17.2,74.6,,,,,,,,
四川省,,23.3,6.9,27.3,12.2,71.7,71.7,29.8,62.4,47.1,95.2,50.1,,,,,,,,
贵州省,,59.8,15.2,98.3,35.8,111.1,40.8,160.9,169.2,88.2,84.4,42.8,,,,,,,,
云南省,,160.2,38.1,33.5,65.4,158.1,112.0,157.1,185.2,72.5,141.1,62.8,,,,,,,,
西藏自治区,,4.2,2.5,,2.2,0.5,1.4,4.7,7.8,6.8,9.7,6.1,,,,,,,,
陕西省,,119.9,15.5,51.2,128.2,286.8,75.5,189.8,115.5,62.7,127.1,13.3,,,,,,,,
甘肃省,,136.0,61.5,90.4,145.2,76.7,263.0,143.1,200.9,220.3,200.7,73.3,,,,,,,,
青海省,,17.2,38.2,10.8,42.1,66.5,49.8,67.5,30.8,49.4,65.8,42.9,,,,,,,,
宁夏回族自治区,,20.2,16.1,21.5,33.9,33.3,38.1,94.2,8.3,35.5,54.6,58.0,,,,,,,,
新疆维吾尔自治区,,375.7,549.2,643.7,204.5,359.9,568.5,812.2,321.0,431.5,149.2,208.3,,,,,,,,
数据来源：国家统计局
