数据库：分省年度数据
指标：风雹灾害绝收面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,1.1,0.1,,0.1,5.1,0.7,4.5,3.4,1.2,1.5,,,,,,,,,
天津市,,8.4,,0.1,,,,4.3,0.8,,,,,,,,,,,
河北省,,26.2,11.7,6.2,7.8,13.1,54.7,26.3,29.1,11.5,18.3,10.5,,,,,,,,
山西省,,9.4,9.4,1.3,23.6,11.2,5.1,19.9,20.5,11.7,20.5,2.1,,,,,,,,
内蒙古自治区,,67.8,27.3,15.0,28.6,23.1,37.9,50.9,76.8,20.7,44.8,63.7,,,,,,,,
辽宁省,,4.8,1.1,3.9,5.5,3.2,6.6,5.5,19.7,,0.9,6.2,,,,,,,,
吉林省,,3.9,13.7,17.3,7.9,8.1,10.1,14.4,5.5,3.6,2.5,7.1,,,,,,,,
黑龙江省,,13.3,13.6,18.0,32.0,20.0,15.1,34.7,13.1,38.4,57.3,21.1,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,0.7,3.2,2.8,4.2,2.1,6.0,5.0,6.3,,,0.2,,,,,,,,
浙江省,,,0.1,,0.1,,,0.2,0.6,0.1,,,,,,,,,,
安徽省,,0.1,2.7,0.5,1.1,0.1,6.5,,4.3,1.0,5.2,6.5,,,,,,,,
福建省,,0.4,1.4,,,0.2,0.1,0.2,3.5,0.1,0.2,1.4,,,,,,,,
江西省,,1.7,1.9,0.9,0.2,3.8,0.9,4.4,1.4,2.2,,5.7,,,,,,,,
山东省,,17.9,18.7,7.8,0.7,12.1,23.4,13.8,1.1,7.1,2.1,1.4,,,,,,,,
河南省,,4.3,4.3,3.6,2.5,5.8,8.9,2.9,20.7,0.5,4.5,11.5,,,,,,,,
湖北省,,11.4,5.2,3.7,5.6,5.5,2.7,4.2,6.6,5.1,11.8,6.1,,,,,,,,
湖南省,,6.4,1.5,4.4,1.2,5.4,0.3,4.2,17.1,9.3,1.7,8.0,,,,,,,,
广东省,,,0.2,,,0.3,,0.6,1.5,0.3,0.1,0.2,,,,,,,,
广西壮族自治区,,0.4,0.2,0.9,0.6,1.7,0.3,1.1,6.5,0.7,0.2,,,,,,,,,
海南省,,,,,,0.1,,,0.4,,,,,,,,,,,
重庆市,,4.0,0.7,4.7,1.0,0.2,1.5,2.0,1.5,1.4,2.1,12.2,,,,,,,,
四川省,,2.9,1.4,1.5,2.0,12.9,12.8,5.0,5.2,6.1,2.9,8.0,,,,,,,,
贵州省,,13.3,3.0,24.7,6.8,18.5,6.5,30.4,23.9,9.7,21.5,3.0,,,,,,,,
云南省,,29.2,5.0,5.7,13.0,25.5,13.8,19.3,37.0,7.8,8.7,6.3,,,,,,,,
西藏自治区,,0.6,0.1,,0.3,0.2,0.3,2.0,2.7,1.4,,,,,,,,,,
陕西省,,18.0,1.7,8.6,11.5,30.0,10.7,31.8,6.6,4.5,3.3,,,,,,,,,
甘肃省,,15.7,5.3,17.5,13.2,6.2,20.2,22.1,19.3,17.0,22.7,19.3,,,,,,,,
青海省,,0.8,3.4,0.8,12.6,8.3,11.9,9.7,5.3,4.6,3.1,5.7,,,,,,,,
宁夏回族自治区,,1.2,2.0,4.7,3.5,3.3,2.8,23.1,1.6,5.1,5.3,10.1,,,,,,,,
新疆维吾尔自治区,,26.9,32.5,42.0,39.6,42.8,49.3,115.2,70.4,42.3,48.5,50.8,,,,,,,,
数据来源：国家统计局
