数据库：分省年度数据
指标：低温冷冻和雪灾受灾面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,0.5,,,,,,0.2,,2.5,,,,,,,,
天津市,,,,,,,,,,,,33.3,,,,,,,,
河北省,,142.1,10.2,121.1,41.4,15.4,57.1,105.2,158.6,254.4,39.8,410.9,,,,,,,,
山西省,,293.7,44.3,517.1,53.0,65.7,32.0,207.7,284.2,142.3,104.7,378.7,,,,,,,,
内蒙古自治区,,11.1,352.9,325.5,211.9,184.5,42.4,47.5,131.8,398.1,169.1,115.2,,,,,,,,
辽宁省,,0.5,,,0.4,,,72.9,,,26.3,,,,,,,,,
吉林省,,0.1,,,1.0,18.8,0.2,7.5,0.1,6.9,198.6,58.4,,,,,,,,
黑龙江省,,4.4,37.4,386.3,40.0,100.5,63.0,,13.9,,80.9,90.5,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,0.2,16.7,,4.1,58.8,0.5,56.0,,3.1,30.2,,,,,,,,
浙江省,,,,119.2,1.1,266.2,,6.5,46.6,30.1,127.4,19.0,,,,,,,,
安徽省,,10.6,,266.9,0.1,19.3,58.1,41.0,248.8,1.3,145.2,392.7,,,,,,,,
福建省,,,,10.5,,155.9,,2.1,7.7,0.7,17.2,149.8,,,,,,,,
江西省,,8.7,,34.6,,290.8,,28.4,132.1,141.0,100.3,142.6,,,,,,,,
山东省,,19.6,0.3,6.5,1.3,26.5,43.1,0.2,242.9,,20.8,376.4,,,,,,,,
河南省,,40.7,,234.5,0.7,0.1,19.9,9.9,71.8,,23.7,287.3,,,,,,,,
湖北省,,3.3,11.6,394.7,76.7,492.2,73.7,82.9,100.3,74.1,323.0,228.9,,,,,,,,
湖南省,,1.1,23.3,155.4,,173.3,0.7,73.2,167.3,140.3,660.3,132.7,,,,,,,,
广东省,,,0.7,10.4,,148.5,,5.3,,0.2,53.6,11.3,,,,,,,,
广西壮族自治区,,,3.0,,,94.1,,15.1,66.7,1.0,430.4,13.7,,,,,,,,
海南省,,,,,,33.9,,,,,29.1,,,,,,,,,
重庆市,,1.0,,4.8,,13.7,,1.7,28.3,,206.9,3.1,,,,,,,,
四川省,,0.9,0.2,0.3,24.1,87.2,9.7,17.5,25.5,30.4,361.2,138.3,,,,,,,,
贵州省,,24.1,,21.4,10.3,11.9,4.0,43.9,54.9,20.4,552.2,3.9,,,,,,,,
云南省,,40.6,17.6,70.2,12.7,417.8,169.7,74.5,112.4,40.2,510.1,27.4,,,,,,,,
西藏自治区,,1.4,,,,0.3,1.5,0.2,1.7,1.1,2.8,0.5,,,,,,,,
陕西省,,127.9,45.2,235.4,6.3,7.7,16.3,4.5,98.9,9.3,5.5,295.8,,,,,,,,
甘肃省,,177.7,17.2,366.2,18.7,164.1,134.5,675.8,102.9,102.7,48.3,292.3,,,,,,,,
青海省,,3.4,11.1,1.2,,16.4,34.4,64.3,83.2,36.2,7.3,,,,,,,,,
宁夏回族自治区,,134.9,3.4,56.7,2.8,66.2,4.0,114.7,44.7,60.3,4.7,54.4,,,,,,,,
新疆维吾尔自治区,,4.0,7.1,56.5,22.0,9.9,77.2,429.5,38.8,126.6,137.4,339.1,,,,,,,,
数据来源：国家统计局
