数据库：分省年度数据
指标：低温冷冻和雪灾绝收面积(千公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,,,1.3,,,,,,,,
天津市,,,,,,,,,,,,1.3,,,,,,,,
河北省,,38.0,4.1,37.4,0.2,1.2,2.0,38.1,16.1,37.3,0.8,26.7,,,,,,,,
山西省,,120.3,4.2,154.3,3.8,0.1,2.6,38.7,59.2,4.6,1.5,59.1,,,,,,,,
内蒙古自治区,,1.3,2.4,9.3,56.3,20.3,1.9,0.2,0.4,63.2,3.8,6.2,,,,,,,,
辽宁省,,0.1,,,0.4,,,,,,,,,,,,,,,
吉林省,,,,,,8.3,,,0.1,0.4,9.2,0.1,,,,,,,,
黑龙江省,,0.3,,16.0,6.5,14.6,3.4,,0.6,,1.3,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,0.2,,0.3,1.6,,5.8,,,,,,,,,,,
浙江省,,,,0.2,,4.4,,,2.0,0.5,2.8,,,,,,,,,
安徽省,,0.1,,11.2,,0.8,1.5,0.1,4.9,,,,,,,,,,,
福建省,,,,,,25.4,,,0.3,,,29.5,,,,,,,,
江西省,,2.2,,1.7,,6.7,,0.1,3.1,8.2,1.5,13.5,,,,,,,,
山东省,,,,3.8,0.2,1.2,1.7,,2.3,,,,,,,,,,,
河南省,,4.2,,24.9,,,0.5,,0.8,,,4.2,,,,,,,,
湖北省,,0.8,0.5,20.5,0.5,5.1,1.3,10.7,2.2,4.1,18.7,12.1,,,,,,,,
湖南省,,,8.6,15.9,,4.9,0.2,4.9,8.3,1.3,55.6,0.6,,,,,,,,
广东省,,,,0.6,,14.0,,0.1,,,8.7,0.9,,,,,,,,
广西壮族自治区,,,,,,0.2,,0.9,0.7,,15.4,3.3,,,,,,,,
海南省,,,,,,2.9,,,,,,,,,,,,,,
重庆市,,0.1,,0.1,,1.2,,0.3,1.2,,9.8,,,,,,,,,
四川省,,,,0.1,0.7,9.1,0.2,2.5,2.4,0.2,20.8,2.6,,,,,,,,
贵州省,,4.0,,0.9,0.5,0.2,0.1,1.9,1.1,,28.0,,,,,,,,,
云南省,,3.5,3.2,6.3,1.2,34.7,7.9,5.0,10.1,1.0,26.5,2.5,,,,,,,,
西藏自治区,,0.4,,,,0.1,,,0.1,,0.3,,,,,,,,,
陕西省,,18.7,12.0,43.3,0.6,1.1,5.2,1.1,25.1,0.8,,1.3,,,,,,,,
甘肃省,,6.1,0.2,96.4,0.2,6.8,1.5,22.8,5.0,3.4,4.1,8.4,,,,,,,,
青海省,,,0.1,0.6,,,0.5,5.5,2.6,,,,,,,,,,,
宁夏回族自治区,,12.6,0.2,6.7,0.4,8.4,,2.8,24.0,0.3,0.8,,,,,,,,,
新疆维吾尔自治区,,,0.7,5.7,11.5,0.7,4.4,32.5,2.3,17.6,0.6,57.7,,,,,,,,
数据来源：国家统计局
