数据库：分省年度数据
指标：地质灾害人员伤亡(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,5,,,,,,,,,,
天津市,,,,2,,,,,,,,,,,,,,6,,
河北省,,,,1,3,,,,16,1,,,,,2,,,2,,
山西省,,,35,10,1,5,,,29,14,23,4,24,40,30,19,26,33,,
内蒙古自治区,,,,,,,11,,,,,3,,5,,,5,,,
辽宁省,,,,,,,,,4,,,29,,5,6,3,,14,,
吉林省,,,,1,2,,,,,,,9,,,,,4,1,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,3,8,,,45,50,,9,1,4,21,43,3,19,47,65,50,,
安徽省,,,,,,,2,,2,5,2,12,8,3,5,6,44,2,,
福建省,,1,1,6,4,74,14,,6,6,8,113,3,3,37,174,128,12,,
江西省,,1,9,2,10,13,18,,6,5,5,120,10,16,24,27,42,8,,
山东省,,2,,,,,,,,,6,,,,1,,,,,
河南省,,5,,,,,4,,1,,1,10,,,,6,15,14,,
湖北省,,22,4,6,33,46,41,,19,21,41,24,21,20,34,7,66,10,,
湖南省,,17,5,20,59,39,27,,29,42,19,100,55,30,34,204,19,115,,
广东省,,12,24,11,3,33,13,,45,33,2,50,21,47,22,231,99,43,,
广西壮族自治区,,20,42,19,71,55,54,,63,44,48,140,118,155,46,185,81,88,,
海南省,,,,,,,,,,,,3,,,,4,10,,,
重庆市,,18,16,21,37,23,15,,5,28,6,51,111,29,111,11,264,126,,
四川省,,12,7,24,101,23,4,,266,197,70,197,244,264,247,137,150,286,,
贵州省,,20,66,1,52,84,42,,53,25,10,123,38,55,70,43,28,140,,
云南省,,37,35,23,57,63,44,,105,145,50,277,97,224,226,89,78,339,,
西藏自治区,,2,,5,4,9,5,,83,,3,7,10,,42,7,3,41,,
陕西省,,8,10,6,50,10,71,,70,13,85,318,14,63,109,25,79,37,,
甘肃省,,16,25,22,19,8,4,,98,12,15,1821,25,634,14,1,2,24,,
青海省,,1,3,4,15,13,3,,16,5,6,,2,2,24,1,10,4,,
宁夏回族自治区,,,3,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,6,1,2,50,,,4,34,9,13,1,,20,,5,12,,
注：地质灾害防治相关数据自2018年起不再统计。
数据来源：国家统计局
