数据库：分省年度数据
指标：地质灾害死亡人数(人)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,3,,,,,,,,,,
天津市,,,,2,,,,,,,,,,,,,,1,,
河北省,,,,,3,,,,8,,,,,,,,,,,
山西省,,,22,10,,3,,,27,12,19,2,24,38,27,17,12,33,,
内蒙古自治区,,,,,,,7,,,,,3,,5,,,,,,
辽宁省,,,,,,,,,2,,,7,,3,6,,,9,,
吉林省,,,,1,,,,,,,,9,,,,,4,1,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,2,6,,,38,47,,7,1,3,16,18,1,12,37,36,44,,
安徽省,,,,,,,1,,1,3,2,6,2,2,3,2,40,1,,
福建省,,1,1,6,4,54,13,,4,5,8,38,3,3,25,97,84,8,,
江西省,,1,7,,5,10,12,,3,3,3,39,8,11,18,14,20,7,,
山东省,,2,,,,,,,,,6,,,,1,,,,,
河南省,,3,,,,,4,,1,,1,3,,,,6,4,10,,
湖北省,,16,1,5,23,19,21,,8,12,23,11,8,10,14,6,33,5,,
湖南省,,10,4,9,33,25,18,,15,19,11,47,21,15,16,111,16,53,,
广东省,,9,22,10,2,22,6,,34,21,2,39,19,33,18,138,66,29,,
广西壮族自治区,,12,27,10,29,24,17,,35,11,31,83,18,82,23,72,46,45,,
海南省,,,,,,,,,,,,2,,,,2,6,,,
重庆市,,11,15,14,24,12,7,,2,21,2,27,23,10,50,3,19,83,,
四川省,,7,2,6,85,12,3,,79,78,28,77,89,124,134,65,71,144,,
贵州省,,10,44,,32,55,27,,36,12,5,53,23,37,37,25,14,89,,
云南省,,14,28,8,20,26,26,,69,46,17,102,37,94,114,44,52,118,,
西藏自治区,,,,4,4,8,3,,66,,1,4,7,,6,2,3,12,,
陕西省,,7,6,5,41,7,12,,29,8,69,128,10,29,59,22,49,28,,
甘肃省,,11,19,12,10,6,,,53,7,4,1537,19,157,10,,2,8,,
青海省,,1,1,3,12,6,2,,,3,1,,1,2,16,,1,4,,
宁夏回族自治区,,,2,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,4,,2,35,,,3,28,8,11,1,,9,,,2,,
注：地质灾害防治相关数据自2018年起不再统计。
数据来源：国家统计局
