数据库：分省年度数据
指标：地质灾害直接经济损失(万元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,123,35,458,53,742,130,,44,,4,,,20,,,,88,,
天津市,,,,10,43,12,,,,,,,,,,,,50,,
河北省,,203,11,10,189,194,102,,113,430,2201,341,84,95,287,404,185,669,,
山西省,,458,793,293,55,154,333,,769,345,1472,817,491,1352,1422,1099,,5479,,
内蒙古自治区,,,1,6,0,2127,9,,100,612,810,1640,1960,2400,3200,4430,100,3705,,
辽宁省,,20,55,1,7354,1983,3,,30913,235235,10081,28109,1733,20,736,574,27504,5792,,
吉林省,,62,122,14,4123,155,132,,1799,429,151,75087,295,359,1,159,2304,6808,,
黑龙江省,,2,246,100,,100,,,600,,1,1,,203,23,3,409,113,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,417,22,830,30,2334,2096,,1190,642,2556,3126,628,432,4555,229,140,1045,,
浙江省,,2107,9044,445,1236,10168,7743,,3830,11361,3550,8938,6584,690,2006,4301,8500,6182,,
安徽省,,2133,2044,433,175,4616,13679,,2248,4601,1570,2537,2179,8753,7485,3714,96800,3658,,
福建省,,669,4292,199,828,25199,3928,,1981,364,1949,37209,1234,900,2710,166612,34844,1601,,
江西省,,1491,5825,555,1870,2583,8598,,1395,3035,4077,53966,1861,1620,1397,6876,138,421,,
山东省,,89,1108,272,25,125,30,,19,591,162,397,662,697,60,45,131,299,,
河南省,,123,335,894,279,2437,256,,135,898,13959,11165,162,18,336,825,75,5116,,
湖北省,,10820,1393,1328,25437,28090,7170,,6511,9275,23647,34176,12312,7626,26652,66620,26320,15370,,
湖南省,,16251,26249,6565,153116,87802,43363,,16322,41697,24648,49843,43933,56800,32228,47335,900,44751,,
广东省,,2057,7558,2626,1186,4449,3666,,20516,4308,2745,22732,8710,10875,10813,70745,58747,5590,,
广西壮族自治区,,7389,13255,2179,13089,1269,2936,,2918,10044,1083,4932,3856,6190,3016,12884,756,4176,,
海南省,,,120,,25,537,58,,24,13,684,3732,31,446,20,130,15,,,
重庆市,,4836,3377,4263,13700,7033,7750,,6495,13571,6400,3273,18783,53088,41289,4881,6718,54719,,
四川省,,235247,136003,37955,71107,27982,26231,,189587,125017,191824,90067,31904,16844,61748,10596,39075,29420,,
贵州省,,22560,20607,1612,18145,12257,15980,,7704,5564,12825,10222,10650,3206,5567,4905,1191,4517,,
云南省,,27161,8944,18214,13385,68676,32101,,51672,29282,27565,30760,13118,109679,27522,8335,44877,199086,,
西藏自治区,,5075,1084,3787,4280,24385,7904,,16611,2459,5237,33170,13076,1496,2953,441,20,3836,,
陕西省,,4668,3558,9874,6242,1075,51197,,9011,6516,21864,96050,3811,5035,3087,843,3484,971,,
甘肃省,,155883,28679,48692,20835,6179,14003,,667296,15241,51428,22878,11237,37327,4306,13872,3435,4085,,
青海省,,1994,1672,5047,889,2512,746,,668,55,78,1233,714,394,3786,252,615,571,,
宁夏回族自治区,,106,103,60,30,15,39,,2800,28,350,,,5,10,,10,101,,
新疆维吾尔自治区,,83,334,406,1752,29099,345,,298,103639,203,12107,101,364,314,483,384,609,,
注：地质灾害防治相关数据自2018年起不再统计。
数据来源：国家统计局
