数据库：分省年度数据
指标：较大火灾次数(次)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,4,6,,2,3,,,1,,,,1,,,,,,,
天津市,,,,1,,1,,,3,,,,1,,,,,,,
河北省,,1,5,4,14,12,8,15,9,10,13,,10,,,,,,,
山西省,,9,17,6,4,5,9,10,17,10,18,7,24,,,,,,,
内蒙古自治区,,44,135,73,80,61,77,79,44,31,36,48,30,,,,,,,
辽宁省,,3,26,23,33,53,66,28,6,24,14,14,53,,,,,,,
吉林省,,2,10,19,10,17,31,13,2,15,11,1,33,,,,,,,
黑龙江省,,2,1,15,12,2,7,6,1,9,3,9,17,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,2,1,,3,,1,,,,,,,
浙江省,,13,18,28,52,60,58,130,172,125,350,75,196,,,,,,,
安徽省,,2,9,4,10,15,1,68,29,24,71,91,43,,,,,,,
福建省,,26,20,75,42,21,108,120,119,86,387,124,528,,,,,,,
江西省,,31,25,34,58,27,31,129,62,34,114,55,303,,,,,,,
山东省,,4,,6,11,5,5,18,7,2,5,11,11,,,,,,,
河南省,,2,12,4,5,12,,55,160,42,224,131,160,,,,,,,
湖北省,,9,31,45,39,21,13,27,39,29,131,84,85,,,,,,,
湖南省,,26,101,105,135,35,29,181,279,506,466,556,1289,,,,,,,
广东省,,35,53,105,107,43,212,92,87,40,163,40,135,,,,,,,
广西壮族自治区,,85,114,180,220,156,358,217,115,142,179,333,236,,,,,,,
海南省,,35,20,12,7,37,72,42,21,9,15,36,18,,,,,,,
重庆市,,,4,3,1,3,,3,13,9,47,25,9,,,,,,,
四川省,,20,31,26,18,33,37,77,77,92,64,58,57,,,,,,,
贵州省,,8,2,15,5,9,43,65,52,65,130,835,421,,,,,,,
云南省,,34,54,36,29,46,59,199,191,216,51,342,190,,,,,,,
西藏自治区,,,,1,1,,1,,,6,,2,1,,,,,,,
陕西省,,20,87,53,45,12,19,31,69,37,33,9,8,,,,,,,
甘肃省,,7,5,3,2,2,3,3,3,4,3,5,,,,,,,,
青海省,,1,9,11,3,,1,1,1,,3,4,2,,,,,,,
宁夏回族自治区,,,5,1,6,1,2,,,,1,,,,,,,,,
新疆维吾尔自治区,,1,2,6,7,1,4,9,2,1,13,7,16,,,,,,,
数据来源：国家统计局
