数据库：分省年度数据
指标：森林虫害防治面积(万公顷)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,3.02,3.43,2.78,2.82,3.55,3.74,3.76,3.87,3.79,3.55,3.73,3.83,3.71,3.72,3.67,3.45,4.26,,
天津市,,4.26,4.45,4.44,4.09,4.01,3.97,4.08,4.27,4.25,3.91,4.11,3.36,3.07,2.45,1.67,2.65,4.50,,
河北省,,40.15,39.74,38.73,38.66,37.87,31.97,38.45,39.60,38.04,41.20,55.63,53.68,35.53,31.51,28.40,27.17,25.15,,
山西省,,15.55,12.70,13.83,14.16,12.63,9.29,8.35,10.67,12.61,7.84,10.29,16.93,12.20,11.44,11.60,12.12,16.54,,
内蒙古自治区,,39.89,70.99,41.11,48.05,35.30,39.06,37.72,39.55,42.67,28.92,34.95,30.71,32.18,33.58,39.87,52.53,37.93,,
辽宁省,,45.46,47.32,46.25,47.01,44.92,50.30,46.15,52.29,53.41,58.96,58.32,56.70,55.73,51.89,49.00,33.29,45.16,,
吉林省,,27.53,26.32,15.67,16.67,12.75,9.42,11.03,15.55,17.25,17.13,7.69,8.32,20.38,18.91,14.53,10.78,9.35,,
黑龙江省,,22.22,19.84,16.09,16.85,11.30,15.72,17.03,20.51,15.94,16.20,13.89,18.98,31.95,61.58,22.20,16.08,15.16,,
上海市,,1.16,1.13,1.09,1.04,0.67,0.40,0.45,0.38,0.45,0.47,0.68,1.05,0.89,0.92,1.00,1.28,3.03,,
江苏省,,8.23,10.90,13.80,8.94,9.00,7.47,7.73,9.32,7.78,6.10,6.94,6.09,5.28,6.67,6.60,5.05,4.41,,
浙江省,,2.73,3.78,14.34,16.10,11.82,8.85,8.22,5.52,4.19,4.70,4.39,4.63,3.79,3.34,3.47,4.09,5.03,,
安徽省,,26.76,29.34,32.40,39.24,34.41,28.48,28.29,28.29,28.02,28.67,25.95,21.07,24.42,22.70,24.07,18.98,17.63,,
福建省,,16.62,15.68,15.91,16.51,17.93,19.60,20.60,21.85,9.66,13.33,9.65,10.28,13.56,17.12,20.87,15.87,21.96,,
江西省,,19.30,15.67,18.93,18.37,11.95,10.98,14.18,14.18,21.14,11.70,24.76,27.86,14.28,22.81,15.13,21.82,15.71,,
山东省,,30.47,36.24,39.87,38.69,36.68,37.24,43.02,43.75,38.06,47.23,46.18,62.05,35.43,29.89,32.67,33.29,26.18,,
河南省,,36.89,39.59,41.78,41.37,38.91,40.24,38.26,40.24,35.34,35.62,43.55,33.08,33.43,38.27,35.93,28.11,25.07,,
湖北省,,22.41,26.86,25.30,33.70,25.89,23.42,17.74,17.40,18.98,18.02,24.50,27.70,22.73,24.53,22.47,17.16,16.00,,
湖南省,,19.58,17.33,25.80,25.55,23.48,29.75,29.53,25.87,13.23,18.45,21.74,18.64,12.14,16.07,22.27,14.90,24.37,,
广东省,,10.95,9.80,10.56,11.36,12.51,9.96,9.68,7.89,11.78,8.89,10.17,11.29,12.51,12.78,10.60,6.36,6.08,,
广西壮族自治区,,4.73,26.86,3.15,3.61,5.79,7.60,8.70,6.28,5.43,7.25,8.18,8.29,8.22,8.16,10.20,7.48,11.56,,
海南省,,0.47,0.48,0.53,0.67,0.64,0.48,0.72,0.40,0.56,0.08,0.90,0.54,0.15,0.86,1.60,1.39,3.69,,
重庆市,,23.05,23.57,23.66,22.17,8.02,16.80,11.88,12.17,12.85,15.12,20.29,15.39,14.62,12.91,10.27,8.33,10.04,,
四川省,,36.41,35.81,37.33,39.85,42.19,43.70,44.75,28.29,46.63,29.59,49.25,52.97,50.54,50.55,58.00,57.10,61.11,,
贵州省,,13.87,15.33,16.60,15.97,11.68,17.24,18.83,16.80,12.68,11.39,19.64,21.43,13.89,18.55,21.47,19.40,19.31,,
云南省,,27.68,30.67,35.17,32.77,33.13,34.43,23.10,23.74,22.78,22.45,27.66,27.41,27.13,28.61,27.07,23.67,18.56,,
西藏自治区,,9.00,3.77,4.58,14.95,10.12,9.65,8.78,11.28,8.63,7.73,7.08,,,,,,,,
陕西省,,19.86,20.06,20.44,21.88,19.31,22.39,23.68,20.95,18.19,17.87,17.59,18.48,17.26,20.74,12.40,12.46,13.40,,
甘肃省,,14.85,12.67,13.76,12.77,7.76,8.25,7.80,6.64,5.46,7.23,9.46,10.49,9.82,8.24,8.80,10.98,8.71,,
青海省,,7.62,9.25,8.48,6.98,8.22,2.11,1.52,1.52,7.16,6.06,7.93,7.40,6.22,6.37,5.93,4.55,5.15,,
宁夏回族自治区,,4.66,4.25,5.46,4.45,1.52,8.68,7.93,6.32,2.69,2.31,8.44,7.36,8.27,7.13,4.27,2.65,2.87,,
新疆维吾尔自治区,,71.06,86.89,76.72,98.69,80.57,65.85,56.97,53.80,52.15,48.04,44.36,50.82,59.60,30.29,28.87,21.97,13.81,,
数据来源：国家统计局
