数据库：分省年度数据
指标：突发环境事件次数(次)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年
北京市,8,17,29,11,13,15,11,16,21,36
天津市,1,2,2,,,1,1,,5,1
河北省,2,4,6,2,1,6,2,3,10,16
山西省,17,15,12,19,13,3,6,13,,11
内蒙古自治区,2,2,1,1,,,2,4,10,14
辽宁省,5,10,10,15,10,13,4,12,15,2
吉林省,,,4,,3,,1,1,1,2
黑龙江省,1,,,,3,,,,,5
上海市,,,1,,3,10,108,251,192,197
江苏省,12,9,5,8,13,27,70,125,77,27
浙江省,10,10,11,13,16,22,27,26,23,31
安徽省,10,6,4,4,3,8,9,6,20,12
福建省,6,9,11,15,11,19,20,13,4,8
江西省,5,8,4,6,7,7,6,5,1,8
山东省,3,8,1,8,7,10,6,5,3,8
河南省,5,10,12,5,4,10,6,17,14,25
湖北省,9,19,17,18,37,10,5,7,4,7
湖南省,7,25,16,15,8,16,2,3,3,9
广东省,24,26,37,48,24,29,23,5,23,26
广西壮族自治区,3,4,10,8,8,7,8,16,20,31
海南省,1,,1,4,4,2,3,4,2,1
重庆市,8,3,7,12,11,9,16,11,25,18
四川省,17,25,20,16,20,14,7,14,16,25
贵州省,11,8,8,11,12,9,3,9,4,7
云南省,3,,,4,1,4,3,2,1,1
陕西省,10,26,27,32,45,58,82,118,23,2
甘肃省,5,4,5,5,9,12,22,11,8,4
青海省,,2,1,3,3,3,6,2,4,1
宁夏回族自治区,12,5,23,11,4,2,7,3,,1
新疆维吾尔自治区,11,4,1,8,11,4,5,10,13,6
数据来源：国家统计局
