数据库：分省年度数据
指标：地震灾害次数(次)
时间：最近20年
地区,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
河北省,,,,,,,,,,,,,,,1,,
山西省,,,,,1,,,,,,3,,,,,,
内蒙古自治区,,,,,,1,,1,,,,,1,,,,1
辽宁省,,,,,1,,,,,,,,,,,,
吉林省,,1,2,,,,,1,,,,,,,1,,
黑龙江省,,,,,,,,,,,,,,,,1,
江苏省,,,,,,,,,1,,,,,,,,
浙江省,,,,,,,1,,,,,,,,,,
安徽省,,,,,,,,,,1,,,,,,,
福建省,,,,,,,,,,,,,,1,,,
江西省,,,,,,,,,,1,,,,,,1,
河南省,,,,,,,,,,1,1,,,,,,
湖北省,,1,1,1,,,,1,,,,,2,,,,
广东省,,,,,,,,,,,,,,,,,1
广西壮族自治区,,2,,,1,,,,,,,,,,,1,
重庆市,,,,1,2,,,,,,1,1,,,,,
四川省,1,5,3,4,1,1,3,2,,1,1,,3,,,1,1
贵州省,,1,,,,1,,,,,1,,,,,,
云南省,1,,3,2,1,2,8,3,3,3,2,2,3,1,3,3,3
西藏自治区,,1,,1,1,3,1,1,,,1,,1,,1,3,3
甘肃省,,2,,1,,,,1,1,1,,,2,,2,,1
青海省,,,1,,2,2,1,,,1,1,1,1,,1,,1
新疆维吾尔自治区,3,,1,2,6,4,6,4,7,7,1,4,4,1,1,3,
数据来源：国家统计局
