数据库：分省年度数据
指标：5.0-5.9级地震灾害次数(次)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,,,,,,,,,,,,,,,1,,,,
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,,,,,1,,1,,,,,1,,,,1,,
辽宁省,,,,,,,,,,,,,,,,,,,,
吉林省,,,1,1,,,,,1,,,,,,,1,,,,
黑龙江省,,,,,,,,,,,,,,,,,1,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,1,,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,1,,,
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,,,,,,,,,,,,,,,,,,,
湖北省,,,,,,,,,1,,,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,2,,,1,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,1,,,,,,,,,,,,,,,
四川省,,1,3,2,1,1,1,2,1,,1,1,,,,,,,,
贵州省,,,,,,,1,,,,,,,,,,,,,
云南省,,1,,2,1,1,2,5,3,3,3,1,1,2,,3,3,3,,
西藏自治区,,,,,,1,3,1,,,,1,,,,1,2,2,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,,2,,,,,,,1,,,,1,,1,,1,,
青海省,,,,1,,,2,1,,,1,,,,,1,,1,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,1,,1,1,4,3,5,3,3,6,1,4,2,1,1,2,,,
数据来源：国家统计局
