数据库：分省年度数据
指标：地震灾害直接经济损失(万元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,,,,,,,,,,,,,,,980,,,,
山西省,,,,,,2069,,,,,,1770,,,,,,,,
内蒙古自治区,,400,,,,,33714,,64720,,,,,3218,,,,20272,,
辽宁省,,,,,,200,,,,,,,,,,,,,,
吉林省,,,496,39921,,,,,202300,,,,,,,11068,,,,
黑龙江省,,,,,,,,,,,,,,,,,2745,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,1543,,,,,,,,,,
浙江省,,,,,,,,21743,,,,,,,,,,,,
安徽省,,,,,,,,,,,232351,,,,,,,,,
福建省,,,,,,,,,,,,,,,1002,,,,,
江西省,,,,,,,,,,,5380,,,,,,203759,,,
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,,,,,,,,,,1895,1446,,,,,,,,
湖北省,,300,228,1636,1389,,,,7531,,,,,603,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,2308,,
广西壮族自治区,,,50,,,10204,,,,,,,,,,,2532,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,300,,,,3630,,,,,,1809,2273,,,,,,,
四川省,,20000,58308,32461,806811,3300,18900,438177,6714639,,178580,29405,,85679093,,,653,1535,,
贵州省,,1000,,,,,51704,,,,,,,,,,,,,
云南省,,10000,,178640,17200,13560,107900,2779840,237178,554258,2813100,35440,239930,155240,189860,55230,31498,59016,,
西藏自治区,,2000,,,20700,144600,1030200,,270715,,,4058,,41137,,518,5222,3168,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,400,43,,,,,,2441600,862,2696,,,5256,,7784,,6600,,
青海省,,,,11754,,150977,,,,,65028,2284741,11081,26611,,4254,,2060,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,171000,,38304,630500,340153,549500,108061,14948,272095,1050593,2408,20498,38437,11060,126,16402,,,
数据来源：国家统计局
