数据库：分省年度数据
指标：治理固体废物项目完成投资(万元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,13,,465,75,408,,1011,104,,,1,1151,1040,959,3371,,
天津市,,,,36,4,21,1737,,,1301,33245,1226,546,1002,1750,148,4328,1560,,
河北省,,10,176,5444,,80,1880,2324,513,86,7766,2,,334,2539,303,36208,4434,,
山西省,,7882,18433,16843,1234,2817,8265,12587,22519,40201,28718,30135,19687,27641,12595,17793,11866,12080,,
内蒙古自治区,,3711,8823,860,3044,20950,10396,17731,27484,18197,17299,1987,10194,532,6932,517,1332,245,,
辽宁省,,78,,2023,1745,3999,19530,2350,1426,2354,2869,804,1519,3834,11201,3026,4166,798,,
吉林省,,,,475,470,35,212,928,988,1095,815,4871,435,,432,758,5104,1867,,
黑龙江省,,7606,150,,,4282,,1290,1193,2501,694,,755,1192,5538,736,2097,3240,,
上海市,,2,187,15,66443,582,100,8,216,432,60,27,11178,11002,11,31376,16,423,,
江苏省,,,29368,3903,29207,3723,3711,411,16534,12989,13905,8964,3363,13116,12196,2321,1966,5337,,
浙江省,,6528,4648,6314,434,20354,4552,3157,547,1457,2233,2746,16756,3188,1942,1694,1784,1110,,
安徽省,,3000,250,6267,4183,42620,860,2008,102,2335,2074,,80,2121,546,2194,2902,881,,
福建省,,50311,61220,61084,2923,56956,9784,8699,7700,7576,10482,7704,9433,1800,3240,13924,19324,20365,,
江西省,,192,4444,2863,280,4132,2010,745,462,1624,4745,48,3781,1954,1411,1131,3140,1398,,
山东省,,22210,3819,3050,850,29049,32912,8365,2775,35350,53923,15288,28791,36753,25700,20173,77997,77454,,
河南省,,460,1141,7077,540,1480,7862,140,22011,3952,5374,856,5687,14378,7668,16628,24178,14841,,
湖北省,,43893,273,35,5542,208465,1360,2752,1700,1476,10086,9580,5970,3936,2004,10241,11408,1890,,
湖南省,,4899,1,,212,93,2056,3605,3764,4157,8853,11222,5375,6901,6676,4756,9539,8480,,
广东省,,652,33414,11803,314,2413,4178,4619,2725,17348,7973,4622,11197,3515,11430,11011,16817,17073,,
广西壮族自治区,,185,,35761,167,14096,26722,17201,540,8782,3242,17024,7090,3714,16012,1690,1849,665,,
海南省,,,5,,377,1155,,,,180,1218,52,,,,187,207,262,,
重庆市,,,,180,66,4504,2813,4296,,1471,14281,3189,590,4476,4233,833,9826,1001,,
四川省,,5500,113,1465,4840,6862,200,1689,1407,2892,3656,1405,6840,10196,8368,3215,7099,11538,,
贵州省,,11785,220,884,1244,3570,1204,665,198,2363,56023,6298,35267,9767,9141,10365,7816,11094,,
云南省,,600,1632,12291,1775,15147,8464,33521,8768,5733,12016,6302,13399,21630,7501,9944,8260,16166,,
西藏自治区,,,,,,,45,260,845,615,380,,,,,,,,,
陕西省,,3560,975,983,1322,2302,1690,2306,2300,11406,5583,1950,6676,2899,8779,3148,1317,1095,,
甘肃省,,,280,3430,50,10732,40,230,400,53499,389,5593,13314,8044,8250,7183,1404,2159,,
青海省,,,842,,32,338,5050,3328,,1514,5705,,,478,,,12,6,,
宁夏回族自治区,,,230,230,,4206,3433,14840,5176,3601,166,,15,483,3610,3715,890,2877,,
新疆维吾尔自治区,,,86,922,123,1305,328,42,8187,,,800,600,1964,1676,2582,371,2756,,
数据来源：国家统计局
