数据库：分省年度数据
指标：治理噪声项目完成投资(万元)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,,6,,,,27,35,40,16,11,12,133,395,346,136,409,,
天津市,,37,,200,12,10,,,25,1208,14,155,399,612,117,260,1707,711,,
河北省,,,16,22,19,80,24,36,130,,595,993,1399,512,1488,3108,1703,949,,
山西省,,178,260,20,1228,53,,180,593,239,2305,919,1742,9197,856,230,348,87,,
内蒙古自治区,,,,608,,158,319,1042,101,5,659,201,120,126,111,20,3,,,
辽宁省,,48,1563,258,312,307,617,332,549,111,573,,99,812,969,675,763,138,,
吉林省,,,,,82,50,3820,299,8,350,,312,18,390,1874,16,1221,93,,
黑龙江省,,,,,,,,,,,,,,2,8,,4,18,,
上海市,,11,1109,158,62,9,4726,43,275,560,879,679,1598,743,1013,730,363,352,,
江苏省,,12,15,995,1317,710,1149,557,461,323,1421,1974,379,1790,576,1261,2178,1605,,
浙江省,,391,1044,647,1601,16,708,390,1035,1405,1486,212,58,286,315,274,1145,493,,
安徽省,,45,509,122,1828,123,757,210,146,183,273,108,471,392,287,520,249,536,,
福建省,,,895,1,5,102,550,720,572,382,580,611,1060,116,101,7046,6973,572,,
江西省,,524,1443,810,240,215,144,112,25,16,12,,3,3,151,6104,196,335,,
山东省,,2561,2777,3025,695,1135,258,1531,5768,1306,204,785,1045,2871,1692,1434,5200,1624,,
河南省,,,,173,561,153,53,20,185,425,658,445,1105,1122,821,529,438,374,,
湖北省,,,217,1172,637,367,275,104,52,1114,475,867,675,1041,1411,203,440,199,,
湖南省,,350,1047,2755,610,,277,35,56,280,1745,501,405,1564,534,1397,689,315,,
广东省,,259,564,410,481,708,504,418,509,755,146,342,303,519,1948,2661,2447,1776,,
广西壮族自治区,,,175,,,,50,,276,2,46,80,,52,1,238,505,244,,
海南省,,,,515,1500,,1300,83,,,120,,,,10,,,,,
重庆市,,,1250,970,242,,120,132,44,309,354,500,676,3057,571,638,321,53,,
四川省,,637,70,1335,555,92,10079,3929,2216,474,6150,488,202,680,1580,829,930,1059,,
贵州省,,216,834,238,65,79,625,,543,1034,89,2497,213,34,161,239,383,222,,
云南省,,335,70,311,548,755,587,215,3115,575,1215,240,424,289,284,442,973,405,,
西藏自治区,,1502,,,,,,,15,,,,,,,,,,,
陕西省,,15,252,172,263,1036,750,498,851,480,1418,1259,1004,715,703,791,94,438,,
甘肃省,,92,,248,,10,200,,,51,98,19,511,17,83,123,84,175,,
青海省,,,48,,,,,,,,,,10,1000,,,,,,
宁夏回族自治区,,23,,10,,69,,,6,,18,,,39,,,800,145,,
新疆维吾尔自治区,,170,10,,,,,38,38,,75,,170,270,219,32,321,92,,
数据来源：国家统计局
