数据库：分省年度数据
指标：林业投资(万元)
时间：最近20年
地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年
北京市,2448559,2074256,1755104,1591985,2353682,2071603,1470847,953587,348034,339462,382399,315370,214197,109188,100774
天津市,135079,426095,123328,165355,203034,112535,53355,87612,30323,30572,24809,35561,7422,5139,3591
河北省,1861822,1222530,1131022,942518,897626,676512,663921,546499,317065,330527,246929,206226,205661,225131,210262
山西省,1117541,1140098,1231851,1312256,1465912,1101015,1025047,1040002,657941,620845,435413,305967,219134,174345,178974
内蒙古自治区,1612360,1534901,1627553,1604223,1513615,1500005,1333975,1146495,819932,679629,485761,459427,418950,417279,359239
辽宁省,419546,395110,421582,761304,1227495,1363756,1456896,1201371,317498,331567,201000,122059,78093,121087,66915
吉林省,884136,932160,818957,850582,678177,606084,714638,609980,489491,445644,323002,177428,147380,188849,126603
黑龙江省,1414502,1527454,1385455,1280583,974013,1246000,1742134,1867830,1058455,834066,358749,386682,198987,197979,181249
上海市,164947,180560,232668,174443,147768,102636,96870,79598,47627,64986,38456,33756,92266,81293,103534
江苏省,867269,1382175,1049407,1253879,1493080,1255738,928670,953810,720751,738587,545402,414435,356366,235276,153983
浙江省,796396,846310,824296,892099,876555,923541,807782,650354,52940,47302,30425,11501,9816,13148,16379
安徽省,1021252,967897,1018263,1034419,971859,983084,452501,401092,152316,130358,97469,87174,57908,69897,50076
福建省,1539947,2324943,2448630,2552359,2643740,2384170,2215019,1670013,55557,40710,41058,35980,28107,79789,30222
江西省,1149215,1558707,1163236,727465,973325,820201,760416,570750,285369,232054,165033,89492,68589,39642,48558
山东省,3045469,3041117,3170368,2887127,3250914,2700406,2513677,1199874,235169,212444,217437,210006,176906,162168,136976
河南省,750687,922295,1204485,1239647,1102935,1019382,976351,974898,325638,570593,138740,96427,110022,106248,90460
湖北省,1966414,1974281,1669467,1241861,940769,674917,533859,406200,322295,279846,218202,176314,155742,142392,112914
湖南省,3233334,2716636,2672818,2049405,1908333,1603967,1279005,609371,373541,312354,216650,202800,153230,124664,135827
广东省,867790,816578,790191,967229,732897,983675,636673,505088,77995,78135,51401,39116,41486,39888,26573
广西壮族自治区,9629216,10418614,10146123,10382580,10861358,8283917,6903848,5159485,3716926,2680619,669869,230206,168224,173203,137731
海南省,143945,131481,145151,143742,136712,153080,142492,77965,44111,27994,30422,30840,16227,37864,31409
重庆市,819216,606762,557574,620641,463092,474109,516676,424075,577434,573208,347879,223925,228305,211195,188110
四川省,2790807,2757320,2680872,2260027,2403437,1901917,1773551,1433823,1715300,1605475,1228731,944056,516142,469701,428720
贵州省,2535121,1503286,620938,450848,402000,390000,380000,381500,332761,331912,271589,227150,198227,198246,187258
云南省,1383232,1247752,1077250,1210178,904811,854863,850074,734802,459922,372359,315300,269452,193152,201479,176913
西藏自治区,347444,360247,365069,310030,188309,166755,165894,148938,78515,25250,39543,39543,3492,5832,9318
陕西省,1372268,1293529,1330824,1144133,1091744,1012633,749288,498242,376174,401925,314811,134381,141470,144717,135619
甘肃省,1384743,1065849,993682,913962,837211,784173,756920,608123,722797,466615,367149,254377,233372,253385,207182
青海省,430816,427591,330888,348088,281662,268967,227158,165341,147661,119745,101537,94739,64619,72868,59245
宁夏回族自治区,201418,240567,309983,173236,164160,186810,138955,188696,146527,108396,104375,33401,27936,38196,35148
新疆维吾尔自治区,1093882,1177899,1132655,974063,730509,695760,663078,463570,298387,282271,217080,187240,147114,138149,102334
注：林业投资全国合计数包含国家林业局直属单位的固定资产投资数据。
数据来源：国家统计局
