数据库：分省年度数据
指标：农林牧渔业增加值(亿元)
时间：最近20年
地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,122.82,132.00,142.60,161.30,161.80,150.20,136.27,124.51,118.30,113.00,101.00,91.93,108.60,105.90,98.30,98.00
天津市,174.00,222.00,210.50,201.50,188.50,171.60,159.73,145.58,128.90,123.00,110.00,103.34,112.40,104.90,92.60,84.00
河北省,3297.76,3644.80,3578.70,3576.50,3500.40,3186.70,2905.74,2562.81,2207.30,2035.00,1805.00,1456.57,1503.10,1370.40,1096.50,957.00
山西省,764.06,827.30,824.10,828.20,776.60,698.30,641.42,554.50,477.60,314.00,270.00,239.22,262.40,277.30,224.60,197.80
内蒙古自治区,1677.71,1663.90,1642.50,1651.70,1598.20,1448.60,1306.30,1095.28,929.60,908.00,797.00,634.90,593.00,521.20,410.70,365.70
辽宁省,2000.40,2296.60,2505.10,2403.20,2321.60,2155.10,1915.57,1631.09,1414.90,1302.00,1133.00,939.30,879.20,795.50,635.90,590.20
吉林省,1137.71,1549.30,1644.60,1570.20,1509.30,1412.10,1277.44,1050.16,980.60,917.00,784.00,650.50,625.60,566.20,482.20,409.00
黑龙江省,3036.88,2731.70,2687.80,2659.60,2516.80,2113.70,1701.50,1302.90,1154.30,1089.00,915.00,754.23,684.60,600.30,512.80,446.60
上海市,115.10,113.50,114.00,128.60,129.30,127.80,124.94,114.65,113.80,112.00,102.00,93.46,92.40,96.70,93.00,88.20
江苏省,4314.53,4323.50,4209.50,3835.20,3646.10,3418.30,3064.77,2540.11,2261.90,2100.00,1816.00,1631.21,1461.50,1382.20,1085.20,1014.50
浙江省,1972.84,2000.20,1865.30,1806.60,1787.20,1667.90,1583.04,1360.56,1163.10,1096.00,986.00,889.16,892.80,833.30,736.80,728.10
安徽省,2706.74,2693.20,2550.30,2481.90,2348.10,2178.70,2015.31,1729.02,1495.40,1418.00,1200.00,1011.05,966.50,950.10,749.40,772.50
福建省,2294.43,2444.80,2194.10,2085.00,1939.00,1776.70,1612.23,1363.67,1182.70,1158.00,1002.00,865.98,841.20,796.70,702.60,664.80
江西省,1898.49,1962.40,1827.80,1735.30,1636.50,1520.20,1391.07,1206.98,1098.40,1060.00,906.00,782.88,727.40,672.70,538.40,536.00
山东省,5114.70,5171.10,5182.90,4992.90,4742.60,4281.70,3973.85,3588.28,3226.60,3003.00,2536.00,2168.47,1963.50,1811.20,1509.00,1390.00
河南省,4310.55,4440.00,4348.40,4261.70,4059.00,3769.50,3512.24,3258.11,2769.00,2659.00,2218.00,1916.71,1892.00,1692.80,1239.70,1288.40
湖北省,3690.30,3780.80,3417.30,3256.00,3098.20,2848.80,2607.37,2147.01,1795.90,1780.00,1378.00,1105.36,1081.20,1031.10,808.60,734.30
湖南省,3165.28,3725.90,3462.00,3266.90,3099.20,3004.20,2768.03,2325.51,1969.70,2008.00,1627.00,1272.21,1274.20,1174.90,901.60,847.20
广东省,3712.71,3781.80,3426.10,3242.60,3047.50,2847.30,2665.20,2286.98,2010.30,1973.00,1696.00,1532.14,1442.80,1261.40,1114.50,1016.60
广西壮族自治区,2964.65,2873.50,2633.00,2473.90,2343.60,2172.60,2047.23,1675.06,1455.20,1454.00,1241.00,1010.02,912.60,816.90,658.10,589.70
海南省,993.25,977.60,880.50,832.60,756.30,711.50,659.23,539.84,462.20,436.00,361.00,323.48,298.20,276.40,230.50,228.90
重庆市,1300.33,1324.70,1168.70,1076.70,1016.70,940.00,844.52,685.39,606.80,575.00,482.00,386.40,463.40,431.40,341.90,315.80
四川省,4365.11,4005.40,3745.30,3594.20,3425.60,3297.20,2983.51,2482.89,2240.60,2366.00,2032.00,1548.84,1516.30,1401.90,1118.40,1042.40
贵州省,2139.97,1944.30,1712.70,1316.10,1031.70,891.90,726.21,625.04,550.30,539.00,446.00,380.34,368.90,340.90,303.90,280.80
云南省,2388.55,2242.20,2098.30,2027.30,1895.20,1654.60,1411.15,1108.38,1067.50,974.00,837.00,724.36,669.80,609.00,496.90,470.50
西藏自治区,125.90,118.70,100.80,93.90,86.80,80.30,74.35,68.72,63.90,61.00,55.00,48.55,48.00,44.20,56.20,41.40
陕西省,1830.62,1776.30,1673.20,1635.80,1526.00,1370.20,1220.90,988.45,789.60,754.00,593.00,484.76,435.80,387.40,317.00,301.40
甘肃省,896.00,1027.70,995.50,939.20,879.90,780.50,678.75,599.28,497.00,462.00,388.00,336.27,308.10,285.00,240.00,214.50
青海省,242.04,224.70,212.20,219.00,207.60,176.80,155.07,134.92,107.40,106.00,83.00,67.51,65.30,60.50,53.70,44.90
宁夏回族自治区,266.27,256.30,251.70,229.60,222.30,199.40,184.14,159.29,127.30,119.00,98.00,79.74,72.10,67.30,57.50,52.80
新疆维吾尔自治区,1640.33,1691.80,1598.70,1574.60,1468.30,1320.60,1139.02,1078.61,759.70,691.00,629.00,510.99,507.60,459.10,426.20,305.00
注：2003年起执行国民经济行业分类标准，总产值包括农林牧渔服务业产值。2012年起执行新国民经济行业分类标准。
数据来源：国家统计局
