数据库：分省年度数据
指标：农用大中型拖拉机数量(台)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,4130.00,4314.00,4700.00,6900.00,7300.00,7000.00,6600.00,6500.00,7400.00,8864.00,8300.00,7800.00,6927.00,7892.00,9063.00,9487.00,9630.00,10998.00,10784.00
天津市,,13392.00,13163.00,13799.00,15500.00,15400.00,15000.00,15800.00,15600.00,15000.00,14300.00,13000.00,12800.00,11500.00,11000.00,10630.00,10260.00,9400.00,9290.00,8900.00
河北省,,306385.00,280018.00,272957.00,314700.00,298700.00,274300.00,254600.00,234300.00,213700.00,193374.00,172600.00,155200.00,136200.00,114345.00,111080.00,100894.00,89745.00,73400.00,68500.00
山西省,,113170.00,104580.00,98700.00,130800.00,138100.00,130700.00,119000.00,107200.00,97800.00,88900.00,73200.00,62568.00,51703.00,41379.00,38653.50,35928.00,29862.00,22792.00,22563.00
内蒙古自治区,,391184.00,354049.00,316476.00,796800.00,767400.00,723800.00,671500.00,623400.00,579400.00,547661.00,514100.00,482600.00,451900.00,170668.00,122163.00,73658.00,51117.00,42270.00,37148.00
辽宁省,,191889.00,176753.00,169990.00,250700.00,242600.00,231500.00,223400.00,208000.00,190600.00,174200.00,151600.00,135700.00,117600.00,67556.00,45000.00,42777.00,35566.00,34630.00,35191.00
吉林省,,384677.00,341000.00,315900.00,584300.00,560000.00,521600.00,480800.00,440400.00,395900.00,350700.00,293600.00,251200.00,201300.00,165300.00,108700.00,90750.00,66424.00,48749.00,35763.00
黑龙江省,,637291.00,578241.00,551700.00,1060600.00,1015600.00,968000.00,921600.00,873300.00,808900.00,732100.00,654700.00,583000.00,482000.00,381813.00,323087.00,217275.00,127795.00,99462.00,85266.00
上海市,,7431.00,7625.00,7423.00,7700.00,7700.00,7500.00,7200.00,6700.00,6500.00,6100.00,5774.00,5394.00,4811.00,4584.00,4262.00,4210.00,4324.00,5395.00,6408.00
江苏省,,171592.00,167744.00,165400.00,180300.00,179900.00,167600.00,151200.00,131300.00,115900.00,106800.00,96700.00,85000.00,71700.00,49600.00,44200.00,41500.00,40100.00,40500.00,55600.00
浙江省,,15867.00,14468.00,13200.00,14400.00,14000.00,12600.00,12000.00,11700.00,10700.00,9583.00,8400.00,7412.00,5842.00,6036.00,5075.00,4482.00,4376.00,4600.00,6117.00
安徽省,,262506.00,244447.00,227632.00,259600.00,246500.00,220100.00,199300.00,179900.00,164500.00,145320.00,124700.00,105000.00,90200.00,66670.00,47674.00,36040.00,26000.00,20700.00,17500.00
福建省,,5837.00,5452.00,5300.00,4800.00,4800.00,3900.00,3500.00,3100.00,2900.00,2900.00,2603.00,2389.00,1636.00,1496.00,1471.00,1400.00,1500.00,1602.00,1474.00
江西省,,51334.00,43340.00,38432.00,31900.00,27500.00,19600.00,14200.00,10200.00,20500.00,18000.00,16600.00,15200.00,13100.00,11890.00,11150.00,12800.00,9000.00,10800.00,9400.00
山东省,,504125.00,482451.00,479401.00,604000.00,571800.00,535200.00,518400.00,500700.00,476900.00,454300.00,425700.00,399300.00,365500.00,288376.00,251551.00,227858.00,211805.00,188553.00,172863.00
河南省,,397203.00,373074.00,353481.00,458500.00,432700.00,402300.00,378100.00,357800.00,338500.00,310700.00,274445.00,246921.00,202608.00,149400.00,127730.00,110840.00,97000.00,87200.00,78440.00
湖北省,,181723.00,172217.00,161732.00,189700.00,181800.00,168400.00,158500.00,149400.00,138400.00,130774.00,127100.00,118600.00,104200.00,92952.00,85002.00,76644.00,68263.00,65925.00,66439.00
湖南省,,107671.00,117062.00,112742.00,141000.00,135700.00,128800.00,116300.00,106600.00,97300.00,88998.00,84770.00,75300.00,67501.00,24500.00,19700.00,8820.00,7200.00,6000.00,6100.00
广东省,,26338.00,25021.00,24465.00,30400.00,30011.00,28700.00,28100.00,23900.00,22500.00,19600.00,18400.00,16059.00,13600.00,12367.00,9133.50,5900.00,4500.00,4600.00,4100.00
广西壮族自治区,,54894.00,53824.00,50800.00,51900.00,47700.00,42400.00,37900.00,34200.00,30500.00,26850.00,21680.00,19590.00,17100.00,14155.00,17241.00,16950.00,17960.00,23200.00,16300.00
海南省,,22885.00,20990.00,20355.00,35200.00,41935.00,43700.00,44900.00,44500.00,41000.00,34600.00,29800.00,24500.00,17600.00,5841.00,5820.50,5800.00,4835.00,4547.00,3100.00
重庆市,,2353.00,2090.00,2025.00,5200.00,5000.00,4100.00,3800.00,3800.00,3700.00,3600.00,3300.00,2800.00,2600.00,2252.00,604.00,104.00,2651.00,2868.00,2500.00
