数据库：分省年度数据
指标：机动脱粒机数量(台)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,4000.00,3800.00,3900.00,3800.00,3900.00,3900.00,4100.00,4200.00,4364.00,5100.00,5300.00,5477.00,5512.00,6607.00,6995.00,6939.00,7858.00,8488.00
天津市,,,17000.00,17300.00,19700.00,20100.00,20300.00,20800.00,21600.00,21400.00,20700.00,19200.00,19200.00,19300.00,20820.00,21035.00,21250.00,21700.00,27090.00,29400.00
河北省,,,157000.00,159600.00,168100.00,193300.00,198200.00,202500.00,207100.00,211900.00,207100.00,217800.00,216900.00,218100.00,259693.00,269214.00,284750.00,290713.00,306028.00,366627.00
山西省,,,53000.00,52100.00,51300.00,86100.00,91400.00,88700.00,85200.00,81600.00,70800.00,60600.00,52038.00,53022.00,53261.00,53492.50,53724.00,52796.00,56803.00,59788.00
内蒙古自治区,,,129000.00,127900.00,125600.00,119000.00,113100.00,109900.00,107700.00,101500.00,101211.00,93100.00,84400.00,79000.00,96012.00,86119.00,76226.00,72254.00,66381.00,64694.00
辽宁省,,,134000.00,138900.00,141800.00,146300.00,147500.00,149100.00,147200.00,137700.00,133600.00,126600.00,117000.00,117000.00,119174.00,114000.00,113413.00,114756.00,122784.00,115629.00
吉林省,,,162000.00,59905.00,161400.00,170200.00,157300.00,171200.00,168300.00,168900.00,165600.00,160000.00,150000.00,143000.00,130904.00,146179.00,152021.00,154618.00,157053.00,144718.00
黑龙江省,,,149000.00,159504.00,162700.00,172800.00,174100.00,172300.00,168700.00,168800.00,164900.00,165700.00,163600.00,160200.00,149530.00,150713.00,148068.00,140969.00,133809.00,128232.00
上海市,,,,100.00,200.00,400.00,600.00,800.00,800.00,2800.00,6300.00,7544.00,10476.00,13920.00,30772.00,39141.00,47841.00,68797.00,83049.00,96909.00
江苏省,,,61000.00,77100.00,83300.00,89300.00,105000.00,149500.00,164400.00,183900.00,209200.00,330000.00,380000.00,436200.00,590039.00,750000.00,739485.00,914464.00,935630.00,1114459.00
浙江省,,,126000.00,174700.00,253700.00,363300.00,504700.00,618800.00,771000.00,858900.00,1026412.00,1105800.00,1215500.00,1312500.00,1453599.00,1475587.00,1271600.00,1265923.00,1319097.00,1349404.00
安徽省,,,334000.00,332600.00,332800.00,331500.00,342400.00,346400.00,356800.00,361700.00,369240.00,380500.00,394300.00,408500.00,458562.00,493314.00,496077.00,501844.00,517506.00,526842.00
福建省,,,99000.00,97500.00,96900.00,100400.00,108400.00,110300.00,108300.00,102700.00,100800.00,93484.00,87880.00,84034.00,78363.00,69147.50,59932.00,56271.00,51560.00,50100.00
江西省,,,271000.00,274400.00,287200.00,288000.00,292400.00,296100.00,302800.00,863400.00,843400.00,931400.00,896700.00,821100.00,866300.00,651010.00,547800.00,512900.00,445700.00,406900.00
山东省,,,401000.00,396900.00,394500.00,390800.00,395300.00,403200.00,405300.00,400900.00,397528.00,428700.00,433200.00,441500.00,542467.00,609009.00,669499.00,695622.00,708522.00,736662.00
河南省,,,505000.00,517500.00,527100.00,540800.00,545900.00,546400.00,546100.00,536700.00,542300.00,557280.00,561540.00,573890.00,618000.00,674810.00,703930.00,717100.00,747100.00,753820.00
湖北省,,,448000.00,406000.00,369500.00,378200.00,352100.00,320300.00,264300.00,242800.00,0.00,180900.00,153700.00,130000.00,131363.00,125437.00,143302.00,128757.00,126199.00,128117.00
湖南省,,,1142000.00,1189000.00,1194000.00,1260500.00,1278600.00,1280900.00,1281700.00,1274300.00,1327741.00,1274600.00,1235700.00,1188800.00,1186447.00,1170385.50,1154324.00,1171126.00,1111167.00,1074217.00
广东省,,,537000.00,545768.00,547300.00,544900.00,535600.00,529500.00,532700.00,550800.00,565900.00,569700.00,563192.00,539800.00,544383.00,523577.00,502771.00,502084.00,467429.00,450713.00
广西壮族自治区,,,999000.00,993300.00,975000.00,963700.00,951500.00,942400.00,912700.00,885400.00,849724.00,798400.00,752480.00,692300.00,654462.00,616470.00,619593.00,505029.00,388159.00,322852.00
海南省,,,46000.00,49800.00,47300.00,45369.00,44600.00,44900.00,44900.00,44400.00,33200.00,39600.00,33800.00,36600.00,41606.00,40074.50,38543.00,37913.00,27837.00,25254.00
重庆市,,,745000.00,725100.00,711700.00,754700.00,749500.00,741500.00,631100.00,618600.00,616000.00,607700.00,567600.00,543000.00,468200.00,358907.00,277600.00,247597.00,198900.00,189900.00
四川省,,,1702000.00,1688200.00,1696500.00,1731100.00,1728300.00,1605600.00,1352500.00,1266500.00,1158500.00,1076200.00,1032800.00,961360.00,799967.00,726148.00,698735.00,557000.00,455971.00,458186.00
贵州省,,,787000.00,767300.00,659200.00,588900.00,524600.00,427000.00,359800.00,303300.00,194655.00,144426.00,108567.00,101645.00,83500.00,44500.00,26000.00,26000.00,25110.00,23800.00
云南省,,,528000.00,484400.00,454200.00,419000.00,402200.00,369300.00,353000.00,339200.00,318500.00,271000.00,243051.00,218000.00,176746.00,150356.50,123967.00,115708.00,112380.00,115791.00
西藏自治区,,,56000.00,56200.00,56100.00,55600.00,61300.00,59300.00,51900.00,47100.00,46737.00,41900.00,35300.00,22600.00,21574.00,19015.50,16457.00,13538.00,13032.00,11165.00
陕西省,,,502000.00,493000.00,488500.00,488900.00,418500.00,387200.00,360200.00,346400.00,302300.00,250780.00,180600.00,151165.00,147689.00,134990.00,138868.00,131445.00,127278.00,130328.00
甘肃省,,,290000.00,286400.00,281200.00,271500.00,255200.00,280000.00,255800.00,195800.00,143328.00,134400.00,107700.00,93800.00,74152.00,69559.00,64765.00,60977.00,37491.00,37491.00
青海省,,,45000.00,44400.00,44000.00,43500.00,36400.00,35600.00,32800.00,25000.00,23580.00,28280.00,17500.00,14600.00,13763.00,13187.00,12289.00,11711.00,9542.00,9667.00
宁夏回族自治区,,,21000.00,20300.00,20000.00,20400.00,21800.00,21000.00,21200.00,20800.00,19300.00,16469.00,14600.00,14200.00,16966.00,17879.00,18249.00,16822.00,18806.00,19730.00
新疆维吾尔自治区,,,51000.00,56200.00,55500.00,55500.00,57300.00,55200.00,55800.00,55800.00,55800.00,50800.00,44800.00,36864.00,39135.00,36546.00,33957.00,33870.00,31696.00,32771.00
数据来源：国家统计局
