数据库：分省年度数据
指标：农用化肥施用折纯量(万吨)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,6.06,6.17,7.29,8.55,9.65,10.53,11.64,12.78,13.67,13.84,13.67,13.82,13.63,13.99,14.84,14.84,14.46,14.32,14.88
天津市,,15.29,16.24,16.95,18.01,21.78,21.78,23.27,24.34,24.45,24.39,25.54,25.96,25.88,25.82,24.56,23.29,22.85,17.80,17.59
河北省,,285.71,297.27,312.40,322.00,331.79,335.49,335.61,331.04,329.33,326.28,322.86,316.17,312.40,311.87,304.89,303.39,289.88,283.31,278.80
山西省,,107.41,108.41,109.61,112.00,117.07,118.55,119.61,121.02,118.28,114.57,110.37,104.32,103.40,100.83,98.27,95.70,93.44,89.91,89.01
内蒙古自治区,,207.69,218.44,222.67,235.04,234.64,229.35,222.67,202.42,189.04,176.94,177.24,171.42,154.10,140.29,128.51,116.72,104.35,93.19,82.84
辽宁省,,137.57,139.91,145.02,145.47,148.06,152.09,151.55,151.76,146.90,144.64,140.08,133.61,128.77,127.47,121.08,119.86,117.85,112.62,111.41
吉林省,,225.29,227.06,228.30,231.02,233.61,231.24,226.66,216.79,206.73,195.20,182.80,174.18,163.84,154.39,146.70,138.10,159.09,122.26,117.03
黑龙江省,,224.22,223.27,245.64,251.20,252.75,255.31,251.93,244.96,240.28,228.44,214.89,198.87,180.73,175.20,162.20,150.92,143.81,125.70,129.72
上海市,,6.89,7.53,8.37,8.90,9.13,9.92,10.15,10.78,10.99,11.97,11.84,12.56,14.32,14.08,14.53,14.44,15.02,15.87,17.68
江苏省,,280.75,286.21,292.45,303.85,312.52,319.99,323.61,326.83,330.95,337.21,341.11,344.00,340.76,342.03,342.01,340.81,336.80,334.67,337.53
浙江省,,69.61,72.50,77.76,82.63,84.48,87.52,89.62,92.43,92.15,92.07,92.20,93.60,92.98,92.82,93.98,94.27,93.34,90.38,91.91
安徽省,,289.90,298.02,311.80,318.72,327.01,338.69,341.39,338.40,333.53,329.67,319.77,312.79,307.35,305.02,294.29,285.67,277.56,281.28,270.33
福建省,,100.81,106.26,110.74,116.32,123.84,123.80,122.61,120.57,120.87,120.93,121.04,120.68,118.67,119.69,120.86,122.02,121.67,120.29,119.91
江西省,,108.81,115.57,123.20,134.97,141.97,143.58,142.87,141.58,141.26,140.77,137.62,135.76,132.97,132.65,132.58,129.39,123.53,110.98,112.45
山东省,,380.88,395.34,420.35,439.96,456.46,463.50,468.08,472.66,476.26,473.64,475.32,472.86,476.33,500.34,489.82,467.63,450.96,432.65,433.92
河南省,,647.98,666.72,692.79,706.70,715.03,716.09,705.75,696.37,684.43,673.71,655.15,628.67,601.68,569.68,540.43,518.14,493.16,467.89,468.83
湖北省,,267.32,273.89,295.82,317.93,327.96,333.87,348.27,351.93,354.89,354.89,350.77,340.26,327.66,299.90,292.48,285.83,281.92,270.32,256.97
湖南省,,223.73,229.01,242.61,245.26,246.44,246.54,247.80,248.19,249.11,242.49,236.57,231.60,223.38,219.58,214.72,209.87,203.18,188.33,184.32
广东省,,219.80,225.79,231.32,258.30,261.02,256.46,249.58,243.91,245.38,241.30,237.29,233.16,226.60,219.64,212.13,204.62,201.30,199.61,196.44
广西壮族自治区,,247.85,252.04,255.05,263.83,262.14,259.86,258.68,255.70,249.04,242.71,237.16,229.32,222.58,220.84,210.66,201.25,195.22,183.69,176.51
海南省,,42.61,46.26,48.37,51.36,50.62,51.14,49.46,47.57,45.53,47.73,46.43,46.29,45.62,41.67,39.49,37.31,41.06,33.92,28.96
重庆市,,89.83,91.08,93.17,95.46,96.14,97.72,97.26,96.64,96.02,95.58,91.82,91.17,88.14,84.32,80.54,79.05,77.02,71.60,73.37
四川省,,210.82,222.77,235.21,241.95,248.98,249.83,250.19,251.14,253.03,251.23,248.00,247.97,242.84,238.17,228.16,220.92,214.71,208.39,209.64
贵州省,,78.78,83.18,89.48,95.65,103.67,103.69,101.29,97.42,98.17,94.08,86.53,86.54,83.09,82.05,80.23,77.41,74.31,74.92,73.56
云南省,,196.65,204.03,217.37,231.94,235.58,231.87,226.86,219.02,210.21,200.47,184.58,171.39,167.67,158.27,150.39,142.65,137.24,129.22,125.00
西藏自治区,,4.40,4.82,5.19,5.53,5.91,6.03,5.34,5.70,4.99,4.79,4.74,4.69,4.60,4.58,4.40,4.21,3.98,3.19,3.04
陕西省,,201.91,202.52,229.64,232.15,233.05,231.95,230.19,241.73,239.80,207.27,196.79,181.32,165.90,158.81,149.73,147.30,143.13,142.73,131.89
甘肃省,,80.36,80.88,83.17,84.49,93.42,97.92,97.60,94.71,92.13,87.24,85.26,82.90,81.37,80.14,76.50,75.92,72.39,69.57,69.41
青海省,,5.45,6.19,8.32,8.67,8.76,10.13,9.74,9.80,9.30,8.27,8.76,7.96,8.11,7.55,7.17,6.99,6.57,6.85,7.15
宁夏回族自治区,,38.06,38.44,38.37,40.80,40.72,40.09,39.67,40.44,39.44,38.24,37.93,35.54,34.75,34.63,31.92,29.93,27.61,25.36,24.99
新疆维吾尔自治区,,248.23,257.76,254.99,250.74,250.19,248.09,236.98,203.22,192.70,183.68,167.56,154.98,148.89,131.52,119.65,107.77,99.17,90.74,84.30
数据来源：国家统计局
