数据库：分省年度数据
指标：乡村办水电站个数(个)
时间：最近20年
地区,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
北京市,,,30,72,72,72,72,72,72,72,72,72,72,72,19,28,28,34,34,36
天津市,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
河北省,,,257,251,250,250,248,246,243,242,239,236,235,229,122,103,116,123,85,95
山西省,,,148,148,149,150,149,149,148,145,161,168,169,169,70,79,87,88,94,99
内蒙古自治区,,,38,38,40,40,40,40,40,39,38,37,36,36,3,3,3,2,3,4
辽宁省,,,190,189,188,188,187,184,179,176,173,170,166,164,153,146,146,140,134,134
吉林省,,,268,266,261,261,259,251,244,241,231,209,203,186,69,69,80,63,67,62
黑龙江省,,,95,87,86,85,84,81,81,80,77,71,70,69,15,13,14,13,11,12
上海市,,,,0,0,,,29,,0,,0,,,,,,,,
江苏省,,,38,30,29,29,29,3196,28,136,131,133,134,132,,,2,2,2,3
浙江省,,,3043,3125,3179,3193,3200,825,3196,3206,3189,3175,3167,3194,2434,2332,2273,2546,2592,2482
安徽省,,,790,785,826,844,842,6608,818,841,823,810,800,772,600,562,509,511,530,531
福建省,,,5986,6168,6522,6554,6585,3889,6596,6576,6536,6606,6647,6576,5148,5054,4959,4629,3998,3760
江西省,,,3903,3868,3955,3950,3925,129,3870,3743,3586,3517,3492,3420,2233,1933,1816,1853,1849,1827
山东省,,,112,124,127,129,129,525,129,128,107,89,85,88,12,12,12,12,13,13
河南省,,,534,534,531,530,530,1753,520,515,547,545,540,600,334,432,405,452,445,445
湖北省,,,1662,1663,1724,1749,1764,4439,1810,1787,1764,1751,1709,1737,502,589,609,626,646,669
湖南省,,,4463,4485,4512,4524,4472,9805,4417,4313,4219,4158,4096,4101,3995,4129,4262,4080,3912,4115
广东省,,,9777,9789,9847,9837,9817,2387,9766,9708,9645,9641,9667,9336,5639,5380,5121,5117,4937,5394
广西壮族自治区,,,2414,2416,2420,2411,2402,338,2373,2349,2311,2266,2292,2269,717,735,313,744,908,999
海南省,,,353,354,346,341,338,1496,336,324,322,323,314,331,34,36,38,40,57,48
重庆市,,,1560,1548,1554,1548,1520,4917,1483,1450,1365,1251,1136,1118,606,567,529,630,623,660
四川省,,,3928,4844,4982,4987,4948,1474,4871,4264,4172,4135,4141,4174,2415,2561,2582,2472,2715,2793
贵州省,,,1527,1483,1517,1509,1512,1913,1447,1408,1370,1367,1312,1256,791,791,791,782,786,721
云南省,,,2052,1951,1985,1970,1951,362,1883,1784,1653,1690,1655,1672,455,529,603,789,953,1177
西藏自治区,,,88,381,375,372,365,659,359,313,358,401,435,435,283,320,356,343,239,237
陕西省,,,685,693,693,690,680,714,647,617,610,585,852,981,598,659,650,632,642,858
甘肃省,,,599,598,689,688,673,241,711,760,754,736,712,674,255,255,234,213,223,223
青海省,,,251,251,251,250,245,3,236,239,231,213,206,185,46,51,50,49,52,54
宁夏回族自治区,,,3,3,3,3,3,248,3,3,1,1,1,1,,,,,,
新疆维吾尔自治区,,,646,366,380,370,366,95,338,335,461,455,456,452,116,127,138,130,146,182
注：2008年起乡村办水电站统计口径变更为农村水电，1978-2007年历史数据为乡村办水电站口径。农村水电是指装机容量5万千瓦及以下水电站和配套电网。
数据来源：国家统计局
